# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1635755722
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  5.208944224699804E-04  1.475932847334403E-06 1204668	   1      -2.50      -2.25  4.021820005411615E-04  1.145726600111410E-06 1204668	   1      -2.50      -2.25  6.904286783939361E-04  1.945912144919475E-06 1204668
   2      -2.25      -2.00  6.636528071318091E-04  1.578966534017435E-06 1760988	   2      -2.25      -2.00  5.137402743443634E-04  1.228682734381762E-06 1760988	   2      -2.25      -2.00  8.770496415051788E-04  2.076043528259331E-06 1760988
   3      -2.00      -1.75  8.091535035892110E-04  1.675787491696254E-06 2396342	   3      -2.00      -1.75  6.277124630308510E-04  1.306354955354572E-06 2396342	   3      -2.00      -1.75  1.066751930380150E-03  2.198787022504047E-06 2396342
   4      -1.75      -1.50  9.322989471863437E-04  1.697119663657822E-06 2991796	   4      -1.75      -1.50  7.246662882727478E-04  1.325042845853703E-06 2991796	   4      -1.75      -1.50  1.226373255177119E-03  2.222870429481673E-06 2991796
   5      -1.50      -1.25  1.018125235334898E-03  1.702406481060916E-06 3482034	   5      -1.50      -1.25  7.928496774241567E-04  1.330571726860272E-06 3482034	   5      -1.50      -1.25  1.336484884416584E-03  2.227234610609597E-06 3482034
   6      -1.25      -1.00  1.046922012794132E-03  1.641880427325932E-06 3851191	   6      -1.25      -1.00  8.165804533835122E-04  1.284476353283817E-06 3851191	   6      -1.25      -1.00  1.371856939522421E-03  2.145832107306212E-06 3851191
   7      -1.00      -0.75  1.027756899525190E-03  1.558499173676367E-06 4091418	   7      -1.00      -0.75  8.027694089598940E-04  1.220064385391434E-06 4091418	   7      -1.00      -0.75  1.344657726358944E-03  2.035499807432604E-06 4091418
   8      -0.75      -0.50  9.602453935512233E-04  1.438003580999620E-06 4198672	   8      -0.75      -0.50  7.508777301995097E-04  1.126279226887565E-06 4198672	   8      -0.75      -0.50  1.254812888347835E-03  1.877236063640158E-06 4198672
   9      -0.50      -0.25  8.588662182964408E-04  1.306920986519689E-06 4193519	   9      -0.50      -0.25  6.720752096302726E-04  1.023470747516519E-06 4193519	   9      -0.50      -0.25  1.121528049771665E-03  1.706673400756027E-06 4193519
  10      -0.25       0.00  7.391550246159286E-04  1.160264463456319E-06 4080140	  10      -0.25       0.00  5.786709908107317E-04  9.084794573369493E-07 4080140	  10      -0.25       0.00  9.647590863323060E-04  1.515554111970015E-06 4080140
  11       0.00       0.25  6.223178872174148E-04  1.024084129605029E-06 3879484	  11       0.00       0.25  4.872779291743863E-04  8.018865546659055E-07 3879484	  11       0.00       0.25  8.121680130193963E-04  1.337682776443415E-06 3879484
  12       0.25       0.50  5.072717233835681E-04  9.043068419038386E-07 3613085	  12       0.25       0.50  3.971587109770350E-04  7.081072586828709E-07 3613085	  12       0.25       0.50  6.621182540276870E-04  1.181024854099159E-06 3613085
  13       0.50       0.75  4.083890627469520E-04  8.072140449752756E-07 3290284	  13       0.50       0.75  3.195977117264792E-04  6.319284332273438E-07 3290284	  13       0.50       0.75  5.333319643200368E-04  1.054282186839826E-06 3290284
  14       0.75       1.00  3.229332218688054E-04  7.336641318988290E-07 2932447	  14       0.75       1.00  2.524820152952233E-04  5.739611663395343E-07 2932447	  14       0.75       1.00  4.221972725287726E-04  9.586811343770866E-07 2932447
  15       1.00       1.25  2.546852255534258E-04  6.996663795254287E-07 2541517	  15       1.00       1.25  1.988571416967207E-04  5.469278773085623E-07 2541517	  15       1.00       1.25  3.334773831888837E-04  9.148566500420619E-07 2541517
  16       1.25       1.50  1.977208093493877E-04  6.510478796300524E-07 2146962	  16       1.25       1.50  1.541205907692089E-04  5.078636442958264E-07 2146962	  16       1.25       1.50  2.593859324676006E-04  8.531757420045659E-07 2146962
  17       1.50       1.75  1.520134721251810E-04  6.173979820862968E-07 1745367	  17       1.50       1.75  1.182263271763415E-04  4.805657501841697E-07 1745367	  17       1.50       1.75  1.999355107943126E-04  8.110348337393819E-07 1745367
  18       1.75       2.00  1.165515649678137E-04  5.701931992423099E-07 1357550	  18       1.75       2.00  9.043853909264795E-05  4.428359240153732E-07 1357550	  18       1.75       2.00  1.536970526239248E-04  7.509693436145744E-07 1357550
  19       2.00       2.25  8.869963951873721E-05  5.482751008601868E-07 1004889	  19       2.00       2.25  6.862742533357121E-05  4.244666288016868E-07 1004889	  19       2.00       2.25  1.173629476741655E-04  7.248441518723248E-07 1004889
  20       2.25       2.50  6.639104355286945E-05  4.999142513611717E-07 716647	  20       2.25       2.50  5.120677683461443E-05  3.855831867017900E-07 716647	  20       2.25       2.50  8.816951463110791E-05  6.638512924630927E-07 716647
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       2.8285110286948283E-03  1.3400460511424650E-06 55479000
#=====================================================================================	#=====================================================================================	#=====================================================================================
