# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1635755722
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  1.161672957190882E-07  1.183624195731898E-08 2320	   1      -9.00      -8.75  7.846671499502721E-08  7.987652637476472E-09 2320	   1      -9.00      -8.75  1.803662014088980E-07  1.842531683161333E-08 2320
   2      -8.75      -8.50  2.600287538966823E-07  1.864447217648062E-08 4614	   2      -8.75      -8.50  1.771558670899769E-07  1.269336580985324E-08 4614	   2      -8.75      -8.50  3.995885254405778E-07  2.871998642202219E-08 4614
   3      -8.50      -8.25  5.717655456029900E-07  2.849612712370413E-08 8338	   3      -8.50      -8.25  3.929715226196282E-07  1.959165973711226E-08 8338	   3      -8.50      -8.25  8.696848973051405E-07  4.339492002874289E-08 8338
   4      -8.25      -8.00  1.013196601942741E-06  3.650193872617379E-08 13722	   4      -8.25      -8.00  7.020292941159212E-07  2.537026792223017E-08 13722	   4      -8.25      -8.00  1.526216458749038E-06  5.485002808217163E-08 13722
   5      -8.00      -7.75  2.041206488929418E-06  6.301485090220355E-08 21096	   5      -8.00      -7.75  1.430975286150129E-06  4.418086688884641E-08 21096	   5      -8.00      -7.75  3.032316451930394E-06  9.368485126291534E-08 21096
   6      -7.75      -7.50  3.641534232514859E-06  8.861314638541407E-08 32122	   6      -7.75      -7.50  2.577836885595704E-06  6.293936893648304E-08 32122	   6      -7.75      -7.50  5.347581054070818E-06  1.297093490717880E-07 32122
   7      -7.50      -7.25  6.100811947671699E-06  1.234091085025886E-07 46532	   7      -7.50      -7.25  4.358373898992307E-06  8.863417476417533E-08 46532	   7      -7.50      -7.25  8.863733553348176E-06  1.782932266696605E-07 46532
   8      -7.25      -7.00  9.929420539446515E-06  1.637631731155031E-07 65981	   8      -7.25      -7.00  7.154782633861516E-06  1.188799720920338E-07 65981	   8      -7.25      -7.00  1.427857055355447E-05  2.335210050324851E-07 65981
   9      -7.00      -6.75  1.591535498912076E-05  2.128764279522017E-07 92962	   9      -7.00      -6.75  1.157693779977070E-05  1.560055818003764E-07 92962	   9      -7.00      -6.75  2.263207921422203E-05  3.002007101201436E-07 92962
  10      -6.75      -6.50  2.392145700698555E-05  2.652946468620191E-07 126723	  10      -6.75      -6.50  1.754152232355971E-05  1.960263150525196E-07 126723	  10      -6.75      -6.50  3.369466144209097E-05  3.704930672516725E-07 126723
  11      -6.50      -6.25  3.491848588023188E-05  3.312086015736892E-07 169794	  11      -6.50      -6.25  2.580537964934986E-05  2.467089790733280E-07 169794	  11      -6.50      -6.25  4.873616112189386E-05  4.581400581577153E-07 169794
  12      -6.25      -6.00  5.003903647191974E-05  4.040721787365902E-07 225958	  12      -6.25      -6.00  3.727355854914288E-05  3.036416690739398E-07 225958	  12      -6.25      -6.00  6.919209198557290E-05  5.531063815723192E-07 225958
