# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^-\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^-\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1635755722
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  2.933023343058132E-06  1.701634718205065E-07 7209	   1      -5.00      -4.75  2.225570826731473E-06  1.304273756388404E-07 7209	   1      -5.00      -4.75  3.966923405893161E-06  2.276043634839335E-07 7209
   2      -4.75      -4.50  1.115804928624147E-05  3.175268906876513E-07 27338	   2      -4.75      -4.50  8.503816255250372E-06  2.438919500642557E-07 27338	   2      -4.75      -4.50  1.501301421971960E-05  4.235968805657431E-07 27338
   3      -4.50      -4.25  1.989657626699152E-05  3.869427728513150E-07 58443	   3      -4.50      -4.25  1.519986873427000E-05  2.980032300307347E-07 58443	   3      -4.50      -4.25  2.669578585190250E-05  5.145557610411144E-07 58443
   4      -4.25      -4.00  3.164190484774473E-05  4.786157520558047E-07 101095	   4      -4.25      -4.00  2.427565621329218E-05  3.701299028754063E-07 101095	   4      -4.25      -4.00  4.224392842709156E-05  6.332848706726785E-07 101095
   5      -4.00      -3.75  4.250089303545798E-05  4.789883112434659E-07 158951	   5      -4.00      -3.75  3.269090469120214E-05  3.711062908844633E-07 158951	   5      -4.00      -3.75  5.657362043387432E-05  6.324411677429624E-07 158951
   6      -3.75      -3.50  5.790383941197482E-05  5.741489124804268E-07 233328	   6      -3.75      -3.50  4.468439587476488E-05  4.465052867504501E-07 233328	   6      -3.75      -3.50  7.678850777117115E-05  7.548090431213188E-07 233328
   7      -3.50      -3.25  7.415318293565879E-05  5.789906870523916E-07 323671	   7      -3.50      -3.25  5.736755868469767E-05  4.507581147712037E-07 323671	   7      -3.50      -3.25  9.805789222401394E-05  7.603106058210443E-07 323671
   8      -3.25      -3.00  9.025130147140196E-05  5.837063285218757E-07 432955	   8      -3.25      -3.00  6.996139995816872E-05  4.549619274015819E-07 432955	   8      -3.25      -3.00  1.190810815374736E-04  7.655674574735550E-07 432955
   9      -3.00      -2.75  1.122730897124040E-04  6.022659480801183E-07 564714	   9      -3.00      -2.75  8.718362806870752E-05  4.694639602788271E-07 564714	   9      -3.00      -2.75  1.478539650099165E-04  7.900462980729904E-07 564714
  10      -2.75      -2.50  1.417759056744905E-04  6.525146396627278E-07 720471	  10      -2.75      -2.50  1.102590779194297E-04  5.088096457358219E-07 720471	  10      -2.75      -2.50  1.864032368626697E-04  8.559358390940821E-07 720471
  11      -2.50      -2.25  1.795857237269450E-04  7.053145195925363E-07 904198	  11      -2.50      -2.25  1.397849753819812E-04  5.495153367224900E-07 904198	  11      -2.50      -2.25  2.359056396103999E-04  9.264517779870001E-07 904198
  12      -2.25      -2.00  2.310996027700047E-04  7.758735209183091E-07 1124475	  12      -2.25      -2.00  1.800305117507036E-04  6.047516648527743E-07 1124475	  12      -2.25      -2.00  3.033036258215282E-04  1.018595342735362E-06 1124475
  13      -2.00      -1.75  3.003115478771939E-04  8.655730124190935E-07 1391115	  13      -2.00      -1.75  2.340884115208896E-04  6.746407419703312E-07 1391115	  13      -2.00      -1.75  3.938798815488664E-04  1.136504801473444E-06 1391115
  14      -1.75      -1.50  3.836874355250490E-04  9.568827440931431E-07 1719217	  14      -1.75      -1.50  2.992323798448574E-04  7.464691819470528E-07 1719217	  14      -1.75      -1.50  5.029317907704490E-04  1.255013033880384E-06 1719217
  15      -1.50      -1.25  4.833152144556029E-04  1.051540223964352E-06 2128955	  15      -1.50      -1.25  3.770995495960286E-04  8.208750524637492E-07 2128955	  15      -1.50      -1.25  6.331826103409510E-04  1.377880863616660E-06 2128955
  16      -1.25      -1.00  5.920597689323195E-04  1.128761262812047E-06 2641672	  16      -1.25      -1.00  4.619627038591215E-04  8.812514977107687E-07 2641672	  16      -1.25      -1.00  7.755965849032436E-04  1.478848239552632E-06 2641672
  17      -1.00      -0.75  7.021505179049644E-04  1.197660935285287E-06 3302072	  17      -1.00      -0.75  5.479618213500163E-04  9.356817207019577E-07 3302072	  17      -1.00      -0.75  9.195861197466301E-04  1.567684629140056E-06 3302072
  18      -0.75      -0.50  7.995803155075450E-04  1.251675316858203E-06 4164777	  18      -0.75      -0.50  6.240018869373097E-04  9.782531465914733E-07 4164777	  18      -0.75      -0.50  1.047152461303035E-03  1.637590298994568E-06 4164777
  19      -0.50      -0.25  8.795689631018020E-04  1.297689932497856E-06 5376093	  19      -0.50      -0.25  6.863530657415438E-04  1.014696976710326E-06 5376093	  19      -0.50      -0.25  1.152031869161578E-03  1.696781003703967E-06 5376093
  20      -0.25       0.00  9.246890327225966E-04  1.335556790679545E-06 7035880	  20      -0.25       0.00  7.213830913679160E-04  1.044701302742956E-06 7035880	  20      -0.25       0.00  1.211458523454197E-03  1.745414009595545E-06 7035880
  21       0.00       0.25  9.221904089604296E-04  1.347270660122350E-06 6904108	  21       0.00       0.25  7.194316798374662E-04  1.053955657353519E-06 6904108	  21       0.00       0.25  1.208201457251976E-03  1.760622607219438E-06 6904108
  22       0.25       0.50  8.674064939534523E-04  1.340175409188068E-06 4976755	  22       0.25       0.50  6.768677437142364E-04  1.048830881126730E-06 4976755	  22       0.25       0.50  1.136110477797826E-03  1.750479036548283E-06 4976755
  23       0.50       0.75  7.835557004300154E-04  1.338181004293722E-06 3537968	  23       0.50       0.75  6.115301404926566E-04  1.047634971340353E-06 3537968	  23       0.50       0.75  1.026146828787140E-03  1.747326898162015E-06 3537968
  24       0.75       1.00  6.772594724749151E-04  1.320867954595011E-06 2505633	  24       0.75       1.00  5.284645223914773E-04  1.033645979235498E-06 2505633	  24       0.75       1.00  8.871883894387237E-04  1.725641780608756E-06 2505633
