# title = Total Transverse Energy without Gluon
# xlabel = $H_{\text{T},\text{no g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{no g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-03
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1635755722
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      10.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0	   1      10.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0	   1      10.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      70.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      70.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      70.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     130.00     190.00  2.520630439776483E-09  2.141368259171601E-10 1243	   3     130.00     190.00  1.925727489775985E-09  1.629469956283928E-10 1243	   3     130.00     190.00  3.383760743976646E-09  2.885402434721403E-10 1243
   4     190.00     250.00  3.649854869740777E-07  2.726916620286655E-09 104844	   4     190.00     250.00  2.798008912694695E-07  2.090470353710069E-09 104844	   4     190.00     250.00  4.882602148311381E-07  3.650301665955350E-09 104844
   5     250.00     310.00  2.537549821710714E-06  7.122725542421756E-09 656386	   5     250.00     310.00  1.957452481953334E-06  5.497622931450357E-09 656386	   5     250.00     310.00  3.370278502415080E-06  9.458445167762913E-09 656386
   6     310.00     370.00  4.661915769338386E-06  9.064669419578858E-09 1342708	   6     310.00     370.00  3.619719647779291E-06  7.046135312122766E-09 1342708	   6     310.00     370.00  6.145011976762915E-06  1.193785428409232E-08 1342708
   7     370.00     430.00  5.691120974210684E-06  9.310407221472010E-09 1904424	   7     370.00     430.00  4.439439312047114E-06  7.271853009373659E-09 1904424	   7     370.00     430.00  7.460812607846623E-06  1.219239790152057E-08 1904424
   8     430.00     490.00  5.854725580860680E-06  8.754253941659018E-09 2254342	   8     430.00     490.00  4.581007945697533E-06  6.861040204981250E-09 2254342	   8     430.00     490.00  7.647434379971981E-06  1.141734806779395E-08 2254342
   9     490.00     550.00  5.387676732339173E-06  7.786741112538883E-09 2390130	   9     490.00     550.00  4.219918765891482E-06  6.111526842714432E-09 2390130	   9     490.00     550.00  7.027997996655365E-06  1.013697203575443E-08 2390130
  10     550.00     610.00  4.613747293981089E-06  6.614371191301102E-09 2403151	  10     550.00     610.00  3.613111579836348E-06  5.193081445716422E-09 2403151	  10     550.00     610.00  6.018753340527156E-06  8.606308310295871E-09 2403151
  11     610.00     670.00  3.793284803806402E-06  5.548780858523828E-09 2346027	  11     610.00     670.00  2.968305685308834E-06  4.354073645079381E-09 2346027	  11     610.00     670.00  4.952088883616881E-06  7.223232457602901E-09 2346027
  12     670.00     730.00  3.029223308765989E-06  4.499771374515306E-09 2257535	  12     670.00     730.00  2.367760782150155E-06  3.528834207268859E-09 2257535	  12     670.00     730.00  3.959157508071545E-06  5.860817048217944E-09 2257535
  13     730.00     790.00  2.396642889384885E-06  3.686783917638800E-09 2146148	  13     730.00     790.00  1.870709098310535E-06  2.887314111227545E-09 2146148	  13     730.00     790.00  3.136979131796683E-06  4.808906834851708E-09 2146148
  14     790.00     850.00  1.875503673949583E-06  2.971445520337951E-09 2030803	  14     790.00     850.00  1.461904145984647E-06  2.324782316917204E-09 2030803	  14     790.00     850.00  2.458441868284046E-06  3.879789241984849E-09 2030803
  15     850.00     910.00  1.462345619264015E-06  2.414106402868869E-09 1913815	  15     850.00     910.00  1.138178267001738E-06  1.886007101103819E-09 1913815	  15     850.00     910.00  1.919882529817867E-06  3.156927945415809E-09 1913815
  16     910.00     970.00  1.140781182009677E-06  1.948140041861884E-09 1803674	  16     910.00     970.00  8.866225001939722E-07  1.520309711190389E-09 1803674	  16     910.00     970.00  1.500004864570260E-06  2.550512364971192E-09 1803674
  17     970.00    1030.00  8.910063999061017E-07  1.586451681239285E-09 1695751	  17     970.00    1030.00  6.915784187989584E-07  1.236557363729193E-09 1695751	  17     970.00    1030.00  1.173227934188329E-06  2.079638403250563E-09 1695751
  18    1030.00    1090.00  6.958528964483945E-07  1.286599704468256E-09 1593845	  18    1030.00    1090.00  5.393412889518018E-07  1.001661427920221E-09 1593845	  18    1030.00    1090.00  9.176455376292351E-07  1.688645081858116E-09 1593845
  19    1090.00    1150.00  5.484437809931700E-07  1.057338992025820E-09 1501972	  19    1090.00    1150.00  4.245409471688917E-07  8.221353166976464E-10 1501972	  19    1090.00    1150.00  7.242383455718339E-07  1.389564185146810E-09 1501972
  20    1150.00    1210.00  4.297859442161056E-07  8.533178027209172E-10 1411597	  20    1150.00    1210.00  3.322507934252954E-07  6.629023915900008E-10 1411597	  20    1150.00    1210.00  5.683488782397769E-07  1.122516985846112E-09 1411597
  21    1210.00    1270.00  3.422546538514500E-07  7.081633640539775E-10 1330013	  21    1210.00    1270.00  2.642861492908992E-07  5.495615533853199E-10 1330013	  21    1210.00    1270.00  4.531373258682036E-07  9.326107869964718E-10 1330013
  22    1270.00    1330.00  2.698259690965675E-07  5.799565721504144E-10 1253289	  22    1270.00    1330.00  2.081199401091392E-07  4.495663140912344E-10 1253289	  22    1270.00    1330.00  3.576741809705571E-07  7.646651845645211E-10 1253289
  23    1330.00    1390.00  2.148803456967603E-07  4.766063793799720E-10 1180893	  23    1330.00    1390.00  1.655554417710976E-07  3.692074980203958E-10 1180893	  23    1330.00    1390.00  2.851787119621125E-07  6.288337756266604E-10 1180893
  24    1390.00    1450.00  1.729501498287644E-07  3.993237808011843E-10 1116167	  24    1390.00    1450.00  1.331231518433748E-07  3.091114646580071E-10 1116167	  24    1390.00    1450.00  2.297581618694239E-07  5.272564328285344E-10 1116167
  25    1450.00    1510.00  1.382187522527416E-07  3.313049248582436E-10 1051810	  25    1450.00    1510.00  1.062868143530642E-07  2.562552670704526E-10 1051810	  25    1450.00    1510.00  1.838054645835920E-07  4.378057477367250E-10 1051810
  26    1510.00    1570.00  1.118186456017982E-07  2.772881575530155E-10 993508	  26    1510.00    1570.00  8.590551764473767E-08  2.143641401964587E-10 993508	  26    1510.00    1570.00  1.488449191410606E-07  3.666196473822324E-10 993508
  27    1570.00    1630.00  9.039468076743692E-08  2.329814775942620E-10 936537	  27    1570.00    1630.00  6.938462991294074E-08  1.799469274496227E-10 936537	  27    1570.00    1630.00  1.204386849814644E-07  3.083360175501106E-10 936537
  28    1630.00    1690.00  7.354266141646418E-08  1.966327493206773E-10 886734	  28    1630.00    1690.00  5.639686427990226E-08  1.516925192315414E-10 886734	  28    1630.00    1690.00  9.808215943116989E-08  2.605744501700918E-10 886734
  29    1690.00    1750.00  5.968241813396240E-08  1.644925166248179E-10 839338	  29    1690.00    1750.00  4.572860856902341E-08  1.268382118919025E-10 839338	  29    1690.00    1750.00  7.966862144086788E-08  2.180819484973583E-10 839338
  30    1750.00    1810.00  4.879638306734698E-08  1.394077160296719E-10 792541	  30    1750.00    1810.00  3.735890337904780E-08  1.074350605891321E-10 792541	  30    1750.00    1810.00  6.518903741294919E-08  1.849264825289318E-10 792541
  31    1810.00    1870.00  4.006222388400651E-08  1.195355160817799E-10 750048	  31    1810.00    1870.00  3.065107855476474E-08  9.207873304316477E-11 750048	  31    1810.00    1870.00  5.355860168568947E-08  1.586401811504528E-10 750048
  32    1870.00    1930.00  3.288454558071458E-08  1.007048438482678E-10 710744	  32    1870.00    1930.00  2.514039442401849E-08  7.748444391106739E-11 710744	  32    1870.00    1930.00  4.399773359572287E-08  1.338299344876097E-10 710744
  33    1930.00    1990.00  2.730084584212225E-08  8.669489264980325E-11 674241	  33    1930.00    1990.00  2.085867708458265E-08  6.670812905949533E-11 674241	  33    1930.00    1990.00  3.655041318987946E-08  1.151841682829097E-10 674241
  34    1990.00    2050.00  2.262773629703779E-08  7.476587917615235E-11 637653	  34    1990.00    2050.00  1.727464505560335E-08  5.746236228480351E-11 637653	  34    1990.00    2050.00  3.031890137904875E-08  9.946483288849099E-11 637653
  35    2050.00    2110.00  1.886047700354480E-08  6.400374915222611E-11 606539	  35    2050.00    2110.00  1.439112017122471E-08  4.920166774198281E-11 606539	  35    2050.00    2110.00  2.528417780903152E-08  8.511910516305188E-11 606539
  36    2110.00    2170.00  1.562992780788440E-08  5.507276309309844E-11 574032	  36    2110.00    2170.00  1.191723359533299E-08  4.229986844230909E-11 574032	  36    2110.00    2170.00  2.096937757833272E-08  7.330775232800947E-11 574032
  37    2170.00    2230.00  1.296742260213688E-08  4.719055053934215E-11 543756	  37    2170.00    2230.00  9.880403383089418E-09  3.622713547094300E-11 543756	  37    2170.00    2230.00  1.740977472343163E-08  6.284802431792258E-11 543756
  38    2230.00    2290.00  1.091797566029318E-08  4.117738139656232E-11 515444	  38    2230.00    2290.00  8.313960936880172E-09  3.158687121721729E-11 515444	  38    2230.00    2290.00  1.466690355186626E-08  5.489082795404740E-11 515444
  39    2290.00    2350.00  9.142426043680184E-09  3.573457026599411E-11 490526	  39    2290.00    2350.00  6.957162735532559E-09  2.741353786561889E-11 490526	  39    2290.00    2350.00  1.229030451827466E-08  4.762256317017779E-11 490526
  40    2350.00    2410.00  7.692684937859537E-09  3.102790636493529E-11 466042	  40    2350.00    2410.00  5.849398841688119E-09  2.377051846778972E-11 466042	  40    2350.00    2410.00  1.034970851767557E-08  4.141565689014771E-11 466042
  41    2410.00    2470.00  6.505829840392771E-09  2.740070824565332E-11 441803	  41    2410.00    2470.00  4.945195344287971E-09  2.100571972660075E-11 441803	  41    2410.00    2470.00  8.755761657273450E-09  3.654177000815579E-11 441803
  42    2470.00    2530.00  5.506969012746872E-09  2.375001093706476E-11 420296	  42    2470.00    2530.00  4.183951126996497E-09  1.819220102716624E-11 420296	  42    2470.00    2530.00  7.414955541214271E-09  3.170115775760409E-11 420296
  43    2530.00    2590.00  4.640115418800460E-09  2.093611367520263E-11 398944	  43    2530.00    2590.00  3.522396154732153E-09  1.602849078687755E-11 398944	  43    2530.00    2590.00  6.253293539695642E-09  2.795883481169508E-11 398944
  44    2590.00    2650.00  3.949470019045340E-09  1.803130381983793E-11 379941	  44    2590.00    2650.00  2.996444244817312E-09  1.380221532046908E-11 379941	  44    2590.00    2650.00  5.325611641348306E-09  2.408535582900129E-11 379941
  45    2650.00    2710.00  3.349208972973322E-09  1.593727751026101E-11 360179	  45    2650.00    2710.00  2.539517486118179E-09  1.218567386578089E-11 360179	  45    2650.00    2710.00  4.518902479174242E-09  2.131330642448459E-11 360179
  46    2710.00    2770.00  2.869002474944511E-09  1.418813596854520E-11 343719	  46    2710.00    2770.00  2.174591379575652E-09  1.085247624923410E-11 343719	  46    2710.00    2770.00  3.872435668412521E-09  1.896533103266834E-11 343719
  47    2770.00    2830.00  2.423659557429968E-09  1.232389620388097E-11 326144	  47    2770.00    2830.00  1.835414369096914E-09  9.413362165349729E-12 326144	  47    2770.00    2830.00  3.274394770355725E-09  1.649887643723557E-11 326144
  48    2830.00    2890.00  2.066560994664744E-09  1.082925712280312E-11 310474	  48    2830.00    2890.00  1.564099871393930E-09  8.272555695900812E-12 310474	  48    2830.00    2890.00  2.793552278363541E-09  1.449425642026835E-11 310474
  49    2890.00    2950.00  1.780930219336865E-09  9.762657651233696E-12 295437	  49    2890.00    2950.00  1.347392837396859E-09  7.456872833765342E-12 295437	  49    2890.00    2950.00  2.408328778414301E-09  1.306733962937710E-11 295437
  50    2950.00    3010.00  1.526833100097463E-09  8.704415874328126E-12 281605	  50    2950.00    3010.00  1.154430847557959E-09  6.646276952272582E-12 281605	  50    2950.00    3010.00  2.066064348733467E-09  1.165579926283725E-11 281605
  51    3010.00    3070.00  1.305020393611619E-09  7.627790857319627E-12 267806	  51    3010.00    3070.00  9.859001044900982E-10  5.818349398127242E-12 267806	  51    3010.00    3070.00  1.767442753173806E-09  1.022440525298345E-11 267806
  52    3070.00    3130.00  1.136207871455361E-09  6.859904973117830E-12 256874	  52    3070.00    3130.00  8.581076512558793E-10  5.231468958226040E-12 256874	  52    3070.00    3130.00  1.539278729489859E-09  9.198017683189445E-12 256874
  53    3130.00    3190.00  9.784614857805970E-10  6.331508798290569E-12 243737	  53    3130.00    3190.00  7.385451814828802E-10  4.823473075370478E-12 243737	  53    3130.00    3190.00  1.326318303638960E-09  8.497978991596488E-12 243737
  54    3190.00    3250.00  8.321571645570745E-10  5.400475489136430E-12 231786	  54    3190.00    3250.00  6.277240863351317E-10  4.114609806410002E-12 231786	  54    3190.00    3250.00  1.128723716389280E-09  7.247547265782046E-12 231786
  55    3250.00    3310.00  7.217119980599470E-10  4.809496631875045E-12 220925	  55    3250.00    3310.00  5.442339263388784E-10  3.664091144576643E-12 220925	  55    3250.00    3310.00  9.792136047595384E-10  6.454287038009280E-12 220925
  56    3310.00    3370.00  6.150600801247640E-10  4.154106927254855E-12 210581	  56    3310.00    3370.00  4.634228870182039E-10  3.163414251514450E-12 210581	  56    3310.00    3370.00  8.352398972288088E-10  5.576941824093434E-12 210581
  57    3370.00    3430.00  5.277632448055816E-10  3.883967625254442E-12 200539	  57    3370.00    3430.00  3.974952016718662E-10  2.956743677578705E-12 200539	  57    3370.00    3430.00  7.169599042669264E-10  5.215685412350069E-12 200539
  58    3430.00    3490.00  4.676551357438854E-10  3.529257316419646E-12 191496	  58    3430.00    3490.00  3.519862043898090E-10  2.685532485883286E-12 191496	  58    3430.00    3490.00  6.357492865070435E-10  4.741170787614438E-12 191496
  59    3490.00    3550.00  3.964568917862439E-10  2.980611073266950E-12 183091	  59    3490.00    3550.00  2.981192275070452E-10  2.263052893662083E-12 183091	  59    3490.00    3550.00  5.394931279409932E-10  4.014223971548362E-12 183091
  60    3550.00    3610.00  3.410737408709801E-10  2.679020783079626E-12 173649	  60    3550.00    3610.00  2.564562342281758E-10  2.035782913801356E-12 173649	  60    3550.00    3610.00  4.641259704938476E-10  3.603944973104899E-12 173649
  61    3610.00    3670.00  3.001005883577720E-10  2.412252462752794E-12 165769	  61    3610.00    3670.00  2.255414406339454E-10  1.834235067987823E-12 165769	  61    3610.00    3670.00  4.085722055906606E-10  3.242675595091041E-12 165769
  62    3670.00    3730.00  2.623082860267690E-10  2.200866541667656E-12 158500	  62    3670.00    3730.00  1.970262992143962E-10  1.672176477696186E-12 158500	  62    3670.00    3730.00  3.573232798786645E-10  2.960957638383043E-12 158500
  63    3730.00    3790.00  2.251285493016539E-10  1.955852272707649E-12 151574	  63    3730.00    3790.00  1.690050654798326E-10  1.485704764986798E-12 151574	  63    3730.00    3790.00  3.068565674065456E-10  2.631920192267370E-12 151574
  64    3790.00    3850.00  1.970067589683077E-10  1.821426579073672E-12 144204	  64    3790.00    3850.00  1.478256368265224E-10  1.380043953898856E-12 144204	  64    3790.00    3850.00  2.686456692400504E-10  2.457986312116363E-12 144204
  65    3850.00    3910.00  1.695983043154300E-10  1.557368796320126E-12 137683	  65    3850.00    3910.00  1.271617782848688E-10  1.180990670661049E-12 137683	  65    3850.00    3910.00  2.314577417089081E-10  2.099222958160071E-12 137683
  66    3910.00    3970.00  1.474366639568716E-10  1.362806930773354E-12 132304	  66    3910.00    3970.00  1.104752869702310E-10  1.032402013202365E-12 132304	  66    3910.00    3970.00  2.013463174529577E-10  1.839171589479731E-12 132304
  67    3970.00    4030.00  1.292889112396665E-10  1.227716312414130E-12 125782	  67    3970.00    4030.00  9.681775481558485E-11  9.301607345144539E-13 125782	  67    3970.00    4030.00  1.766751565352698E-10  1.656418616775151E-12 125782
  68    4030.00    4090.00  1.141901792297624E-10  1.165516426520679E-12 119827	  68    4030.00    4090.00  8.548652958231371E-11  8.829846763259863E-13 119827	  68    4030.00    4090.00  1.560875922175409E-10  1.572713077295727E-12 119827
  69    4090.00    4150.00  9.749441804031903E-11  9.965861031159959E-13 114784	  69    4090.00    4150.00  7.290656184947201E-11  7.532989503595161E-13 114784	  69    4090.00    4150.00  1.334265365264697E-10  1.348331158505306E-12 114784
  70    4150.00    4210.00  8.687789164115150E-11  9.129349121915235E-13 109328	  70    4150.00    4210.00  6.493847351942254E-11  6.900063577083798E-13 109328	  70    4150.00    4210.00  1.189493807292131E-10  1.234819011101755E-12 109328
  71    4210.00    4270.00  7.548924436705754E-11  8.309330039736393E-13 104375	  71    4210.00    4270.00  5.642532472135520E-11  6.277128713144726E-13 104375	  71    4210.00    4270.00  1.033561752003590E-10  1.125322556170798E-12 104375
  72    4270.00    4330.00  6.659050926497930E-11  7.528202165596811E-13 99011	  72    4270.00    4330.00  4.975086320495724E-11  5.690974759539139E-13 99011	  72    4270.00    4330.00  9.121187461545178E-11  1.018069966092336E-12 99011
  73    4330.00    4390.00  5.762690034317804E-11  6.634058126331357E-13 95588	  73    4330.00    4390.00  4.301963610244172E-11  5.011178208502411E-13 95588	  73    4330.00    4390.00  7.899824275289976E-11  8.977322498482382E-13 95588
  74    4390.00    4450.00  5.166545336005492E-11  7.511705448133350E-13 90991	  74    4390.00    4450.00  3.850879354727778E-11  5.530562501528804E-13 90991	  74    4390.00    4450.00  7.095796839714073E-11  1.052265611813705E-12 90991
  75    4450.00    4510.00  4.507764084637792E-11  5.428051061268422E-13 87151	  75    4450.00    4510.00  3.361140224363430E-11  4.093235468732972E-13 87151	  75    4450.00    4510.00  6.187310514712380E-11  7.359305732404616E-13 87151
  76    4510.00    4570.00  3.917699665465991E-11  5.432547137523619E-13 83618	  76    4510.00    4570.00  2.919245902940192E-11  4.092223126366216E-13 83618	  76    4510.00    4570.00  5.381006123960606E-11  7.372420615278274E-13 83618
  77    4570.00    4630.00  3.435614958658335E-11  4.470288124746076E-13 79415	  77    4570.00    4630.00  2.558885505720106E-11  3.365304718219937E-13 79415	  77    4570.00    4630.00  4.721003036554670E-11  6.071789883012487E-13 79415
