# title = Transverse Momentum anti-Muon
# xlabel = $p_{\text{T},\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-07
# ymax=  5.000E-03
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1635755722
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  3.861154195433306E-05  3.877937661689090E-08 8850534	   2      20.00      40.00  3.014120816839664E-05  3.028737909227743E-08 8850534	   2      20.00      40.00  5.055995643843309E-05  5.078352727606835E-08 8850534
   3      40.00      60.00  3.234646677867891E-05  3.404651780273588E-08 8274420	   3      40.00      60.00  2.524829044044799E-05  2.659765858040048E-08 8274420	   3      40.00      60.00  4.235953345361034E-05  4.457091995362022E-08 8274420
   4      60.00      80.00  2.223326631043915E-05  2.687791216548078E-08 6100378	   4      60.00      80.00  1.734463805989608E-05  2.099165984416099E-08 6100378	   4      60.00      80.00  2.913306582881755E-05  3.519573822891092E-08 6100378
   5      80.00     100.00  1.465377591200974E-05  2.074708505855119E-08 4626440	   5      80.00     100.00  1.142383353330920E-05  1.619783904817696E-08 4626440	   5      80.00     100.00  1.921551733840055E-05  2.717773899579265E-08 4626440
   6     100.00     120.00  9.407193643804281E-06  1.564368025406307E-08 3571888	   6     100.00     120.00  7.326949121994484E-06  1.220563690081989E-08 3571888	   6     100.00     120.00  1.234797700015664E-05  2.050745020856304E-08 3571888
   7     120.00     140.00  6.297162721417870E-06  1.208694759958899E-08 2863549	   7     120.00     140.00  4.900772838297339E-06  9.429846813645016E-09 2863549	   7     120.00     140.00  8.272664967433757E-06  1.584599335473438E-08 2863549
   8     140.00     160.00  4.454038373339400E-06  9.672898144583727E-09 2372340	   8     140.00     160.00  3.464036657304221E-06  7.547299966975694E-09 2372340	   8     140.00     160.00  5.855459466149814E-06  1.267896471411518E-08 2372340
   9     160.00     180.00  3.204737128906731E-06  7.782756617968516E-09 1998303	   9     160.00     180.00  2.490599622435801E-06  6.073655654043659E-09 1998303	   9     160.00     180.00  4.216410309489398E-06  1.019907527674695E-08 1998303
  10     180.00     200.00  2.360430027365734E-06  6.358183304171714E-09 1707037	  10     180.00     200.00  1.832909184113019E-06  4.960579983536268E-09 1707037	  10     180.00     200.00  3.108334612806146E-06  8.334319886915347E-09 1707037
  11     200.00     220.00  1.746273471396382E-06  5.154946953740759E-09 1468704	  11     200.00     220.00  1.354939445552863E-06  4.021468083069764E-09 1468704	  11     200.00     220.00  2.301515570870582E-06  6.757276298846549E-09 1468704
  12     220.00     240.00  1.325344658764682E-06  4.263842082358635E-09 1275689	  12     220.00     240.00  1.027571462807446E-06  3.325440806141005E-09 1275689	  12     220.00     240.00  1.748138487911521E-06  5.590699213263549E-09 1275689
  13     240.00     260.00  1.015978652333632E-06  3.553374728798947E-09 1116983	  13     240.00     260.00  7.871490663707688E-07  2.770254959712448E-09 1116983	  13     240.00     260.00  1.341109631752551E-06  4.661022494466790E-09 1116983
  14     260.00     280.00  7.765002926179186E-07  2.938762880587877E-09 982689	  14     260.00     280.00  6.010809327363514E-07  2.290846305121513E-09 982689	  14     260.00     280.00  1.025957172407309E-06  3.854997831428772E-09 982689
  15     280.00     300.00  6.054912612009458E-07  2.459976342639412E-09 871998	  15     280.00     300.00  4.684677428412686E-07  1.918467065690549E-09 871998	  15     280.00     300.00  8.004078833289612E-07  3.224942662109502E-09 871998
  16     300.00     320.00  4.669184134934257E-07  2.045434778634241E-09 774176	  16     300.00     320.00  3.608883975926698E-07  1.593128019058407E-09 774176	  16     300.00     320.00  6.179126418198448E-07  2.685484454477900E-09 774176
  17     320.00     340.00  3.704445336245616E-07  1.732128641856824E-09 691394	  17     320.00     340.00  2.860848811313518E-07  1.348328070098125E-09 691394	  17     320.00     340.00  4.906807542649902E-07  2.275467235299749E-09 691394
  18     340.00     360.00  2.891394498895802E-07  1.433136849229851E-09 620338	  18     340.00     360.00  2.231241825558093E-07  1.115401063853065E-09 620338	  18     340.00     360.00  3.832946495822969E-07  1.882708606697956E-09 620338
  19     360.00     380.00  2.310876520549757E-07  1.222333186994688E-09 558584	  19     360.00     380.00  1.782217969338815E-07  9.513772529296120E-10 558584	  19     360.00     380.00  3.065271836427633E-07  1.605627819698542E-09 558584
  20     380.00     400.00  1.847078476133150E-07  1.033009924194743E-09 504419	  20     380.00     400.00  1.423046036943806E-07  8.032917850360898E-10 504419	  20     380.00     400.00  2.452863166290566E-07  1.358327661854078E-09 504419
  21     400.00     420.00  1.479353034355582E-07  8.660480645335198E-10 457022	  21     400.00     420.00  1.138603879064947E-07  6.728194018817156E-10 457022	  21     400.00     420.00  1.966674120463972E-07  1.140040791692563E-09 457022
  22     420.00     440.00  1.204343200638978E-07  7.474958104972709E-10 414818	  22     420.00     440.00  9.265738576909393E-08  5.808593049649020E-10 414818	  22     420.00     440.00  1.601717651844701E-07  9.836397382361070E-10 414818
  23     440.00     460.00  9.825717843162855E-08  6.469409640355795E-10 378499	  23     440.00     460.00  7.553864489360268E-08  5.022044823833240E-10 378499	  23     440.00     460.00  1.307782603759412E-07  8.521994261290297E-10 378499
