# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1635755722
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      30.00      50.00  3.358868078399917E-06  1.605986565963756E-08 154895	   2      30.00      50.00  2.547483141788217E-06  1.223392829685196E-08 154895	   2      30.00      50.00  4.550113290455202E-06  2.165393332326244E-08 154895
   3      50.00      70.00  8.222673577468684E-06  2.235960644795175E-08 537457	   3      50.00      70.00  6.298515199819075E-06  1.720172205181239E-08 537457	   3      50.00      70.00  1.101077650194291E-05  2.980085579163010E-08 537457
   4      70.00      90.00  1.094347797687867E-05  2.356736167381958E-08 940593	   4      70.00      90.00  8.442643862368413E-06  1.826434788546440E-08 940593	   4      70.00      90.00  1.453298716188542E-05  3.114240939436565E-08 940593
   5      90.00     110.00  1.229496996754548E-05  2.329483962842552E-08 1307086	   5      90.00     110.00  9.539179511177317E-06  1.815658726712015E-08 1307086	   5      90.00     110.00  1.621926078281055E-05  3.057453310718513E-08 1307086
   6     110.00     130.00  1.276480722164958E-05  2.243538731633983E-08 1610729	   6     110.00     130.00  9.946951479850948E-06  1.756095644538760E-08 1610729	   6     110.00     130.00  1.675202484139899E-05  2.929727060040695E-08 1610729
   7     130.00     150.00  1.264297094046634E-05  2.129552598956087E-08 1829527	   7     130.00     150.00  9.885499121133629E-06  1.672221157249179E-08 1829527	   7     130.00     150.00  1.652553215869462E-05  2.770398920280703E-08 1829527
   8     150.00     170.00  1.181227571212082E-05  1.947316996597151E-08 1939805	   8     150.00     170.00  9.255201729750357E-06  1.532703694657355E-08 1939805	   8     150.00     170.00  1.540067666990955E-05  2.526134406741196E-08 1939805
   9     170.00     190.00  1.054342217366016E-05  1.759333489879367E-08 1958215	   9     170.00     190.00  8.270039744137776E-06  1.386420304037358E-08 1958215	   9     170.00     190.00  1.372789114590751E-05  2.278851368703488E-08 1958215
  10     190.00     210.00  9.160255826492262E-06  1.546065350393696E-08 1926910	  10     190.00     210.00  7.188442783251270E-06  1.219279041881885E-08 1926910	  10     190.00     210.00  1.191911926145378E-05  2.000718537988396E-08 1926910
  11     210.00     230.00  7.819222789685286E-06  1.357118554895508E-08 1869580	  11     210.00     230.00  6.136338762860495E-06  1.070473355065145E-08 1869580	  11     210.00     230.00  1.017269874597932E-05  1.755622100285759E-08 1869580
  12     230.00     250.00  6.616132337737177E-06  1.177271304742053E-08 1798441	  12     230.00     250.00  5.191780953011763E-06  9.288816812836851E-09 1798441	  12     230.00     250.00  8.607566837593760E-06  1.522379774587783E-08 1798441
