# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1635755722
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  2.487989901233421E-06  1.209182933894388E-08 572565	   1       0.00      20.00  1.918842482007818E-06  9.325514823380120E-09 572565	   1       0.00      20.00  3.305608212436009E-06  1.607367605008141E-08 572565
   2      20.00      40.00  6.404618050736531E-06  1.848406352398754E-08 1172491	   2      20.00      40.00  4.956825910367379E-06  1.431118642409318E-08 1172491	   2      20.00      40.00  8.474308221060054E-06  2.445873080266673E-08 1172491
   3      40.00      60.00  9.146243501870321E-06  2.135248386934045E-08 1480319	   3      40.00      60.00  7.094910424732235E-06  1.657465418876882E-08 1480319	   3      40.00      60.00  1.206911999806510E-05  2.816747526227546E-08 1480319
   4      60.00      80.00  1.132461747498249E-05  2.334880666012349E-08 1671737	   4      60.00      80.00  8.792969473194089E-06  1.814604319074097E-08 1671737	   4      60.00      80.00  1.492692445175414E-05  3.075711956694924E-08 1671737
   5      80.00     100.00  1.224169063913824E-05  2.327287942347299E-08 1787812	   5      80.00     100.00  9.521232059880968E-06  1.813279430623803E-08 1787812	   5      80.00     100.00  1.610251097191357E-05  3.056383801802277E-08 1787812
   6     100.00     120.00  1.214482533967860E-05  2.197063328381029E-08 1844837	   6     100.00     120.00  9.461983802917874E-06  1.716145098266422E-08 1844837	   6     100.00     120.00  1.594218606002467E-05  2.876571078347602E-08 1844837
   7     120.00     140.00  1.151321311187159E-05  2.036776330636517E-08 1860691	   7     120.00     140.00  8.984685014088358E-06  1.595046594881999E-08 1860691	   7     120.00     140.00  1.508279101510930E-05  2.658400855573014E-08 1860691
   8     140.00     160.00  1.049089702186172E-05  1.846436911195320E-08 1844806	   8     140.00     160.00  8.195707156753165E-06  1.447902863365169E-08 1844806	   8     140.00     160.00  1.372518067179853E-05  2.406056636457295E-08 1844806
   9     160.00     180.00  9.363861698365582E-06  1.653691877265536E-08 1812113	   9     160.00     180.00  7.321531631025885E-06  1.298800977173120E-08 1812113	   9     160.00     180.00  1.223735530828727E-05  2.150763178583337E-08 1812113
  10     180.00     200.00  8.292128176149996E-06  1.477410261794089E-08 1765661	  10     180.00     200.00  6.488133460516803E-06  1.161652979030603E-08 1765661	  10     180.00     200.00  1.082687233017511E-05  1.918809560029755E-08 1765661
  11     200.00     220.00  7.211257366793947E-06  1.311785709886138E-08 1713162	  11     200.00     220.00  5.644231935091425E-06  1.032197439792155E-08 1713162	  11     200.00     220.00  9.411255753384427E-06  1.702046729390475E-08 1713162
  12     220.00     240.00  6.228436899586019E-06  1.153731735292763E-08 1653505	  12     220.00     240.00  4.875534885895529E-06  9.078866773191300E-09 1653505	  12     220.00     240.00  8.126775975532216E-06  1.496747835407043E-08 1653505
  13     240.00     260.00  5.321010570039376E-06  1.010722613491929E-08 1586069	  13     240.00     260.00  4.165319431516586E-06  7.957646557491035E-09 1586069	  13     240.00     260.00  6.941961887365772E-06  1.310299377399685E-08 1586069
  14     260.00     280.00  4.527206507805984E-06  8.794032034690282E-09 1522466	  14     260.00     280.00  3.543080265149441E-06  6.922197218829935E-09 1522466	  14     260.00     280.00  5.907463196450182E-06  1.140270158922054E-08 1522466
  15     280.00     300.00  3.860476376648512E-06  7.734654146658251E-09 1459274	  15     280.00     300.00  3.020712208037848E-06  6.089452151790802E-09 1459274	  15     280.00     300.00  5.038137616078782E-06  1.002599714081986E-08 1459274
  16     300.00     320.00  3.250429164780462E-06  6.694033091973485E-09 1392050	  16     300.00     320.00  2.542237943010676E-06  5.267402106398869E-09 1392050	  16     300.00     320.00  4.243795685380209E-06  8.681723295485502E-09 1392050
  17     320.00     340.00  2.736335959939526E-06  5.815835891786431E-09 1323561	  17     320.00     340.00  2.139276211565536E-06  4.575180208894902E-09 1323561	  17     320.00     340.00  3.573986590220937E-06  7.544452807980248E-09 1323561
  18     340.00     360.00  2.294451577392392E-06  5.071076450659917E-09 1257590	  18     340.00     360.00  1.792704996705764E-06  3.987691083020889E-09 1257590	  18     340.00     360.00  2.998712901924545E-06  6.580846105663036E-09 1257590
  19     360.00     380.00  1.921488350420124E-06  4.364655721456779E-09 1193235	  19     360.00     380.00  1.500497740345192E-06  3.430828656582144E-09 1193235	  19     360.00     380.00  2.512608730602154E-06  5.666299354239801E-09 1193235
  20     380.00     400.00  1.606448005129100E-06  3.788249900459991E-09 1132759	  20     380.00     400.00  1.253521364314692E-06  2.975296410498490E-09 1132759	  20     380.00     400.00  2.102336115998672E-06  4.922287824117099E-09 1132759
