# title = Missing Transverse Momentum
# xlabel = $p_{\text{T},\text{miss}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{miss}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1658404060
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      10.00      30.00  8.414713024966795E-03  4.057184256748161E-06 367652653	   1      10.00      30.00  6.329031150448357E-03  3.012724619357300E-06 367652653	   1      10.00      30.00  1.151648187140129E-02  5.640107293010277E-06 367652653
   2      30.00      50.00  7.505576940017099E-03  3.549844335569761E-06 372738204	   2      30.00      50.00  5.645424376826628E-03  2.634419319033732E-06 372738204	   2      30.00      50.00  1.027169162799374E-02  4.937936036130765E-06 372738204
   3      50.00      70.00  4.786282323284046E-03  2.602284903440012E-06 269438214	   3      50.00      70.00  3.600331020629324E-03  1.928318617204270E-06 269438214	   3      50.00      70.00  6.548759704142562E-03  3.626427218544145E-06 269438214
   4      70.00      90.00  2.832057319913051E-03  1.764064526344206E-06 195650929	   4      70.00      90.00  2.130352576023576E-03  1.308164730700690E-06 195650929	   4      70.00      90.00  3.874212566243898E-03  2.456376478736616E-06 195650929
   5      90.00     110.00  1.714232732210389E-03  1.231697733046065E-06 148780837	   5      90.00     110.00  1.289514797116652E-03  9.137519315246118E-07 148780837	   5      90.00     110.00  2.344621930191906E-03  1.714757338981020E-06 148780837
   6     110.00     130.00  1.126786039790397E-03  9.163471420914210E-07 119414564	   6     110.00     130.00  8.475641056119576E-04  6.812868669565322E-07 119414564	   6     110.00     130.00  1.541026338748302E-03  1.271561823107357E-06 119414564
   7     130.00     150.00  7.709379882315448E-04  7.031894948677508E-07 98391538	   7     130.00     150.00  5.798006070401003E-04  5.224925947485781E-07 98391538	   7     130.00     150.00  1.054437961581058E-03  9.767968727157833E-07 98391538
   8     150.00     170.00  5.437673688444292E-04  5.495887058652094E-07 82496761	   8     150.00     170.00  4.089079333618353E-04  4.089296116217885E-07 82496761	   8     150.00     170.00  7.437345766362213E-04  7.622210608124455E-07 82496761
   9     170.00     190.00  3.911977279843393E-04  4.458499716703898E-07 70064408	   9     170.00     190.00  2.940952968813468E-04  3.314136617109293E-07 70064408	   9     170.00     190.00  5.351726346749205E-04  6.190896959781572E-07 70064408
  10     190.00     210.00  2.861221408574175E-04  3.556456492169282E-07 60158591	  10     190.00     210.00  2.150445937479546E-04  2.648171972058766E-07 60158591	  10     190.00     210.00  3.915068489785167E-04  4.927951315123329E-07 60158591
