# title = Azimuthal Angle between Muon and anti-Muon
# xlabel = $\phi_{\mu^+\mu^-}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1635755722
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.08  7.850195902592926E-04  1.951943856256003E-06 4250553
   2       0.08       0.16  8.048312685216303E-04  1.970775760603010E-06 4541179
   3       0.16       0.24  8.440141388836955E-04  1.977019595246427E-06 4274330
   4       0.24       0.31  9.114762362988777E-04  2.038458608908144E-06 3820333
   5       0.31       0.39  9.842877866371085E-04  2.127210555298297E-06 3369605
   6       0.39       0.47  1.057147019377163E-03  2.225181919680750E-06 2969273
   7       0.47       0.55  1.116629628084680E-03  2.350709100447984E-06 2623216
   8       0.55       0.63  1.161754825838137E-03  2.470192552889036E-06 2329896
   9       0.63       0.71  1.193202201832990E-03  2.576035331025024E-06 2080369
  10       0.71       0.79  1.204836460562008E-03  2.666339508819984E-06 1863423
  11       0.79       0.86  1.210260437081732E-03  2.768406971211685E-06 1679463
  12       0.86       0.94  1.201934759876088E-03  2.835718976686000E-06 1518283
  13       0.94       1.02  1.183485645807845E-03  2.867720339282091E-06 1383108
  14       1.02       1.10  1.159325744480542E-03  2.890510219805206E-06 1260285
  15       1.10       1.18  1.137864663361723E-03  2.937804840607609E-06 1158717
  16       1.18       1.26  1.101879246976165E-03  2.959540696494552E-06 1063363
  17       1.26       1.33  1.069687118874766E-03  2.954037001171999E-06 983569
  18       1.33       1.41  1.042582227518392E-03  2.980846053284090E-06 913158
  19       1.41       1.49  1.007105877408388E-03  2.944270112918605E-06 851885
  20       1.49       1.57  9.768615077139896E-04  2.965618830464207E-06 799156
  21       1.57       1.65  9.427834672320878E-04  2.947905616284033E-06 751885
  22       1.65       1.73  9.115706711662882E-04  2.918302506930085E-06 710559
  23       1.73       1.81  8.839450226932746E-04  2.911431680867083E-06 672044
  24       1.81       1.89  8.539457531882748E-04  2.886617979636296E-06 643117
  25       1.89       1.96  8.290761738097469E-04  2.899116717536348E-06 615549
  26       1.96       2.04  8.033813265374382E-04  2.859745285633947E-06 591074
  27       2.04       2.12  7.855385082893644E-04  2.842138778610910E-06 573849
  28       2.12       2.20  7.586606868673906E-04  2.806644590868937E-06 556929
  29       2.20       2.28  7.359007532691520E-04  2.762086200864968E-06 544322
  30       2.28       2.36  7.189604014266471E-04  2.740032743921147E-06 535703
  31       2.36       2.44  7.085789179450045E-04  2.779345455237964E-06 529125
  32       2.44       2.51  6.940231233347871E-04  2.779368658498236E-06 525877
  33       2.51       2.59  6.812848113961309E-04  2.742761441636455E-06 525013
  34       2.59       2.67  6.707162548304013E-04  2.731501927865090E-06 528390
  35       2.67       2.75  6.651555727116677E-04  2.751861540025685E-06 533045
  36       2.75       2.83  6.508973151241379E-04  2.701211564313872E-06 544333
  37       2.83       2.91  6.476582110461752E-04  2.685607439320014E-06 556161
  38       2.91       2.98  6.456618496363490E-04  2.717652832279640E-06 575786
  39       2.98       3.06  6.361130613158296E-04  2.674821408264106E-06 598936
  40       3.06       3.14  6.356826773223997E-04  2.653686492802043E-06 634139
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.8285110286948171E-03  1.3401222982181212E-06 55479000
#=====================================================================================
