# title = Distance muon Pair
# xlabel = $\Delta R_{\mu^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\mu^+\mu^-}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1635755722
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.10       0.30  4.061071340280941E-05  7.383701515451684E-08 6168263
   2       0.30       0.50  3.221634130053600E-04  4.218721510913062E-07 7724838
   3       0.50       0.70  7.611219234542183E-04  9.498954425249033E-07 6957090
   4       0.70       0.90  1.124117840367026E-03  1.425503369842934E-06 5886121
   5       0.90       1.10  1.330104791005970E-03  1.773039287031373E-06 4888865
   6       1.10       1.30  1.390870293709579E-03  1.968595467949308E-06 4023748
   7       1.30       1.50  1.345822457403619E-03  2.050006852693529E-06 3306080
   8       1.50       1.70  1.254211640613780E-03  2.072985235281314E-06 2738213
   9       1.70       1.90  1.134471296086936E-03  2.022567163494300E-06 2292146
  10       1.90       2.10  1.015720955642049E-03  1.965285050725594E-06 1961283
  11       2.10       2.30  9.139779250184615E-04  1.905745826601645E-06 1722546
  12       2.30       2.50  8.286828296773999E-04  1.847634498640547E-06 1565897
  13       2.50       2.70  7.621020643001761E-04  1.792481344242562E-06 1475720
  14       2.70       2.90  7.172672292282068E-04  1.766899492323380E-06 1457934
  15       2.90       3.10  6.864085049221011E-04  1.732438490271220E-06 1510759
  16       3.10       3.30  3.789742826571102E-04  1.229036861213608E-06 949651
  17       3.30       3.50  9.561477925877008E-05  5.462425971317817E-07 287071
  18       3.50       3.70  2.951223827708446E-05  2.899587794284308E-07 105553
  19       3.70       3.90  8.562779676682256E-06  1.483550827438976E-07 36259
  20       3.90       4.10  2.035916546024583E-06  7.477706924014039E-08 9810
  21       4.10       4.30  1.648694116826558E-07  1.581386779635960E-08 1293
  22       4.30       4.50  3.739324186348773E-10  2.928851638849438E-10 13
  23       4.50       4.70  0.000000000000000E+00  0.000000000000000E+00 0
  24       4.70       4.90  0.000000000000000E+00  0.000000000000000E+00 0
  25       4.90       5.10  0.000000000000000E+00  0.000000000000000E+00 0
  26       5.10       5.30  0.000000000000000E+00  0.000000000000000E+00 0
  27       5.30       5.50  0.000000000000000E+00  0.000000000000000E+00 0
  28       5.50       5.70  0.000000000000000E+00  0.000000000000000E+00 0
  29       5.70       5.90  0.000000000000000E+00  0.000000000000000E+00 0
  30       5.90       6.10  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 3.6025876755051437E-08  2.8302703384400406E-10 409847
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.8285110286948439E-03  1.3400368840134308E-06 55479000
#=====================================================================================
