# title = Invariant Mass Electron--anti-Muon System
# xlabel = $M_{\text{e}^-\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^-\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-07
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1658404060
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      40.00  1.147876515925042E-03  8.128710479635618E-07 212370390
   2      40.00      80.00  3.181252549196415E-03  1.438960144493488E-06 537070562
   3      80.00     120.00  3.536630040373287E-03  1.635887595152983E-06 458986688
   4     120.00     160.00  2.583799160964745E-03  1.470116771199826E-06 277545509
   5     160.00     200.00  1.671066879042170E-03  1.196687662820746E-06 179820225
   6     200.00     240.00  1.056419899711754E-03  9.329197399369225E-07 125716106
   7     240.00     280.00  6.795696103832239E-04  7.375517481841592E-07 93159829
   8     280.00     320.00  4.447622604001312E-04  5.666302743752572E-07 72015718
   9     320.00     360.00  2.999430116822156E-04  4.403993531187432E-07 57426397
  10     360.00     400.00  2.072894979642967E-04  3.489725798287826E-07 46900199
  11     400.00     440.00  1.463692116200106E-04  2.825439868116224E-07 39011239
  12     440.00     480.00  1.057693286263569E-04  2.416239085617434E-07 32908859
  13     480.00     520.00  7.720603046013540E-05  1.932608817714905E-07 28096229
  14     520.00     560.00  5.740559183186048E-05  1.633840980477770E-07 24225087
  15     560.00     600.00  4.364041273329299E-05  1.445616481208856E-07 21066025
  16     600.00     640.00  3.297365943495579E-05  1.149805654380240E-07 18460203
  17     640.00     680.00  2.548201807085726E-05  9.786266206415476E-08 16257811
  18     680.00     720.00  2.001343372900913E-05  8.300377037765862E-08 14407009
  19     720.00     760.00  1.571229185548634E-05  7.589451173288060E-08 12832949
  20     760.00     800.00  1.256693792017777E-05  6.779053952231749E-08 11477369
  21     800.00     840.00  1.006573713213792E-05  5.685036350420426E-08 10304024
  22     840.00     880.00  8.027492972738497E-06  4.863552979149514E-08 9285123
  23     880.00     920.00  6.528599912042308E-06  4.634954813770125E-08 8386884
  24     920.00     960.00  5.369016604706599E-06  4.480999876776188E-08 7606368
  25     960.00    1000.00  4.321266143803263E-06  3.411388438564073E-08 6909086
  26    1000.00    1040.00  3.572530274304541E-06  2.688851544359603E-08 6297375
  27    1040.00    1080.00  2.987915903508332E-06  2.989365152508198E-08 5752052
  28    1080.00    1120.00  2.462629579733685E-06  2.328912318432088E-08 5263308
  29    1120.00    1160.00  2.080258631677497E-06  2.189520575837380E-08 4826276
  30    1160.00    1200.00  1.764853526114002E-06  2.027253408141673E-08 4437256
  31    1200.00    1240.00  1.473703401250444E-06  1.757668406989349E-08 4084245
  32    1240.00    1280.00  1.241789377011215E-06  1.558814739396281E-08 3763885
  33    1280.00    1320.00  1.019539664950064E-06  1.219952187188664E-08 3475890
  34    1320.00    1360.00  8.640687860579083E-07  1.142350580315085E-08 3214145
  35    1360.00    1400.00  7.755477932202243E-07  1.142330385532066E-08 2977404
  36    1400.00    1440.00  6.822504184785630E-07  1.682898534683948E-08 2758254
  37    1440.00    1480.00  5.686829544342168E-07  1.005512075446480E-08 2561630
  38    1480.00    1520.00  4.846245006616166E-07  1.067470573417822E-08 2379542
  39    1520.00    1560.00  4.072103440167843E-07  6.790739969470661E-09 2216148
  40    1560.00    1600.00  3.547915566453882E-07  6.683675599779066E-09 2063008
  41    1600.00    1640.00  3.109367526956010E-07  6.318805828142261E-09 1921749
  42    1640.00    1680.00  2.706807795842639E-07  5.876326609510521E-09 1794495
  43    1680.00    1720.00  2.408416712824561E-07  5.598965104721159E-09 1676248
  44    1720.00    1760.00  2.006665991366670E-07  4.481349900680651E-09 1565934
  45    1760.00    1800.00  1.678006547955679E-07  3.654471063788429E-09 1465627
  46    1800.00    1840.00  1.527972957052412E-07  3.960765161326541E-09 1371104
  47    1840.00    1880.00  1.298539679067567E-07  3.275711487115436E-09 1287135
  48    1880.00    1920.00  1.132528528202008E-07  3.188903104767729E-09 1206448
  49    1920.00    1960.00  1.066975525437197E-07  3.940232131334275E-09 1133072
  50    1960.00    2000.00  9.121216687654768E-08  2.471146633439582E-09 1061313
  51    2000.00    2040.00  7.495227748125307E-08  2.108657976412463E-09 996407
  52    2040.00    2080.00  6.833494257747436E-08  2.203912093982099E-09 937406
  53    2080.00    2120.00  6.108379534034322E-08  2.518477023444010E-09 882600
  54    2120.00    2160.00  5.507766651961182E-08  1.942921503717513E-09 828651
  55    2160.00    2200.00  4.654003601187470E-08  1.677430885626319E-09 782425
  56    2200.00    2240.00  4.113511704721978E-08  1.845040728253408E-09 737218
  57    2240.00    2280.00  3.877795291889433E-08  1.578278294544788E-09 693642
  58    2280.00    2320.00  3.306112553309754E-08  1.333461357326675E-09 654913
  59    2320.00    2360.00  2.942424360879858E-08  1.456513780652801E-09 616528
  60    2360.00    2400.00  3.107182943961407E-08  1.609087912814601E-09 583109
  61    2400.00    2440.00  2.346849726322935E-08  1.034519657113323E-09 549427
  62    2440.00    2480.00  2.013190780081829E-08  1.094906379331420E-09 519472
  63    2480.00    2520.00  1.736576302725477E-08  7.416205008565640E-10 491844
  64    2520.00    2560.00  1.646232173436683E-08  8.147233753755906E-10 464739
  65    2560.00    2600.00  1.389757572304379E-08  7.255773079748526E-10 439424
  66    2600.00    2640.00  1.409059239742866E-08  1.134442452012513E-09 416780
  67    2640.00    2680.00  1.135264754404501E-08  5.239684801720603E-10 393487
  68    2680.00    2720.00  9.898173625270769E-09  4.827216277861823E-10 372933
  69    2720.00    2760.00  9.985845452936460E-09  6.994344903832501E-10 352429
  70    2760.00    2800.00  8.694614972650983E-09  5.059858532427668E-10 334008
  71    2800.00    2840.00  7.143933433345584E-09  4.197209763345514E-10 315681
  72    2840.00    2880.00  6.566774698766216E-09  3.889189583826090E-10 299390
  73    2880.00    2920.00  6.556851456904713E-09  8.020972214650909E-10 285274
  74    2920.00    2960.00  6.107528851498467E-09  8.289012856198939E-10 268555
  75    2960.00    3000.00  6.163046730254254E-09  8.865875139405895E-10 255655
  76    3000.00    3040.00  4.159208645081963E-09  2.973743977153384E-10 243036
  77    3040.00    3080.00  4.078784588300859E-09  4.276014079478362E-10 230154
  78    3080.00    3120.00  3.305606197509104E-09  2.344599919883387E-10 218051
  79    3120.00    3160.00  3.078862190750697E-09  2.418475374560137E-10 207928
  80    3160.00    3200.00  2.871639861249783E-09  2.808534708542676E-10 196833
  81    3200.00    3240.00  2.466169397532466E-09  1.769735399361140E-10 187922
  82    3240.00    3280.00  2.445402756757062E-09  2.003612602499288E-10 178010
  83    3280.00    3320.00  2.047631149212943E-09  1.567531364579704E-10 168477
  84    3320.00    3360.00  1.966310107256165E-09  1.349493701482898E-10 160526
  85    3360.00    3400.00  1.587635475449904E-09  1.305639228138826E-10 153306
  86    3400.00    3440.00  1.630981056117070E-09  1.424816282489874E-10 145738
  87    3440.00    3480.00  1.180400595782375E-09  8.285409663340673E-11 138379
  88    3480.00    3520.00  1.195437880871093E-09  9.906462938552695E-11 131425
  89    3520.00    3560.00  9.997415347675761E-10  1.140161462225815E-10 124863
  90    3560.00    3600.00  9.439820692690106E-10  9.396340683498786E-11 119330
  91    3600.00    3640.00  7.807769424587718E-10  6.186565743244132E-11 113844
  92    3640.00    3680.00  7.214686862046434E-10  6.193559477061479E-11 107434
  93    3680.00    3720.00  6.297382921299330E-10  5.020232233837130E-11 102659
  94    3720.00    3760.00  6.800052252154823E-10  9.230046918853221E-11 97329
  95    3760.00    3800.00  6.226457464026120E-10  5.724825772876926E-11 92612
