# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1658404060
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00  6.259449610870300E-07  9.391001457749040E-09 897793
   8     700.00     800.00  9.401694518852634E-05  1.901201874961359E-07 16448731
   9     800.00     900.00  3.470407025492146E-04  4.041555948767358E-07 36252829
  10     900.00    1000.00  5.373644772032132E-04  4.985266515771360E-07 51316713
  11    1000.00    1100.00  6.124646387747979E-04  5.128554939446156E-07 61151416
  12    1100.00    1200.00  6.089248613869115E-04  4.899730085273793E-07 66898793
  13    1200.00    1300.00  5.657040268606587E-04  4.503198024586345E-07 69831610
  14    1300.00    1400.00  5.047014775429771E-04  3.971670326510862E-07 70932474
  15    1400.00    1500.00  4.404298595007950E-04  3.490444480599458E-07 70806174
  16    1500.00    1600.00  3.786364888332917E-04  3.047040172782169E-07 69866286
  17    1600.00    1700.00  3.232420857946246E-04  2.686184423702652E-07 68420593
  18    1700.00    1800.00  2.738865395238293E-04  2.333711229491589E-07 66650963
  19    1800.00    1900.00  2.314318976983577E-04  1.969199093342024E-07 64669056
  20    1900.00    2000.00  1.957587028319227E-04  1.722967109971281E-07 62619390
  21    2000.00    2100.00  1.646971960739711E-04  1.489785089151111E-07 60492649
  22    2100.00    2200.00  1.385453994317582E-04  1.340893683982943E-07 58361961
  23    2200.00    2300.00  1.167409216665342E-04  1.118939858371094E-07 56261644
  24    2300.00    2400.00  9.817287540207325E-05  9.671210769163405E-08 54204382
  25    2400.00    2500.00  8.278541672149364E-05  8.505127163677208E-08 52187196
  26    2500.00    2600.00  6.960959032465773E-05  7.260578764070598E-08 50231909
  27    2600.00    2700.00  5.871557882465328E-05  6.442362300797897E-08 48368457
  28    2700.00    2800.00  4.944352566616979E-05  5.570513514380966E-08 46537560
  29    2800.00    2900.00  4.175464648805363E-05  4.855031422244963E-08 44800639
  30    2900.00    3000.00  3.512101387401499E-05  4.231312863516206E-08 43117970
