# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1635755722
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  5.397077987026911E-06  9.551907587928111E-08 62507
   2      -4.25      -4.00  1.352158948230883E-05  1.676393919187138E-07 115705
   3      -4.00      -3.75  2.951773789655254E-05  2.664090231230850E-07 200162
   4      -3.75      -3.50  5.874531887843087E-05  4.019697608016927E-07 329148
   5      -3.50      -3.25  1.086808977937042E-04  5.789339166445017E-07 508382
   6      -3.25      -3.00  1.813827436658654E-04  7.625910650860135E-07 742339
   7      -3.00      -2.75  2.833946205647557E-04  9.760348106761418E-07 1037320
   8      -2.75      -2.50  3.979577928066971E-04  1.140949018649333E-06 1378370
   9      -2.50      -2.25  5.252639819644781E-04  1.304632057281446E-06 1751513
  10      -2.25      -2.00  6.438694917912164E-04  1.433950164580799E-06 2137853
  11      -2.00      -1.75  7.450172259918153E-04  1.524827364455699E-06 2505774
  12      -1.75      -1.50  7.957242567941177E-04  1.519679916953511E-06 2817833
  13      -1.50      -1.25  7.986475520548644E-04  1.475444758430008E-06 3035494
  14      -1.25      -1.00  7.571601853249240E-04  1.396520680591949E-06 3139930
  15      -1.00      -0.75  6.744490219330064E-04  1.268612116355419E-06 3119594
  16      -0.75      -0.50  5.680106257368923E-04  1.104642431247323E-06 2995096
  17      -0.50      -0.25  4.557442975195728E-04  9.304923271724064E-07 2792017
  18      -0.25       0.00  3.589200137372915E-04  7.698114488700403E-07 2539781
  19       0.00       0.25  2.878709760616853E-04  6.418732710297019E-07 2286745
  20       0.25       0.50  2.475355178696015E-04  5.844606344945504E-07 2054092
  21       0.50       0.75  2.369679034967119E-04  6.028921086851743E-07 1873281
  22       0.75       1.00  2.470679324333461E-04  6.761292527406091E-07 1759734
  23       1.00       1.25  2.693903351464684E-04  7.499543147904967E-07 1717724
  24       1.25       1.50  2.911252577270874E-04  8.230831617032490E-07 1718138
  25       1.50       1.75  3.068761090645969E-04  8.539854331353535E-07 1727796
  26       1.75       2.00  3.117572902820025E-04  8.757185601495991E-07 1713701
  27       2.00       2.25  3.067923628187454E-04  8.880915527456863E-07 1663557
  28       2.25       2.50  2.870676664332816E-04  8.640404834212763E-07 1570931
  29       2.50       2.75  2.560296347214811E-04  8.140375602691720E-07 1422168
  30       2.75       3.00  2.227007249396812E-04  7.629624803729110E-07 1239155
  31       3.00       3.25  1.834057410487177E-04  6.765522889740490E-07 1028833
  32       3.25       3.50  1.471724453820283E-04  5.929544172883694E-07 816175
  33       3.50       3.75  1.123004238125487E-04  4.926100301071139E-07 617333
  34       3.75       4.00  8.237877865635756E-05  4.006790692581554E-07 441973
  35       4.00       4.25  5.699722186766822E-05  3.086046519824954E-07 300080
  36       4.25       4.50  3.741401211280828E-05  2.318692032158592E-07 193248
# Underflow:                 1.6720605070018239E-06  4.3245039741727889E-08 26565
# Overflow:                  2.0117288473918975E-05  1.7568639601115234E-07 98953
#-------------------------------------------------------------------------------------
# Sum:                       2.8285110286948153E-03  1.3400920416837247E-06 55479000
#=====================================================================================
