# title = Rapidity Muon
# xlabel = $y_{\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^-}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1658404060
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  5.429648404785634E-02  1.182737028043516E-04 40328026
   2      -2.25      -2.00  7.062815446472667E-02  1.218353195713256E-04 58441317
   3      -2.00      -1.75  8.934705927894283E-02  1.284094708373498E-04 79623359
   4      -1.75      -1.50  1.077014920213118E-01  1.294766896189616E-04 100639169
   5      -1.50      -1.25  1.255316429630109E-01  1.326811956841588E-04 119970879
   6      -1.25      -1.00  1.400517450673684E-01  1.315811331881368E-04 136748824
   7      -1.00      -0.75  1.514858666789985E-01  1.320262122380668E-04 150627019
   8      -0.75      -0.50  1.595664408344852E-01  1.320461877145443E-04 161414162
   9      -0.50      -0.25  1.646863139982211E-01  1.286698767733774E-04 168984616
  10      -0.25       0.00  1.671142671896823E-01  1.270378629900684E-04 173237511
  11       0.00       0.25  1.671733253665543E-01  1.238323422888005E-04 173981551
  12       0.25       0.50  1.649250393447235E-01  1.216008785404618E-04 171122809
  13       0.50       0.75  1.602130835443680E-01  1.210339163324386E-04 164637338
  14       0.75       1.00  1.520903388383805E-01  1.174275571170556E-04 154545492
  15       1.00       1.25  1.405493750709237E-01  1.156583185584319E-04 140934539
  16       1.25       1.50  1.257289342114705E-01  1.128453017199697E-04 124036535
  17       1.50       1.75  1.081696482125962E-01  1.078957705950956E-04 104425065
  18       1.75       2.00  8.940901913609055E-02  1.038932156935924E-04 82978258
  19       2.00       2.25  7.140710741005518E-02  9.893990343740163E-05 61513082
  20       2.25       2.50  5.445056421457375E-02  9.300667310003018E-05 43075449
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       4.2283446144372183E-02  1.8979939316924941E-05 53479000
#=====================================================================================
