# title = Transverse Momentum anti-Muon
# xlabel = $p_{\text{T},\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-07
# ymax=  5.000E-03
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1635755722
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  3.861154195433306E-05  3.877937661689090E-08 8850534
   3      40.00      60.00  3.234646677867891E-05  3.404651780273588E-08 8274420
   4      60.00      80.00  2.223326631043915E-05  2.687791216548078E-08 6100378
   5      80.00     100.00  1.465377591200974E-05  2.074708505855119E-08 4626440
   6     100.00     120.00  9.407193643804281E-06  1.564368025406307E-08 3571888
   7     120.00     140.00  6.297162721417870E-06  1.208694759958899E-08 2863549
   8     140.00     160.00  4.454038373339400E-06  9.672898144583727E-09 2372340
   9     160.00     180.00  3.204737128906731E-06  7.782756617968516E-09 1998303
  10     180.00     200.00  2.360430027365734E-06  6.358183304171714E-09 1707037
  11     200.00     220.00  1.746273471396382E-06  5.154946953740759E-09 1468704
  12     220.00     240.00  1.325344658764682E-06  4.263842082358635E-09 1275689
  13     240.00     260.00  1.015978652333632E-06  3.553374728798947E-09 1116983
  14     260.00     280.00  7.765002926179186E-07  2.938762880587877E-09 982689
  15     280.00     300.00  6.054912612009458E-07  2.459976342639412E-09 871998
  16     300.00     320.00  4.669184134934257E-07  2.045434778634241E-09 774176
  17     320.00     340.00  3.704445336245616E-07  1.732128641856824E-09 691394
  18     340.00     360.00  2.891394498895802E-07  1.433136849229851E-09 620338
  19     360.00     380.00  2.310876520549757E-07  1.222333186994688E-09 558584
  20     380.00     400.00  1.847078476133150E-07  1.033009924194743E-09 504419
  21     400.00     420.00  1.479353034355582E-07  8.660480645335198E-10 457022
  22     420.00     440.00  1.204343200638978E-07  7.474958104972709E-10 414818
  23     440.00     460.00  9.825717843162855E-08  6.469409640355795E-10 378499
  24     460.00     480.00  8.034859650051306E-08  5.545855140267494E-10 344938
  25     480.00     500.00  6.495666407086453E-08  4.712355909200165E-10 315358
  26     500.00     520.00  5.325411331114124E-08  4.071873860695689E-10 289045
  27     520.00     540.00  4.366874737609133E-08  3.436397056006442E-10 264440
  28     540.00     560.00  3.618070488919582E-08  2.975378224818789E-10 243972
  29     560.00     580.00  3.016571592043184E-08  2.636635608951956E-10 224780
  30     580.00     600.00  2.561855360212527E-08  2.344011689239654E-10 207725
  31     600.00     620.00  2.098815800040678E-08  1.969215418498827E-10 192337
  32     620.00     640.00  1.811224355455762E-08  1.770933765368123E-10 178210
  33     640.00     660.00  1.508171117299077E-08  1.576665402501345E-10 164868
  34     660.00     680.00  1.269470942799979E-08  1.348056019533350E-10 152969
  35     680.00     700.00  1.079143374914951E-08  1.193442925320378E-10 141768
  36     700.00     720.00  8.991624129198081E-09  1.010558062298920E-10 132556
  37     720.00     740.00  7.646007810030222E-09  9.136320206317912E-11 122896
  38     740.00     760.00  6.697480140559868E-09  8.116638444039101E-11 114232
  39     760.00     780.00  5.581503047698716E-09  6.995010867609565E-11 106951
  40     780.00     800.00  4.922151943008987E-09  6.392625869577844E-11 100289
  41     800.00     820.00  4.179979091559646E-09  5.620051989358489E-11 93446
  42     820.00     840.00  3.610696508613919E-09  5.193966018062283E-11 87554
  43     840.00     860.00  3.107400968996573E-09  4.564800607600808E-11 81834
  44     860.00     880.00  2.683548105670348E-09  4.071288822743368E-11 76969
  45     880.00     900.00  2.350940502058816E-09  3.652971546957931E-11 72434
  46     900.00     920.00  2.040690864341984E-09  3.301883905479736E-11 67246
  47     920.00     940.00  1.764220378079733E-09  2.894311098057274E-11 63501
  48     940.00     960.00  1.575657016168176E-09  2.702596525148345E-11 59911
  49     960.00     980.00  1.309762865622462E-09  2.311142307538354E-11 55887
  50     980.00    1000.00  1.163462827242470E-09  2.116843501091892E-11 52933
  51    1000.00    1020.00  1.021903656014340E-09  1.989455970748524E-11 49944
  52    1020.00    1040.00  8.784623472595974E-10  1.700787020998898E-11 47164
  53    1040.00    1060.00  7.919470221381108E-10  1.596390298056163E-11 44327
  54    1060.00    1080.00  7.096583861234261E-10  1.484295919035550E-11 42406
  55    1080.00    1100.00  5.963932110613057E-10  1.260572754285297E-11 39492
  56    1100.00    1120.00  5.491343384844220E-10  1.215228145464064E-11 37683
  57    1120.00    1140.00  4.751804996027109E-10  1.067746601351588E-11 35508
  58    1140.00    1160.00  4.173694875081925E-10  9.808786959702592E-12 33630
  59    1160.00    1180.00  3.736763425905216E-10  8.815426297522511E-12 31601
  60    1180.00    1200.00  3.328751199565226E-10  8.030450558323877E-12 30077
  61    1200.00    1220.00  3.040667871787334E-10  7.880333645958242E-12 28411
  62    1220.00    1240.00  2.618903070950396E-10  6.566724749268108E-12 26999
  63    1240.00    1260.00  2.216496181329261E-10  5.878207453075386E-12 25693
  64    1260.00    1280.00  2.067001431213998E-10  6.190480973891691E-12 24431
  65    1280.00    1300.00  1.885540381764204E-10  5.201231372472124E-12 23228
  66    1300.00    1320.00  1.688560394252192E-10  4.936527099826160E-12 21858
