# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1658404060
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      30.00      50.00  9.728850524271990E-04  2.127540027589623E-06 7092274
   3      50.00      70.00  2.092488596979735E-03  2.604618216409011E-06 23749388
   4      70.00      90.00  2.583775304183954E-03  2.468170610465363E-06 40997601
   5      90.00     110.00  2.772873466381403E-03  2.305720678370983E-06 56709609
   6     110.00     130.00  2.794123383374520E-03  2.132410125650208E-06 69717621
   7     130.00     150.00  2.711215295493253E-03  1.979364073838028E-06 79419679
   8     150.00     170.00  2.498004196483973E-03  1.787284274708258E-06 84445514
   9     170.00     190.00  2.199185786010608E-03  1.565453069366447E-06 85484401
  10     190.00     210.00  1.893560785718115E-03  1.393903461854409E-06 84277065
  11     210.00     230.00  1.608473766057994E-03  1.212272318151900E-06 81859022
  12     230.00     250.00  1.359925641677549E-03  1.062173949370321E-06 78802359
  13     250.00     270.00  1.139742589175994E-03  9.282595928639778E-07 75448767
  14     270.00     290.00  9.570360244340892E-04  8.205959990002120E-07 72015837
  15     290.00     310.00  8.034194382496457E-04  7.197028891224400E-07 68595768
  16     310.00     330.00  6.731620474790628E-04  6.329317897708202E-07 65248887
  17     330.00     350.00  5.658053533265136E-04  5.601594624650097E-07 62018412
  18     350.00     370.00  4.760145988717975E-04  4.981393379052358E-07 58934817
  19     370.00     390.00  4.002298618842066E-04  4.417284123829556E-07 56006585
  20     390.00     410.00  3.379596334250756E-04  3.942817172808794E-07 53231149
  21     410.00     430.00  2.849284277480901E-04  3.446492321885047E-07 50596086
  22     430.00     450.00  2.416783212490623E-04  3.105086491798449E-07 48101132
  23     450.00     470.00  2.043733987378982E-04  2.759310669148350E-07 45755408
  24     470.00     490.00  1.737367838959693E-04  2.456249392507596E-07 43538295
  25     490.00     510.00  1.478976222952338E-04  2.225572901200715E-07 41457284
  26     510.00     530.00  1.256956339508864E-04  1.948379801658300E-07 39480315
  27     530.00     550.00  1.077745143277821E-04  1.777181188003834E-07 37623336
  28     550.00     570.00  9.176704419785306E-05  1.545479577062039E-07 35856901
  29     570.00     590.00  7.835866883795885E-05  1.378409992933309E-07 34207318
  30     590.00     610.00  6.745382100306365E-05  1.261875556290606E-07 32637681
  31     610.00     630.00  5.801219285856085E-05  1.116349513638649E-07 31155263
