# title = Azimuthal Angle between Muon and anti-Muon
# xlabel = $\phi_{\mu^+\mu^-}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1658404060
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.08  1.289871237941516E-01  1.398558622953462E-04 186580677
   2       0.08       0.16  1.325147795795265E-01  1.425607365570224E-04 199185592
   3       0.16       0.24  1.397399170412303E-01  1.436950053016537E-04 187143060
   4       0.24       0.31  1.505681133527466E-01  1.481897157948362E-04 167088437
   5       0.31       0.39  1.617355810419394E-01  1.534104167672688E-04 147255944
   6       0.39       0.47  1.731868337891458E-01  1.626661446688970E-04 129664728
   7       0.47       0.55  1.820016538981021E-01  1.680707091416361E-04 114542038
   8       0.55       0.63  1.884403099857321E-01  1.767886632106496E-04 101677698
   9       0.63       0.71  1.928018252529256E-01  1.840661322800477E-04 90704651
  10       0.71       0.79  1.942267130293271E-01  1.914589902268853E-04 81334107
  11       0.79       0.86  1.948954916788065E-01  1.998137116316030E-04 73288640
  12       0.86       0.94  1.936104074980246E-01  2.004489491015714E-04 66325083
  13       0.94       1.02  1.909639726103971E-01  2.046748396868045E-04 60274210
  14       1.02       1.10  1.876192660315448E-01  2.070912748333604E-04 55013912
  15       1.10       1.18  1.837579356644983E-01  2.110832921354541E-04 50435887
  16       1.18       1.26  1.788215501580898E-01  2.193600897895768E-04 46422039
  17       1.26       1.33  1.745155539042054E-01  2.139047557602476E-04 42897657
  18       1.33       1.41  1.692549256829927E-01  2.196813148636063E-04 39820825
  19       1.41       1.49  1.640638659189467E-01  2.146377708536660E-04 37103247
  20       1.49       1.57  1.599815412063962E-01  2.184648097774026E-04 34718013
  21       1.57       1.65  1.543026671471791E-01  2.176257105571912E-04 32641255
  22       1.65       1.73  1.493236312330255E-01  2.147337204598314E-04 30816529
  23       1.73       1.81  1.449555837460983E-01  2.131632114146097E-04 29219274
  24       1.81       1.89  1.405310800908358E-01  2.169295555497149E-04 27822934
  25       1.89       1.96  1.362495470058327E-01  2.104207753303628E-04 26618846
  26       1.96       2.04  1.323068663399848E-01  2.181270158771025E-04 25586931
  27       2.04       2.12  1.291700011070710E-01  2.156628078176624E-04 24712895
  28       2.12       2.20  1.253982808201757E-01  2.109572360490872E-04 23961989
  29       2.20       2.28  1.229335324859444E-01  2.129795488511854E-04 23376372
  30       2.28       2.36  1.197721339217266E-01  2.126888377532076E-04 22901076
  31       2.36       2.44  1.173201771262811E-01  2.127293035451944E-04 22559177
  32       2.44       2.51  1.152364156169087E-01  2.165529982625664E-04 22339307
  33       2.51       2.59  1.133223614365462E-01  2.172207407894953E-04 22245314
  34       2.59       2.67  1.114265902368485E-01  2.146697882608814E-04 22279761
  35       2.67       2.75  1.098834088627157E-01  2.122009374236290E-04 22442807
  36       2.75       2.83  1.088996659372456E-01  2.118251024173671E-04 22746209
  37       2.83       2.91  1.076455189454996E-01  2.116062178752528E-04 23198731
  38       2.91       2.98  1.074397982008635E-01  2.176064108326216E-04 23823465
  39       2.98       3.06  1.061467012208126E-01  2.031993715424126E-04 24676263
  40       3.06       3.14  1.060788712574145E-01  2.088390909219025E-04 25819413
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       3.2395398091406735E-02  1.4445840536740670E-05 53479000
#=====================================================================================
