# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^-\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^-\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1658404060
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  1.282002459836824E-04  4.141356970606149E-06 180720
   2      -4.75      -4.50  4.669571492893409E-04  8.866681782171188E-06 688987
   3      -4.50      -4.25  9.149544946399507E-04  1.002173896039084E-05 1473442
   4      -4.25      -4.00  1.614326517086020E-03  1.386388441904400E-05 2599401
   5      -4.00      -3.75  2.560567972677956E-03  1.722259145961841E-05 4119757
   6      -3.75      -3.50  3.978267771115678E-03  2.236069206663793E-05 6112078
   7      -3.50      -3.25  5.950455055696280E-03  2.784244523238734E-05 8655770
   8      -3.25      -3.00  8.795107582863225E-03  3.767161120787527E-05 11848641
   9      -3.00      -2.75  1.281526724792520E-02  4.593946784063739E-05 15861000
  10      -2.75      -2.50  1.822513268650693E-02  5.138752031729211E-05 20853193
  11      -2.50      -2.25  2.574459512578760E-02  6.184659700990667E-05 27177721
  12      -2.25      -2.00  3.528937550192690E-02  6.614687965335828E-05 35220370
  13      -2.00      -1.75  4.761859800590897E-02  7.503920480824263E-05 45607916
  14      -1.75      -1.50  6.197182020710774E-02  8.167074118402755E-05 59095524
  15      -1.50      -1.25  7.844857348492675E-02  8.619827412579872E-05 76683633
  16      -1.25      -1.00  9.585231815396034E-02  8.929286895753968E-05 99664403
  17      -1.00      -0.75  1.128872079148781E-01  9.323492728412544E-05 129703633
  18      -0.75      -0.50  1.276831094658295E-01  9.359043356574272E-05 169458576
  19      -0.50      -0.25  1.389093320008442E-01  9.353446139771976E-05 223776158
  20      -0.25       0.00  1.456231799821883E-01  9.434948696719874E-05 296249610
  21       0.00       0.25  1.458488481143723E-01  9.552477272968159E-05 295405468
  22       0.25       0.50  1.390523144722715E-01  9.463837661062391E-05 221268338
  23       0.50       0.75  1.280678146824802E-01  9.437043003270220E-05 165488998
  24       0.75       1.00  1.130278013854820E-01  9.261907981807579E-05 124654262
  25       1.00       1.25  9.611825493321401E-02  9.070895543911729E-05 93971430
  26       1.25       1.50  7.861626080810381E-02  8.835926450512350E-05 70762688
  27       1.50       1.75  6.237082876157143E-02  8.511180802773975E-05 53234359
  28       1.75       2.00  4.761216620304471E-02  7.530308721138946E-05 40081446
  29       2.00       2.25  3.568629906301862E-02  7.041704420874082E-05 30228872
  30       2.25       2.50  2.591556106114425E-02  6.272255750719671E-05 22821758
  31       2.50       2.75  1.830345511819274E-02  4.978560268345507E-05 17181040
  32       2.75       3.00  1.286665496717959E-02  4.186045579163253E-05 12855646
  33       3.00       3.25  8.825606349921238E-03  3.523841988575058E-05 9489283
  34       3.25       3.50  6.014841626305461E-03  2.719160809761227E-05 6873454
  35       3.50       3.75  4.041821657424458E-03  2.269217675544528E-05 4821272
  36       3.75       4.00  2.567008280285189E-03  1.567189879892747E-05 3235399
  37       4.00       4.25  1.619440190495527E-03  1.259117972686658E-05 2035898
  38       4.25       4.50  9.373693250689897E-04  1.065739175681823E-05 1150472
  39       4.50       4.75  4.581094827244806E-04  6.746188689435059E-06 535687
  40       4.75       5.00  1.213491378418036E-04  3.369158724736942E-06 138697
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       3.2395398091405889E-02  1.4445232721183919E-05 53479000
#=====================================================================================
