# title = Azimuthal Angle between two jets
# xlabel = $\phi_{\text{j}_1\text{j}_2}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1635755722
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.08  7.192455854195430E-04  2.733145921147951E-06 863536
   2       0.08       0.16  7.113394410167692E-04  2.706257055674239E-06 863594
   3       0.16       0.24  7.203354916434815E-04  2.748588174118183E-06 866196
   4       0.24       0.31  7.204626633465097E-04  2.715491777575177E-06 869943
   5       0.31       0.39  7.309216246194536E-04  2.744446673210678E-06 876199
   6       0.39       0.47  7.338589890567653E-04  2.749118612547972E-06 882798
   7       0.47       0.55  7.406153356283367E-04  2.759385406790782E-06 889691
   8       0.55       0.63  7.450500126268167E-04  2.737042208752439E-06 897636
   9       0.63       0.71  7.621548124527804E-04  2.786422493852266E-06 908542
  10       0.71       0.79  7.725773221730290E-04  2.807874481815522E-06 920599
  11       0.79       0.86  7.836475544127710E-04  2.800625160136758E-06 933393
  12       0.86       0.94  8.045023671991035E-04  2.866016229008831E-06 948879
  13       0.94       1.02  8.201682666483155E-04  2.903264690597671E-06 963816
  14       1.02       1.10  8.369796503857182E-04  2.888549287775033E-06 982205
  15       1.10       1.18  8.556009516443458E-04  2.951966046564569E-06 1000649
  16       1.18       1.26  8.783993120894789E-04  2.969716842846188E-06 1025265
  17       1.26       1.33  9.037247371011187E-04  3.023015015729038E-06 1046878
  18       1.33       1.41  9.337534959733973E-04  3.073232448520734E-06 1074225
  19       1.41       1.49  9.643278671160215E-04  3.139914212518001E-06 1100398
  20       1.49       1.57  9.962750838397264E-04  3.167198447933945E-06 1130745
  21       1.57       1.65  1.028989822995914E-03  3.223235078335057E-06 1164549
  22       1.65       1.73  1.069412494549809E-03  3.289789081591254E-06 1199207
  23       1.73       1.81  1.106732168104511E-03  3.329689416371490E-06 1239489
  24       1.81       1.89  1.154004321544998E-03  3.413330890163972E-06 1280153
  25       1.89       1.96  1.193080845906994E-03  3.457139267554260E-06 1328899
  26       1.96       2.04  1.253105854447111E-03  3.577268527166821E-06 1377038
  27       2.04       2.12  1.299020552958422E-03  3.631002919132555E-06 1435598
  28       2.12       2.20  1.360161867703946E-03  3.727099215819417E-06 1493204
  29       2.20       2.28  1.429666810818425E-03  3.886394427975523E-06 1560638
  30       2.28       2.36  1.497783115853358E-03  3.978806252622589E-06 1635066
  31       2.36       2.44  1.558335805943047E-03  4.044330331083002E-06 1715376
  32       2.44       2.51  1.635420662254761E-03  4.182386719009841E-06 1803857
  33       2.51       2.59  1.707800288328460E-03  4.297500892793677E-06 1904072
  34       2.59       2.67  1.777474087715363E-03  4.427230572059400E-06 2011068
  35       2.67       2.75  1.856722625291015E-03  4.517373605602383E-06 2130465
  36       2.75       2.83  1.925646198605027E-03  4.635710152319831E-06 2266835
  37       2.83       2.91  1.996402287570776E-03  4.765328263477885E-06 2411699
  38       2.91       2.98  2.043008746218645E-03  4.837893195160300E-06 2587189
  39       2.98       3.06  2.088136296478444E-03  4.892310361659506E-06 2803441
  40       3.06       3.14  2.111350214335003E-03  4.940574361415652E-06 3085968
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  8.8363580483339053E-14  8.7933486580438478E-14 2
#-------------------------------------------------------------------------------------
# Sum:                       3.7091367313704560E-03  1.7551211362721122E-06 55479000
#=====================================================================================
