# title = Azimuthal Angle between Muon and anti-Muon
# xlabel = $\phi_{\mu^+\mu^-}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1635755722
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.08  1.032743570541252E-03  2.554532695111085E-06 4250553
   2       0.08       0.16  1.059006421966174E-03  2.579264005686927E-06 4541179
   3       0.16       0.24  1.111141278839950E-03  2.589908090241409E-06 4274330
   4       0.24       0.31  1.200108088260065E-03  2.669536210264720E-06 3820333
   5       0.31       0.39  1.295644209925461E-03  2.783742277928662E-06 3369605
   6       0.39       0.47  1.391396687460953E-03  2.915040901183385E-06 2969273
   7       0.47       0.55  1.468794065149193E-03  3.079345345818084E-06 2623216
   8       0.55       0.63  1.527405223269665E-03  3.235934457391287E-06 2329896
   9       0.63       0.71  1.567926924262351E-03  3.375373682336610E-06 2080369
  10       0.71       0.79  1.582603049453574E-03  3.493526457413330E-06 1863423
  11       0.79       0.86  1.589080352729417E-03  3.628164525215479E-06 1679463
  12       0.86       0.94  1.577366708713201E-03  3.715491861657635E-06 1518283
  13       0.94       1.02  1.552694167298970E-03  3.757596486567901E-06 1383108
  14       1.02       1.10  1.520654903425946E-03  3.788672873468374E-06 1260285
  15       1.10       1.18  1.491863346021518E-03  3.850224363938855E-06 1158717
  16       1.18       1.26  1.444524761084039E-03  3.880129460190705E-06 1063363
  17       1.26       1.33  1.401913093838900E-03  3.872113161713996E-06 983569
  18       1.33       1.41  1.365953694717751E-03  3.904463803577899E-06 913158
  19       1.41       1.49  1.319271797569182E-03  3.857733836301404E-06 851885
  20       1.49       1.57  1.279586124545440E-03  3.887217524980396E-06 799156
  21       1.57       1.65  1.234479288839078E-03  3.860843834229632E-06 751885
  22       1.65       1.73  1.193594905358052E-03  3.821678050376695E-06 710559
  23       1.73       1.81  1.157526812133185E-03  3.815648741356138E-06 672044
  24       1.81       1.89  1.117798179642363E-03  3.779868586247635E-06 643117
  25       1.89       1.96  1.085336211705992E-03  3.797081439474604E-06 615549
  26       1.96       2.04  1.051439261691456E-03  3.743348006002794E-06 591074
  27       2.04       2.12  1.028125141833251E-03  3.723046295341097E-06 573849
  28       2.12       2.20  9.928451526583617E-04  3.672749202734549E-06 556929
  29       2.20       2.28  9.630899091955989E-04  3.615501623312503E-06 544322
  30       2.28       2.36  9.405409460075004E-04  3.583660535859203E-06 535703
  31       2.36       2.44  9.271232252732662E-04  3.637511977022833E-06 529125
  32       2.44       2.51  9.080453817853760E-04  3.639140711272045E-06 525877
  33       2.51       2.59  8.913406109345449E-04  3.589174545487438E-06 525013
  34       2.59       2.67  8.775690174896600E-04  3.576645127224522E-06 528390
  35       2.67       2.75  8.703296253834621E-04  3.603592231268704E-06 533045
  36       2.75       2.83  8.516444305812344E-04  3.537491863419806E-06 544333
  37       2.83       2.91  8.472603584569881E-04  3.513001159166795E-06 556161
  38       2.91       2.98  8.446647645963758E-04  3.557641586201199E-06 575786
  39       2.98       3.06  8.322490527570731E-04  3.500604103970378E-06 598936
  40       3.06       3.14  8.315148867106601E-04  3.474193879665626E-06 634139
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       3.7091367313705015E-03  1.7551271978702273E-06 55479000
#=====================================================================================
