# title = Invariant Mass Electron--anti-Muon System
# xlabel = $M_{\text{e}^-\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^-\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-07
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1635755722
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      40.00  6.691858816302420E-06  1.044820417060277E-08 5009287
   2      40.00      80.00  1.834245003848817E-05  1.798773109325751E-08 12648159
   3      80.00     120.00  2.078865619367768E-05  2.063618002909152E-08 10738116
   4     120.00     160.00  1.551327201584785E-05  1.880003760786595E-08 6428772
   5     160.00     200.00  1.023612227171382E-05  1.566278664225340E-08 4126317
   6     200.00     240.00  6.545631263890227E-06  1.241851136339729E-08 2858130
   7     240.00     280.00  4.254945145188429E-06  9.791357861688934E-09 2100060
   8     280.00     320.00  2.842891341795964E-06  7.843128852741391E-09 1614086
   9     320.00     360.00  1.945402347636086E-06  6.297756440990088E-09 1280966
  10     360.00     400.00  1.376967530095106E-06  5.430055234477435E-09 1042066
  11     400.00     440.00  9.813114852602334E-07  4.467332800748359E-09 861095
  12     440.00     480.00  7.156567099410470E-07  3.778589668296655E-09 725870
  13     480.00     520.00  5.375735425260975E-07  3.340064953016260E-09 617134
  14     520.00     560.00  4.062841130268719E-07  2.975607766746676E-09 531523
  15     560.00     600.00  3.134122129621398E-07  2.607438380693269E-09 460196
  16     600.00     640.00  2.407461343922946E-07  2.265900093086334E-09 403177
  17     640.00     680.00  1.871480065129714E-07  2.029781556508077E-09 353572
  18     680.00     720.00  1.513256290422521E-07  1.840208036495529E-09 314207
  19     720.00     760.00  1.191052997983464E-07  1.655266788599659E-09 279136
  20     760.00     800.00  9.382353005069999E-08  1.417288406682493E-09 249986
  21     800.00     840.00  7.608429731784659E-08  1.421045206780956E-09 224649
  22     840.00     880.00  6.041981276232333E-08  9.878106945383553E-10 201405
  23     880.00     920.00  5.022406302297458E-08  9.825449180247016E-10 181950
  24     920.00     960.00  4.013965980451979E-08  9.490038848657330E-10 165062
  25     960.00    1000.00  3.376629600959355E-08  8.035189810872261E-10 149076
  26    1000.00    1040.00  2.734843358537644E-08  5.964403275258281E-10 136499
  27    1040.00    1080.00  2.346128567694408E-08  6.486438849177236E-10 124529
  28    1080.00    1120.00  1.977699679536299E-08  5.903653710515439E-10 113498
  29    1120.00    1160.00  1.599431858467197E-08  5.463505297534148E-10 104900
  30    1160.00    1200.00  1.356261068384216E-08  4.854418434276319E-10 95404
  31    1200.00    1240.00  1.163779368121529E-08  3.802177372964116E-10 88207
  32    1240.00    1280.00  1.001196383195075E-08  4.126652755991598E-10 80856
  33    1280.00    1320.00  8.120364796012432E-09  3.533412590247070E-10 74606
  34    1320.00    1360.00  6.530331831332175E-09  2.225546219312962E-10 69610
  35    1360.00    1400.00  6.561056067417010E-09  3.648882551255863E-10 64128
  36    1400.00    1440.00  5.082421507816920E-09  2.485962346987967E-10 59584
  37    1440.00    1480.00  4.179242602787663E-09  1.485607413299377E-10 55143
  38    1480.00    1520.00  3.770383703393501E-09  1.506673776568498E-10 51552
  39    1520.00    1560.00  3.493223968977023E-09  3.491254739553470E-10 47585
  40    1560.00    1600.00  2.929801122978586E-09  1.311760206371249E-10 44571
  41    1600.00    1640.00  2.406579146961296E-09  1.407933040104633E-10 41257
  42    1640.00    1680.00  1.991490637818109E-09  1.022209745413699E-10 38756
  43    1680.00    1720.00  1.869026798037769E-09  1.012869352918727E-10 36140
  44    1720.00    1760.00  1.446701619504302E-09  6.812798816228033E-11 33603
  45    1760.00    1800.00  1.394839988361063E-09  8.597642233775536E-11 31565
  46    1800.00    1840.00  1.380200813406192E-09  1.078427509240160E-10 29042
  47    1840.00    1880.00  1.105531296767253E-09  8.621152819784111E-11 27784
  48    1880.00    1920.00  1.084480393376077E-09  8.886832633975259E-11 26087
  49    1920.00    1960.00  9.512985070781820E-10  7.987236774986736E-11 23956
  50    1960.00    2000.00  8.643461913018222E-10  1.207409769917934E-10 22934
  51    2000.00    2040.00  6.850403649760760E-10  4.428276193785596E-11 21109
  52    2040.00    2080.00  6.244958993507036E-10  5.616191777367454E-11 19774
  53    2080.00    2120.00  5.082267028674896E-10  4.109816512218888E-11 19034
  54    2120.00    2160.00  4.134493918918621E-10  2.958235846569032E-11 17848
  55    2160.00    2200.00  3.976710748247999E-10  3.615299558232523E-11 16901
  56    2200.00    2240.00  3.634571917927292E-10  2.826481198959343E-11 15668
  57    2240.00    2280.00  3.401902309708133E-10  3.802708535018229E-11 14836
  58    2280.00    2320.00  3.117331498976105E-10  2.520737587804165E-11 14121
  59    2320.00    2360.00  2.634502894474047E-10  2.826838284476165E-11 13469
  60    2360.00    2400.00  2.891746836956245E-10  4.151146604987915E-11 12374
  61    2400.00    2440.00  2.156577893748531E-10  2.161549120312627E-11 11910
  62    2440.00    2480.00  1.655736647781669E-10  1.504280589336690E-11 11035
  63    2480.00    2520.00  1.623455178854894E-10  1.789813700211075E-11 10474
  64    2520.00    2560.00  1.354996276034651E-10  1.508293304252822E-11 9919
  65    2560.00    2600.00  1.256285041687599E-10  1.182172724914568E-11 9524
  66    2600.00    2640.00  1.543413651873762E-10  2.538868333977220E-11 8901
  67    2640.00    2680.00  1.008557026509644E-10  1.132406916374882E-11 8228
  68    2680.00    2720.00  8.847810405086731E-11  1.059718331892124E-11 7870
  69    2720.00    2760.00  6.543513253152100E-11  6.034683703325340E-12 7349
  70    2760.00    2800.00  7.027322598505967E-11  6.857594875362433E-12 7053
  71    2800.00    2840.00  7.049543338458462E-11  8.765294793851284E-12 6844
  72    2840.00    2880.00  6.377164030602169E-11  9.422907551136885E-12 6435
  73    2880.00    2920.00  4.488734169844752E-11  5.097455301350481E-12 6015
