# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1635755722
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  6.904286783939361E-04  1.945912144919475E-06 1204668
   2      -2.25      -2.00  8.770496415051788E-04  2.076043528259331E-06 1760988
   3      -2.00      -1.75  1.066751930380150E-03  2.198787022504047E-06 2396342
   4      -1.75      -1.50  1.226373255177119E-03  2.222870429481673E-06 2991796
   5      -1.50      -1.25  1.336484884416584E-03  2.227234610609597E-06 3482034
   6      -1.25      -1.00  1.371856939522421E-03  2.145832107306212E-06 3851191
   7      -1.00      -0.75  1.344657726358944E-03  2.035499807432604E-06 4091418
   8      -0.75      -0.50  1.254812888347835E-03  1.877236063640158E-06 4198672
   9      -0.50      -0.25  1.121528049771665E-03  1.706673400756027E-06 4193519
  10      -0.25       0.00  9.647590863323060E-04  1.515554111970015E-06 4080140
  11       0.00       0.25  8.121680130193963E-04  1.337682776443415E-06 3879484
  12       0.25       0.50  6.621182540276870E-04  1.181024854099159E-06 3613085
  13       0.50       0.75  5.333319643200368E-04  1.054282186839826E-06 3290284
  14       0.75       1.00  4.221972725287726E-04  9.586811343770866E-07 2932447
  15       1.00       1.25  3.334773831888837E-04  9.148566500420619E-07 2541517
  16       1.25       1.50  2.593859324676006E-04  8.531757420045659E-07 2146962
  17       1.50       1.75  1.999355107943126E-04  8.110348337393819E-07 1745367
  18       1.75       2.00  1.536970526239248E-04  7.509693436145744E-07 1357550
  19       2.00       2.25  1.173629476741655E-04  7.248441518723248E-07 1004889
  20       2.25       2.50  8.816951463110791E-05  6.638512924630927E-07 716647
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       3.7091367313705080E-03  1.7550272001919564E-06 55479000
#=====================================================================================
