# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^-\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^-\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1635755722
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  3.966923405893161E-06  2.276043634839335E-07 7209
   2      -4.75      -4.50  1.501301421971960E-05  4.235968805657431E-07 27338
   3      -4.50      -4.25  2.669578585190250E-05  5.145557610411144E-07 58443
   4      -4.25      -4.00  4.224392842709156E-05  6.332848706726785E-07 101095
   5      -4.00      -3.75  5.657362043387432E-05  6.324411677429624E-07 158951
   6      -3.75      -3.50  7.678850777117115E-05  7.548090431213188E-07 233328
   7      -3.50      -3.25  9.805789222401394E-05  7.603106058210443E-07 323671
   8      -3.25      -3.00  1.190810815374736E-04  7.655674574735550E-07 432955
   9      -3.00      -2.75  1.478539650099165E-04  7.900462980729904E-07 564714
  10      -2.75      -2.50  1.864032368626697E-04  8.559358390940821E-07 720471
  11      -2.50      -2.25  2.359056396103999E-04  9.264517779870001E-07 904198
  12      -2.25      -2.00  3.033036258215282E-04  1.018595342735362E-06 1124475
  13      -2.00      -1.75  3.938798815488664E-04  1.136504801473444E-06 1391115
  14      -1.75      -1.50  5.029317907704490E-04  1.255013033880384E-06 1719217
  15      -1.50      -1.25  6.331826103409510E-04  1.377880863616660E-06 2128955
  16      -1.25      -1.00  7.755965849032436E-04  1.478848239552632E-06 2641672
  17      -1.00      -0.75  9.195861197466301E-04  1.567684629140056E-06 3302072
  18      -0.75      -0.50  1.047152461303035E-03  1.637590298994568E-06 4164777
  19      -0.50      -0.25  1.152031869161578E-03  1.696781003703967E-06 5376093
  20      -0.25       0.00  1.211458523454197E-03  1.745414009595545E-06 7035880
  21       0.00       0.25  1.208201457251976E-03  1.760622607219438E-06 6904108
  22       0.25       0.50  1.136110477797826E-03  1.750479036548283E-06 4976755
  23       0.50       0.75  1.026146828787140E-03  1.747326898162015E-06 3537968
  24       0.75       1.00  8.871883894387237E-04  1.725641780608756E-06 2505633
  25       1.00       1.25  7.305264395048094E-04  1.659813335334586E-06 1745215
  26       1.25       1.50  5.735703670376684E-04  1.565153856295271E-06 1194261
  27       1.50       1.75  4.311012775685204E-04  1.429900033385930E-06 800100
  28       1.75       2.00  3.129117186217352E-04  1.305116368432665E-06 524909
  29       2.00       2.25  2.160986310886847E-04  1.140732009919473E-06 337117
  30       2.25       2.50  1.434628126003582E-04  9.568464999921533E-07 213486
  31       2.50       2.75  9.179274235542812E-05  7.892566499781566E-07 132749
  32       2.75       3.00  5.732818967724215E-05  6.536416840486796E-07 81055
  33       3.00       3.25  3.400604320319731E-05  5.007237077657223E-07 48374
  34       3.25       3.50  2.027416170770618E-05  4.070945049443225E-07 28622
  35       3.50       3.75  1.065165123780687E-05  2.857990980666894E-07 15993
  36       3.75       4.00  5.499945134553275E-06  2.025603214711584E-07 8627
  37       4.00       4.25  2.529672549235656E-06  1.398437616732441E-07 4441
  38       4.25       4.50  1.044442124760695E-06  7.675340189082246E-08 2044
  39       4.50       4.75  3.325434354741304E-07  5.902067788671706E-08 751
  40       4.75       5.00  6.207195456994182E-08  1.470426489170393E-08 163
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       3.7091367313705054E-03  1.7550570971033584E-06 55479000
#=====================================================================================
