# title = Azimuthal Angle between two jets
# xlabel = $\phi_{\text{j}_1\text{j}_2}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1634909473
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.08  2.070210787845808E-01  3.971614854068933E-04 42307532	   1       0.00       0.08  1.555657378336913E-01  2.948056545830146E-04 42307532	   1       0.00       0.08  2.835860870476440E-01  5.522983519650066E-04 42307532
   2       0.08       0.16  2.072563716094593E-01  3.789745237638022E-04 42373530	   2       0.08       0.16  1.557651120793652E-01  2.819040740414881E-04 42373530	   2       0.08       0.16  2.838628797783537E-01  5.257985552161630E-04 42373530
   3       0.16       0.24  2.072437175304604E-01  3.737347318634419E-04 42495386	   3       0.16       0.24  1.557619562099920E-01  2.781971310381071E-04 42495386	   3       0.16       0.24  2.838322430825521E-01  5.180574111307707E-04 42495386
   4       0.24       0.31  2.092716937515036E-01  3.884281617547705E-04 42695455	   4       0.24       0.31  1.572873720491224E-01  2.887885893620774E-04 42695455	   4       0.24       0.31  2.866036414051227E-01  5.391689821559245E-04 42695455
   5       0.31       0.39  2.100376688550770E-01  4.079109835751281E-04 42937190	   5       0.31       0.39  1.578777342600859E-01  3.040508584264926E-04 42937190	   5       0.31       0.39  2.876231647256287E-01  5.643099082015699E-04 42937190
   6       0.39       0.47  2.127460626035345E-01  4.089009409007698E-04 43258104	   6       0.39       0.47  1.599263287349093E-01  3.033559417043643E-04 43258104	   6       0.39       0.47  2.913083555659682E-01  5.696873271977658E-04 43258104
   7       0.47       0.55  2.142541021317487E-01  3.855110312943031E-04 43648056	   7       0.47       0.55  1.610723214367292E-01  2.868372971283744E-04 43648056	   7       0.47       0.55  2.933451004375697E-01  5.347549087011020E-04 43648056
   8       0.55       0.63  2.159081225022200E-01  3.938375040454387E-04 44105066	   8       0.55       0.63  1.623892337198220E-01  2.933354167651258E-04 44105066	   8       0.55       0.63  2.954490733537195E-01  5.454970605431748E-04 44105066
   9       0.63       0.71  2.188614669055985E-01  3.925724851231789E-04 44640494	   9       0.63       0.71  1.646169258643295E-01  2.926966905983937E-04 44640494	   9       0.63       0.71  2.994797999192439E-01  5.430481321596553E-04 44640494
  10       0.71       0.79  2.210119421622775E-01  4.287519972666021E-04 45235739	  10       0.71       0.79  1.662830448946816E-01  3.192008573346490E-04 45235739	  10       0.71       0.79  3.023184175383018E-01  5.937827151808484E-04 45235739
  11       0.79       0.86  2.249475294873476E-01  3.948419490003757E-04 45919531	  11       0.79       0.86  1.692574243667726E-01  2.943387818018978E-04 45919531	  11       0.79       0.86  3.076722320623866E-01  5.462763318523122E-04 45919531
  12       0.86       0.94  2.295666243616341E-01  4.213902323821810E-04 46676099	  12       0.86       0.94  1.727945801692396E-01  3.136480403662774E-04 46676099	  12       0.86       0.94  3.138580129520384E-01  5.839585227424607E-04 46676099
  13       0.94       1.02  2.339164641858845E-01  4.108326191979157E-04 47520410	  13       0.94       1.02  1.761028597825954E-01  3.058834293708081E-04 47520410	  13       0.94       1.02  3.197362115229581E-01  5.694492655508034E-04 47520410
  14       1.02       1.10  2.383978926880978E-01  4.195211517180402E-04 48458394	  14       1.02       1.10  1.795353508442912E-01  3.124531639772972E-04 48458394	  14       1.02       1.10  3.257360555055341E-01  5.811126530375038E-04 48458394
  15       1.10       1.18  2.428795679843391E-01  4.223340688324781E-04 49487612	  15       1.10       1.18  1.829783180346957E-01  3.149539559283682E-04 49487612	  15       1.10       1.18  3.317120480129710E-01  5.839974247585898E-04 49487612
  16       1.18       1.26  2.489538257456075E-01  4.298362620314852E-04 50615991	  16       1.18       1.26  1.876103165108493E-01  3.206411669790573E-04 50615991	  16       1.18       1.26  3.398919806637667E-01  5.941757394917625E-04 50615991
  17       1.26       1.33  2.545266806765691E-01  4.142846545623190E-04 51827996	  17       1.26       1.33  1.918860900063410E-01  3.096463069406832E-04 51827996	  17       1.26       1.33  3.473401828670953E-01  5.713619648896620E-04 51827996
