# title = Cosine of Angle between two jets
# xlabel = $\cos\theta_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1634909473
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  4.093982073860647E+00  1.786777633793986E-03 917932152	   1      -1.00      -0.90  3.069373459261832E+00  1.324012975319826E-03 917932152	   1      -1.00      -0.90  5.626125616292776E+00  2.491077402687004E-03 917932152
   2      -0.90      -0.80  1.743054581101573E+00  1.004733306870817E-03 410825979	   2      -0.90      -0.80  1.323264529867481E+00  7.564751030217144E-04 410825979	   2      -0.90      -0.80  2.358770711848857E+00  1.373008387289928E-03 410825979
   3      -0.80      -0.70  1.035166062045751E+00  7.082327063139321E-04 274966868	   3      -0.80      -0.70  7.879676739970389E-01  5.352348563571202E-04 274966868	   3      -0.80      -0.70  1.396244581144545E+00  9.635850103968061E-04 274966868
   4      -0.70      -0.60  6.958854827607935E-01  5.504245407528584E-04 204096058	   4      -0.70      -0.60  5.302442695384249E-01  4.167017982785988E-04 204096058	   4      -0.70      -0.60  9.374338922117805E-01  7.472947625706885E-04 204096058
   5      -0.60      -0.50  4.982554349463457E-01  4.441965287367631E-04 158926771	   5      -0.60      -0.50  3.797810857314963E-01  3.367245292848566E-04 158926771	   5      -0.60      -0.50  6.709257482022034E-01  6.020597911134754E-04 158926771
   6      -0.50      -0.40  3.682392747007094E-01  3.784251833054839E-04 125044599	   6      -0.50      -0.40  2.806939320814132E-01  2.868041168030703E-04 125044599	   6      -0.50      -0.40  4.958195159928755E-01  5.131376010069191E-04 125044599
   7      -0.40      -0.30  2.801792842230390E-01  3.191319582877092E-04 99954960	   7      -0.40      -0.30  2.135548266673714E-01  2.420043743736909E-04 99954960	   7      -0.40      -0.30  3.772895945272806E-01  4.325619389927728E-04 99954960
   8      -0.30      -0.20  2.250577293099211E-01  2.852653934320707E-04 84218881	   8      -0.30      -0.20  1.715274056520551E-01  2.163451851776452E-04 84218881	   8      -0.30      -0.20  3.030848766814104E-01  3.864982339339298E-04 84218881
   9      -0.20      -0.10  1.845508524362961E-01  2.493326671435681E-04 72996245	   9      -0.20      -0.10  1.406498880246982E-01  1.894426700506234E-04 72996245	   9      -0.20      -0.10  2.485415294033675E-01  3.370153501607885E-04 72996245
  10      -0.10       0.00  1.548894927057383E-01  2.286409505162613E-04 64506638	  10      -0.10       0.00  1.180233061240495E-01  1.737529946309702E-04 64506638	  10      -0.10       0.00  2.086318354111436E-01  3.089699070966557E-04 64506638
  11       0.00       0.10  1.308362759147101E-01  2.028791348612626E-04 57815671	  11       0.00       0.10  9.968746719538728E-02  1.544920838892948E-04 57815671	  11       0.00       0.10  1.762416105706312E-01  2.734151907283032E-04 57815671
  12       0.10       0.20  1.118307435395082E-01  1.876767047500789E-04 52396486	  12       0.10       0.20  8.518346242410972E-02  1.428125142055482E-04 52396486	  12       0.10       0.20  1.506822431052303E-01  2.531896562133411E-04 52396486
  13       0.20       0.30  9.551833139189864E-02  1.680205202712293E-04 47910758	  13       0.20       0.30  7.273128125691554E-02  1.280336018176599E-04 47910758	  13       0.20       0.30  1.287486140978226E-01  2.262296696799750E-04 47910758
  14       0.30       0.40  8.137974013350417E-02  1.546851237540858E-04 44041894	  14       0.30       0.40  6.194331089914306E-02  1.178828649207996E-04 44041894	  14       0.30       0.40  1.097276163595571E-01  2.082082087518922E-04 44041894
  15       0.40       0.50  6.822182347885096E-02  1.372279182727803E-04 40596562	  15       0.40       0.50  5.189080017478768E-02  1.045062667293681E-04 40596562	  15       0.40       0.50  9.205446636482773E-02  1.848458216119687E-04 40596562
  16       0.50       0.60  5.580812103967593E-02  1.191596745203367E-04 37310419	  16       0.50       0.60  4.241131960253797E-02  9.081478845335454E-05 37310419	  16       0.50       0.60  7.537075279502770E-02  1.602989281404469E-04 37310419
  17       0.60       0.70  4.331863393276041E-02  1.017710265771721E-04 33872441	  17       0.60       0.70  3.287724932266830E-02  7.753320023837408E-05 33872441	  17       0.60       0.70  5.857948335062328E-02  1.369314921188759E-04 33872441
  18       0.70       0.80  2.986968638168256E-02  7.980145572981871E-05 29522454	  18       0.70       0.80  2.261837864424219E-02  6.068998249520593E-05 29522454	  18       0.70       0.80  4.048541303753515E-02  1.075181242296485E-04 29522454
  19       0.80       0.90  1.442057211692225E-02  4.796430351590030E-05 22027415	  19       0.80       0.90  1.087449623338057E-02  3.630820350368561E-05 22027415	  19       0.80       0.90  1.962657860506401E-02  6.491768482180212E-05 22027415
  20       0.90       1.00  1.517464658050187E-03  1.077986417978087E-05 5438749	  20       0.90       1.00  1.133112095186664E-03  8.054045373894237E-06 5438749	  20       0.90       1.00  2.086291990782368E-03  1.479657118494253E-05 5438749
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       8.4092846951725631E-03  4.2767585517201927E-06 52479000
#=====================================================================================	#=====================================================================================	#=====================================================================================
