# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-07
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1524004120
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      40.00  8.728548549267313E-07  1.631543347897705E-09 4592411	   1       0.00      40.00  6.800210738363536E-07  1.272968780998746E-09 4592411	   1       0.00      40.00  1.143332634591667E-06  2.134070835380051E-09 4592411
   2      40.00      80.00  2.666457302978388E-06  3.057815399563080E-09 11629489	   2      40.00      80.00  2.076667407815983E-06  2.384550779208838E-09 11629489	   2      40.00      80.00  3.494021417799623E-06  4.001940664774125E-09 11629489
   3      80.00     120.00  3.148681513341735E-06  3.700346649552323E-09 9914777	   3      80.00     120.00  2.449599316496837E-06  2.884455907836825E-09 9914777	   3      80.00     120.00  4.130889822544328E-06  4.844958642803389E-09 9914777
   4     120.00     160.00  2.321151087267347E-06  3.463978611003964E-09 5931080	   4     120.00     160.00  1.802108750524414E-06  2.697275567008703E-09 5931080	   4     120.00     160.00  3.052285717012712E-06  4.541078486149591E-09 5931080
   5     160.00     200.00  1.471048512189783E-06  2.855377675659743E-09 3789401	   5     160.00     200.00  1.139683436231572E-06  2.220848538514394E-09 3789401	   5     160.00     200.00  1.939038326464769E-06  3.747993238216916E-09 3789401
   6     200.00     240.00  9.015913350858968E-07  2.209515220758280E-09 2615876	   6     200.00     240.00  6.967664194261196E-07  1.715945595333852E-09 2615876	   6     200.00     240.00  1.191767379610394E-06  2.905189942322904E-09 2615876
   7     240.00     280.00  5.562703106999466E-07  1.686160214990261E-09 1915186	   7     240.00     280.00  4.288542129151275E-07  1.307930207135663E-09 1915186	   7     240.00     280.00  7.373319191467214E-07  2.220021122447903E-09 1915186
   8     280.00     320.00  3.521275667555085E-07  1.318023380301139E-09 1460056	   8     280.00     320.00  2.707855373369935E-07  1.021279345419766E-09 1460056	   8     280.00     320.00  4.680839430606513E-07  1.737468538773922E-09 1460056
   9     320.00     360.00  2.342647331415074E-07  1.092071170562490E-09 1153954	   9     320.00     360.00  1.797231660178690E-07  8.454666957938401E-10 1153954	   9     320.00     360.00  3.122395281191402E-07  1.440911294708677E-09 1153954
  10     360.00     400.00  1.541798626572432E-07  8.772502058719129E-10 932700	  10     360.00     400.00  1.180050987034874E-07  6.789187274701308E-10 932700	  10     360.00     400.00  2.060500224948544E-07  1.157886194823594E-09 932700
  11     400.00     440.00  1.061707267869226E-07  7.446272017527847E-10 766546	  11     400.00     440.00  8.105564990614432E-08  5.752824169457372E-10 766546	  11     400.00     440.00  1.422947730446659E-07  9.846855746177843E-10 766546
  12     440.00     480.00  7.589828997929979E-08  6.994525011853971E-10 643460	  12     440.00     480.00  5.784239402014606E-08  5.412347763848650E-10 643460	  12     440.00     480.00  1.019240287402332E-07  9.231166886318203E-10 643460
