# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1524004120
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0
   6      -3.25      -3.00  1.094779563451423E-08  6.989637189094702E-10 3732	   6      -3.25      -3.00  7.636767888800540E-09  4.926245113389202E-10 3732	   6      -3.25      -3.00  1.623629533142959E-08  1.025190033489656E-09 3732
   7      -3.00      -2.75  5.247700513875443E-07  7.726763005828008E-09 45884	   7      -3.00      -2.75  3.822859411028749E-07  5.676616967128802E-09 45884	   7      -3.00      -2.75  7.416108777745767E-07  1.081475279138873E-08 45884
   8      -2.75      -2.50  3.057767986227092E-06  1.809513931350452E-08 165626	   8      -2.75      -2.50  2.313615278801791E-06  1.377925745275631E-08 165626	   8      -2.75      -2.50  4.141651411357070E-06  2.435153549329072E-08 165626
   9      -2.50      -2.25  6.544804696881487E-06  2.176670032734316E-08 398829	   9      -2.50      -2.25  5.093731609697470E-06  1.697623500977406E-08 398829	   9      -2.50      -2.25  8.598665953560798E-06  2.856243281921187E-08 398829
  10      -2.25      -2.00  9.675033179214048E-06  2.520350085069129E-08 779942	  10      -2.25      -2.00  7.517132951279965E-06  1.898502036332378E-08 779942	  10      -2.25      -2.00  1.279256461309871E-05  3.470052059182841E-08 779942
  11      -2.00      -1.75  2.262534155351415E-05  8.200571381746233E-08 1320364	  11      -2.00      -1.75  1.691353647455876E-05  5.996946318878997E-08 1320364	  11      -2.00      -1.75  3.115623725412399E-05  1.153170021961714E-07 1320364
