# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1634909473
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  1.259169580347021E-01  2.896694576929788E-04 59806974	   1      -2.50      -2.25  9.394827419387249E-02  2.138064580331829E-04 59806974	   1      -2.50      -2.25  1.738703146060474E-01  4.054867063105093E-04 59806974
   2      -2.25      -2.00  1.512686958772723E-01  2.895735755257918E-04 80041947	   2      -2.25      -2.00  1.133106959209654E-01  2.148933388884276E-04 80041947	   2      -2.25      -2.00  2.079225342457167E-01  4.026773840283470E-04 80041947
   3      -2.00      -1.75  1.734337747105518E-01  2.761845636932816E-04 101989814	   3      -2.00      -1.75  1.303892548436292E-01  2.059564046100040E-04 101989814	   3      -2.00      -1.75  2.373857831548566E-01  3.818920020296552E-04 101989814
   4      -1.75      -1.50  1.933756118387130E-01  2.674981892048416E-04 123447991	   4      -1.75      -1.50  1.458089189149724E-01  1.997750578253836E-04 123447991	   4      -1.75      -1.50  2.637961792755324E-01  3.693638385481068E-04 123447991
   5      -1.50      -1.25  2.079405150256983E-01  2.416847858362310E-04 143040338	   5      -1.50      -1.25  1.572011626895187E-01  1.814469369292198E-04 143040338	   5      -1.50      -1.25  2.828228017602319E-01  3.316085478929464E-04 143040338
   6      -1.25      -1.00  2.180748511672398E-01  2.252300497833344E-04 159963459	   6      -1.25      -1.00  1.652142870533927E-01  1.695743620578233E-04 159963459	   6      -1.25      -1.00  2.958928352758194E-01  3.079502296996676E-04 159963459
   7      -1.00      -0.75  2.248726069243253E-01  2.128765100645330E-04 173695370	   7      -1.00      -0.75  1.706563409868352E-01  1.604907211663898E-04 173695370	   7      -1.00      -0.75  3.045303579521653E-01  2.906756157306682E-04 173695370
   8      -0.75      -0.50  2.276787433703496E-01  1.968930144900058E-04 184001237	   8      -0.75      -0.50  1.730099161172868E-01  1.485165134939195E-04 184001237	   8      -0.75      -0.50  3.078840153385924E-01  2.686699450443515E-04 184001237
   9      -0.50      -0.25  2.292339455441058E-01  1.883434025469193E-04 190760427	   9      -0.50      -0.25  1.743284578600094E-01  1.420954565317145E-04 190760427	   9      -0.50      -0.25  3.097207682283721E-01  2.569625438839461E-04 190760427
  10      -0.25       0.00  2.295429207492347E-01  1.808052910017790E-04 193886619	  10      -0.25       0.00  1.746361537343954E-01  1.362033811440230E-04 193886619	  10      -0.25       0.00  3.099958954568547E-01  2.472408355539168E-04 193886619
  11       0.00       0.25  2.297197936472048E-01  1.762631591144949E-04 193303889	  11       0.00       0.25  1.747741849090051E-01  1.329214167353293E-04 193303889	  11       0.00       0.25  3.102260989624375E-01  2.406403135586688E-04 193303889
  12       0.25       0.50  2.292086505283528E-01  1.740895624783731E-04 189069596	  12       0.25       0.50  1.743088783983363E-01  1.310491387244374E-04 189069596	  12       0.25       0.50  3.096873401035719E-01  2.382403853389435E-04 189069596
  13       0.50       0.75  2.281959304900054E-01  1.731676186099940E-04 181127820	  13       0.50       0.75  1.733910957021467E-01  1.304378796729228E-04 181127820	  13       0.50       0.75  3.086093150089326E-01  2.367602488389905E-04 181127820
  14       0.75       1.00  2.251479453182697E-01  1.749038102770587E-04 169815576	  14       0.75       1.00  1.708555714884948E-01  1.316533846871161E-04 169815576	  14       0.75       1.00  3.049221390128839E-01  2.393334232697135E-04 169815576
  15       1.00       1.25  2.186093624534503E-01  1.808464609312781E-04 155231159	  15       1.00       1.25  1.656165491054678E-01  1.357854927720363E-04 155231159	  15       1.00       1.25  2.966227463088312E-01  2.482609679104403E-04 155231159
  16       1.25       1.50  2.085624502797605E-01  1.932211964764555E-04 137728934	  16       1.25       1.50  1.576652594854245E-01  1.447324084736229E-04 137728934	  16       1.25       1.50  2.836813369125827E-01  2.659314519508830E-04 137728934
  17       1.50       1.75  1.932420603281594E-01  1.954524549599988E-04 118007675	  17       1.50       1.75  1.457098052567911E-01  1.461297763165113E-04 118007675	  17       1.50       1.75  2.636088990768311E-01  2.695892884743349E-04 118007675
  18       1.75       2.00  1.740910352008044E-01  2.030734336337272E-04 96935128	  18       1.75       2.00  1.308661886214619E-01  1.512899046176272E-04 96935128	  18       1.75       2.00  2.383235455938016E-01  2.812443308795659E-04 96935128
  19       2.00       2.25  1.508573884451498E-01  2.044796547875031E-04 75850078	  19       2.00       2.25  1.130134042568942E-01  1.518861773374446E-04 75850078	  19       2.00       2.25  2.073336399756976E-01  2.841315005298768E-04 75850078
  20       2.25       2.50  1.258194243396120E-01  2.051677848394588E-04 56697969	  20       2.25       2.50  9.386810238001181E-02  1.515074663708164E-04 56697969	  20       2.25       2.50  1.737518425499474E-01  2.870962324575715E-04 56697969
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       8.4092846951735016E-03  4.2777043099322978E-06 52479000
#=====================================================================================	#=====================================================================================	#=====================================================================================
