# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1524004120
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  5.877401972981461E-10  1.007733200116712E-10 927	   1      -9.00      -8.75  3.759857303750209E-10  6.395669435819393E-11 927	   1      -9.00      -8.75  9.730938434895590E-10  1.686624148348631E-10 927
   2      -8.75      -8.50  5.519725463231156E-09  5.424713387673181E-10 3774	   2      -8.75      -8.50  3.557875281596334E-09  3.494373061677768E-10 3774	   2      -8.75      -8.50  9.031222382411150E-09  8.862774314018259E-10 3774
   3      -8.50      -8.25  1.915919777435240E-08  1.320113433585544E-09 8862	   3      -8.50      -8.25  1.260812580596615E-08  8.743811075440459E-10 8862	   3      -8.50      -8.25  3.057937132409095E-08  2.086127299185495E-09 8862
   4      -8.25      -8.00  5.670057376471133E-08  2.847245143180459E-09 17079	   4      -8.25      -8.00  3.796084234320258E-08  1.913788082336346E-09 17079	   4      -8.25      -8.00  8.859996921052196E-08  4.425829352891404E-09 17079
   5      -8.00      -7.75  1.364325412765874E-07  5.077639935831692E-09 30005	   5      -8.00      -7.75  9.290566003807765E-08  3.498322533070747E-09 30005	   5      -8.00      -7.75  2.089131693340120E-07  7.665450548888541E-09 30005
   6      -7.75      -7.50  3.526892459613008E-07  1.021368948272357E-08 50016	   6      -7.75      -7.50  2.443297944642119E-07  7.154054265637210E-09 50016	   6      -7.75      -7.50  5.290234723446723E-07  1.511930005789487E-08 50016
   7      -7.50      -7.25  7.153205821041643E-07  1.584675751985864E-08 78218	   7      -7.50      -7.25  5.017904882449057E-07  1.122167571446444E-08 78218	   7      -7.50      -7.25  1.057073113891874E-06  2.315920991346079E-08 78218
   8      -7.25      -7.00  1.518708444959567E-06  2.699721616078960E-08 120053	   8      -7.25      -7.00  1.079959360690533E-06  1.939028421481633E-08 120053	   8      -7.25      -7.00  2.208513359199375E-06  3.879911395941983E-08 120053
   9      -7.00      -6.75  2.892389698673421E-06  4.016477158618176E-08 179054	   9      -7.00      -6.75  2.080307962198824E-06  2.918824178132032E-08 179054	   9      -7.00      -6.75  4.150239435086397E-06  5.692873724613210E-08 179054
  10      -6.75      -6.50  5.168301944411237E-06  5.628045104061679E-08 258136	  10      -6.75      -6.50  3.756212926766740E-06  4.127169749074067E-08 258136	  10      -6.75      -6.50  7.326376234255150E-06  7.894754924681209E-08 258136
  11      -6.50      -6.25  8.902433789354147E-06  7.769304164759207E-08 361219	  11      -6.50      -6.25  6.539860018800451E-06  5.763412019537629E-08 361219	  11      -6.50      -6.25  1.246360025135971E-05  1.075380657797918E-07 361219
  12      -6.25      -6.00  1.486715828204375E-05  1.075412172460828E-07 494789	  12      -6.25      -6.00  1.102236185313738E-05  8.049352245535629E-08 494789	  12      -6.25      -6.00  2.059486337678953E-05  1.473192422052087E-07 494789
  13      -6.00      -5.75  2.410188556951386E-05  1.455553844398997E-07 662554	  13      -6.00      -5.75  1.802809551806809E-05  1.097590288826665E-07 662554	  13      -6.00      -5.75  3.304891231142425E-05  1.977187535369069E-07 662554
  14      -5.75      -5.50  3.723033970543667E-05  1.879283208260700E-07 864958	  14      -5.75      -5.50  2.807666981585215E-05  1.428098823185797E-07 864958	  14      -5.75      -5.50  5.057557003396708E-05  2.530382152355138E-07 864958
  15      -5.50      -5.25  5.441641913185224E-05  2.326326284968730E-07 1105460	  15      -5.50      -5.25  4.132131230757056E-05  1.779165672346263E-07 1105460	  15      -5.50      -5.25  7.334569219981407E-05  3.109943382370340E-07 1105460
