# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1634909473
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      30.00      50.00  1.421322818592345E-03  3.793899404914156E-06 7405508	   2      30.00      50.00  1.031485401060194E-03  2.733279206909879E-06 7405508	   2      30.00      50.00  2.033576754382761E-03  5.471888563273302E-06 7405508
   3      50.00      70.00  3.124171770889673E-03  4.556345926649500E-06 25460653	   3      50.00      70.00  2.299890869230584E-03  3.340784412058062E-06 25460653	   3      50.00      70.00  4.391707599408733E-03  6.430083738485400E-06 25460653
   4      70.00      90.00  3.901484599771644E-03  4.413327835487301E-06 44719850	   4      70.00      90.00  2.902941534135207E-03  3.267811369631594E-06 44719850	   4      70.00      90.00  5.412755207161051E-03  6.153772081975335E-06 44719850
   5      90.00     110.00  4.221220546606997E-03  4.082933107458495E-06 62676122	   5      90.00     110.00  3.165472085658196E-03  3.052445411841385E-06 62676122	   5      90.00     110.00  5.800469910027117E-03  5.627047413211230E-06 62676122
   6     110.00     130.00  4.286465955207902E-03  3.781163605025314E-06 78483231	   6     110.00     130.00  3.233145793540782E-03  2.842131804768235E-06 78483231	   6     110.00     130.00  5.848125995410861E-03  5.176540148833663E-06 78483231
   7     130.00     150.00  4.190811539063527E-03  3.488141696255597E-06 91151949	   7     130.00     150.00  3.175520137359545E-03  2.635383265712277E-06 91151949	   7     130.00     150.00  5.685721098802680E-03  4.745598089673220E-06 91151949
   8     150.00     170.00  3.900576350065233E-03  3.167073601225203E-06 97457020	   8     150.00     170.00  2.964624014497234E-03  2.400182268679506E-06 97457020	   8     150.00     170.00  5.271815044885421E-03  4.292184343146442E-06 97457020
   9     170.00     190.00  3.478731671035983E-03  2.819327035323901E-06 98893783	   9     170.00     190.00  2.649256710591967E-03  2.142109013078562E-06 98893783	   9     170.00     190.00  4.690015111739477E-03  3.808927528983238E-06 98893783
  10     190.00     210.00  3.035572537720888E-03  2.518079039785158E-06 97629634	  10     190.00     210.00  2.314914884831024E-03  1.916625043350788E-06 97629634	  10     190.00     210.00  4.085200431536423E-03  3.394153941527756E-06 97629634
  11     210.00     230.00  2.611944984631924E-03  2.205295014437008E-06 94895980	  11     210.00     230.00  1.993798623587843E-03  1.681566209303631E-06 94895980	  11     210.00     230.00  3.510563761951883E-03  2.966081411133967E-06 94895980
  12     230.00     250.00  2.234241841590757E-03  1.956581464812666E-06 91417171	  12     230.00     250.00  1.706618906688139E-03  1.493275441487858E-06 91417171	  12     230.00     250.00  3.000157108346683E-03  2.628441274443757E-06 91417171
  13     250.00     270.00  1.902490631011520E-03  1.726565771032025E-06 87572242	  13     250.00     270.00  1.453846120574382E-03  1.319095089500543E-06 87572242	  13     250.00     270.00  2.552967453926798E-03  2.316284573488314E-06 87572242
  14     270.00     290.00  1.619936122956514E-03  1.542767324029747E-06 83606887	  14     270.00     290.00  1.238243128184189E-03  1.179674619200468E-06 83606887	  14     270.00     290.00  2.172829191360859E-03  2.067334834951818E-06 83606887
  15     290.00     310.00  1.377351682497952E-03  1.378522305941906E-06 79625887	  15     290.00     310.00  1.052993886649544E-03  1.054876607107565E-06 79625887	  15     290.00     310.00  1.846869374360734E-03  1.845569651161847E-06 79625887
  16     310.00     330.00  1.169808191541644E-03  1.216234524055641E-06 75780657	  16     310.00     330.00  8.943185351797718E-04  9.307147433117235E-07 75780657	  16     310.00     330.00  1.568403788642948E-03  1.627989980828453E-06 75780657
  17     330.00     350.00  9.953940757011499E-04  1.089615660173136E-06 72033579	  17     330.00     350.00  7.609698899645877E-04  8.344927403175453E-07 72033579	  17     330.00     350.00  1.334395474937523E-03  1.456991173165806E-06 72033579
  18     350.00     370.00  8.476166922994609E-04  9.830238294294646E-07 68449130	  18     350.00     370.00  6.479382911903092E-04  7.530226215591354E-07 68449130	  18     350.00     370.00  1.136264569097601E-03  1.313963812371131E-06 68449130
  19     370.00     390.00  7.226576011356057E-04  8.693511948596488E-07 65060366	  19     370.00     390.00  5.522658722101160E-04  6.658972317013073E-07 65060366	  19     370.00     390.00  9.689413801834760E-04  1.162009301243131E-06 65060366
  20     390.00     410.00  6.186077792188787E-04  7.798089830369936E-07 61816787	  20     390.00     410.00  4.726975291416069E-04  5.975740805303376E-07 61816787	  20     390.00     410.00  8.294513974566651E-04  1.041738519656113E-06 61816787
  21     410.00     430.00  5.279381670505676E-04  7.033439692093941E-07 58766549	  21     410.00     430.00  4.032946424845659E-04  5.388386281328244E-07 58766549	  21     410.00     430.00  7.080521124873218E-04  9.397569496871549E-07 58766549
  22     430.00     450.00  4.527247707627367E-04  6.339499183889731E-07 55873596	  22     430.00     450.00  3.457464230476615E-04  4.857543495894025E-07 55873596	  22     430.00     450.00  6.073045439132040E-04  8.468131795311797E-07 55873596
  23     450.00     470.00  3.871720149747082E-04  5.702655327238781E-07 53134701	  23     450.00     470.00  2.955945423367198E-04  4.370277312707103E-07 53134701	  23     450.00     470.00  5.194893592932128E-04  7.615288078514692E-07 53134701
  24     470.00     490.00  3.326828311478018E-04  5.062211020713037E-07 50566243	  24     470.00     490.00  2.539060045035087E-04  3.877382287331941E-07 50566243	  24     470.00     490.00  4.465077091153665E-04  6.763622753652010E-07 50566243
  25     490.00     510.00  2.866745799337303E-04  4.601114720220548E-07 48148496	  25     490.00     510.00  2.187021283624453E-04  3.522558462430541E-07 48148496	  25     490.00     510.00  3.849017019191877E-04  6.150272168174653E-07 48148496
  26     510.00     530.00  2.471645014677358E-04  4.192888602892009E-07 45838158	  26     510.00     530.00  1.885082156443741E-04  3.210697543501496E-07 45838158	  26     510.00     530.00  3.319270648721190E-04  5.602881266629861E-07 45838158
  27     530.00     550.00  2.131814446463530E-04  3.763473744699246E-07 43686336	  27     530.00     550.00  1.625193172303159E-04  2.880162656247522E-07 43686336	  27     530.00     550.00  2.864077653943761E-04  5.031999052512944E-07 43686336
  28     550.00     570.00  1.839823324641251E-04  3.343687499516670E-07 41647676	  28     550.00     570.00  1.401986373594893E-04  2.558919691793464E-07 41647676	  28     550.00     570.00  2.472807849503262E-04  4.470491620952834E-07 41647676
  29     570.00     590.00  1.594712535230028E-04  3.118360372529728E-07 39709663	  29     570.00     590.00  1.214779982889553E-04  2.385932111319149E-07 39709663	  29     570.00     590.00  2.144057803204989E-04  4.169979541552404E-07 39709663
  30     590.00     610.00  1.374852772268223E-04  2.751698482684076E-07 37899081	  30     590.00     610.00  1.046821736446567E-04  2.104135068889845E-07 37899081	  30     590.00     610.00  1.849296199542665E-04  3.682025006928502E-07 37899081
  31     610.00     630.00  1.197259529597051E-04  2.497094424800755E-07 36175634	  31     610.00     630.00  9.112250421230441E-05  1.908594316658522E-07 36175634	  31     610.00     630.00  1.611053502362241E-04  3.342812111583840E-07 36175634
  32     630.00     650.00  1.039157296380748E-04  2.242811708505823E-07 34549532	  32     630.00     650.00  7.905324621924718E-05  1.712953128214161E-07 34549532	  32     630.00     650.00  1.398919105733997E-04  3.004769458632518E-07 34549532
  33     650.00     670.00  9.066996051909218E-05  2.062250048336973E-07 33006412	  33     650.00     670.00  6.894561585574388E-05  1.575082991707430E-07 33006412	  33     650.00     670.00  1.221124291716100E-04  2.762598201632145E-07 33006412
  34     670.00     690.00  7.888195644325755E-05  1.840430054395206E-07 31555003	  34     670.00     690.00  5.995902833852861E-05  1.405175457237927E-07 31555003	  34     670.00     690.00  1.062745699669580E-04  2.466239130463305E-07 31555003
  35     690.00     710.00  6.849005579732184E-05  1.667315564653403E-07 30158238	  35     690.00     710.00  5.203265313419211E-05  1.271846936823867E-07 30158238	  35     690.00     710.00  9.232238705163467E-05  2.236422319423500E-07 30158238
  36     710.00     730.00  5.997180127375201E-05  1.509024913081616E-07 28863443	  36     710.00     730.00  4.554423354232833E-05  1.150921691409661E-07 28863443	  36     710.00     730.00  8.086876566580594E-05  2.024334866682073E-07 28863443
  37     730.00     750.00  5.242679393109693E-05  1.351563221274202E-07 27615901	  37     730.00     750.00  3.979699006329886E-05  1.030490511827757E-07 27615901	  37     730.00     750.00  7.072474341212748E-05  1.813744624960719E-07 27615901
  38     750.00     770.00  4.580770020012214E-05  1.243254111845203E-07 26443283	  38     750.00     770.00  3.475569244651494E-05  9.472693938040844E-08 26443283	  38     750.00     770.00  6.182523129812242E-05  1.669570652791975E-07 26443283
  39     770.00     790.00  4.019215924510001E-05  1.131548496196663E-07 25324196	  39     770.00     790.00  3.048161856102721E-05  8.618374257191550E-08 25324196	  39     770.00     790.00  5.426940322301003E-05  1.520080514435623E-07 25324196
  40     790.00     810.00  3.536565958390122E-05  1.025019904122802E-07 24257040	  40     790.00     810.00  2.680932545861409E-05  7.803503133274472E-08 24257040	  40     790.00     810.00  4.777349146091223E-05  1.377617416697862E-07 24257040
  41     810.00     830.00  3.106668714871782E-05  9.329372174063302E-08 23242699	  41     810.00     830.00  2.354109191094539E-05  7.100426352228890E-08 23242699	  41     810.00     830.00  4.198279193208028E-05  1.254228155900964E-07 23242699
  42     830.00     850.00  2.754730156097324E-05  8.794709256286226E-08 22280687	  42     830.00     850.00  2.086632153188701E-05  6.687997535881377E-08 22280687	  42     830.00     850.00  3.724052983540611E-05  1.183351004025362E-07 22280687
  43     850.00     870.00  2.429042692448883E-05  8.160299399969651E-08 21368366	  43     850.00     870.00  1.839194339814511E-05  6.204816911374758E-08 21368366	  43     850.00     870.00  3.285104098738820E-05  1.098101676809201E-07 21368366
  44     870.00     890.00  2.138846006042091E-05  7.582024171447380E-08 20500118	  44     870.00     890.00  1.618593033408284E-05  5.767565220765084E-08 20500118	  44     870.00     890.00  2.894252438922674E-05  1.019754057065125E-07 20500118
  45     890.00     910.00  1.881396363736652E-05  6.408070240836347E-08 19671821	  45     890.00     910.00  1.423099126067881E-05  4.865062545403113E-08 19671821	  45     890.00     910.00  2.547091589683199E-05  8.637402563618083E-08 19671821
  46     910.00     930.00  1.656161310424229E-05  5.770665333259603E-08 18878259	  46     910.00     930.00  1.252227523063187E-05  4.378154694965903E-08 18878259	  46     910.00     930.00  2.243087876181308E-05  7.784038090403005E-08 18878259
  47     930.00     950.00  1.468606877955818E-05  5.327281862071228E-08 18122139	  47     930.00     950.00  1.109957114522410E-05  4.040436106382538E-08 18122139	  47     930.00     950.00  1.989884423098243E-05  7.188469897389057E-08 18122139
  48     950.00     970.00  1.306250706431805E-05  4.954381148853775E-08 17398543	  48     950.00     970.00  9.869211531013881E-06  3.757728567197957E-08 17398543	  48     950.00     970.00  1.770453017783805E-05  6.684725505440351E-08 17398543
  49     970.00     990.00  1.149097612515107E-05  4.565878778009237E-08 16716445	  49     970.00     990.00  8.676815238374564E-06  3.459767849107830E-08 16716445	  49     970.00     990.00  1.558380230086624E-05  6.166423549604141E-08 16716445
  50     990.00    1010.00  1.028850773812447E-05  4.271268875755849E-08 16058140	  50     990.00    1010.00  7.767079207343862E-06  3.238961441872833E-08 16058140	  50     990.00    1010.00  1.395583577739691E-05  5.763552322272421E-08 16058140
  51    1010.00    1030.00  9.079634279504293E-06  3.700149471043050E-08 15428558	  51    1010.00    1030.00  6.850302820467282E-06  2.801482237962897E-08 15428558	  51    1010.00    1030.00  1.232387764714639E-05  5.001487071459000E-08 15428558
  52    1030.00    1050.00  8.125907296184000E-06  3.453281345564182E-08 14835793	  52    1030.00    1050.00  6.127288281751613E-06  2.612406014106778E-08 14835793	  52    1030.00    1050.00  1.103568433272760E-05  4.671776273979804E-08 14835793
  53    1050.00    1070.00  7.217969453446545E-06  3.242616359881889E-08 14257923	  53    1050.00    1070.00  5.441264398911052E-06  2.452659492285138E-08 14257923	  53    1050.00    1070.00  9.805095483978758E-06  4.387577215658655E-08 14257923
  54    1070.00    1090.00  6.422020402031106E-06  2.991078187196347E-08 13713677	  54    1070.00    1090.00  4.839144144724514E-06  2.260831001029346E-08 13713677	  54    1070.00    1090.00  8.727596741861865E-06  4.050015787610795E-08 13713677
  55    1090.00    1110.00  5.762389589157864E-06  2.760832003226442E-08 13184594	  55    1090.00    1110.00  4.340303496007880E-06  2.084959907600078E-08 13184594	  55    1090.00    1110.00  7.834409636710947E-06  3.741959468011137E-08 13184594
  56    1110.00    1130.00  5.091774573280733E-06  2.443853308306261E-08 12684024	  56    1110.00    1130.00  3.833382256851562E-06  1.846549875003584E-08 12684024	  56    1110.00    1130.00  6.926061679577528E-06  3.310458365720868E-08 12684024
  57    1130.00    1150.00  4.592380958638957E-06  2.265381177888846E-08 12210213	  57    1130.00    1150.00  3.455793558977463E-06  1.709167631645150E-08 12210213	  57    1130.00    1150.00  6.249750297911864E-06  3.073540256370503E-08 12210213
  58    1150.00    1170.00  4.100862360399369E-06  2.106177126198433E-08 11742470	  58    1150.00    1170.00  3.085205648196559E-06  1.589280584809474E-08 11742470	  58    1150.00    1170.00  5.582081754549116E-06  2.856899592106526E-08 11742470
  59    1170.00    1190.00  3.644495020916259E-06  1.924966867641685E-08 11303295	  59    1170.00    1190.00  2.740106472516087E-06  1.451034965253224E-08 11303295	  59    1170.00    1190.00  4.964232893609219E-06  2.614050009107372E-08 11303295
  60    1190.00    1210.00  3.321604033714507E-06  1.913242681893367E-08 10879255	  60    1190.00    1210.00  2.496648125810510E-06  1.441449460561132E-08 10879255	  60    1190.00    1210.00  4.525650530918976E-06  2.599486416251563E-08 10879255
  61    1210.00    1230.00  2.899687473264338E-06  1.568052724222446E-08 10476115	  61    1210.00    1230.00  2.178570464570610E-06  1.181992020809771E-08 10476115	  61    1210.00    1230.00  3.952608447301665E-06  2.129428848241499E-08 10476115
  62    1230.00    1250.00  2.581228839579950E-06  1.440957954812813E-08 10082476	  62    1230.00    1250.00  1.938236394746879E-06  1.085487540193930E-08 10082476	  62    1230.00    1250.00  3.520576813978100E-06  1.958171451112583E-08 10082476
  63    1250.00    1270.00  2.353597309470137E-06  1.438979208689431E-08 9714025	  63    1250.00    1270.00  1.766938670833324E-06  1.083790609202495E-08 9714025	  63    1250.00    1270.00  3.210781927208441E-06  1.955721243811927E-08 9714025
  64    1270.00    1290.00  2.101784988555378E-06  1.224843603784769E-08 9356814	  64    1270.00    1290.00  1.577056930801375E-06  9.208843738827883E-09 9356814	  64    1270.00    1290.00  2.868850691213515E-06  1.667898070617024E-08 9356814
