# title = Transverse Momentum Muon
# xlabel = $p_{\text{T},\mu^-}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^-}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1524004120
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  7.815564754962982E-06  9.314516008045727E-09 8192467	   2      20.00      40.00  6.070472675755339E-06  7.247924589768571E-09 8192467	   2      20.00      40.00  1.027253565112340E-05  1.222001455295240E-08 8192467
   3      40.00      60.00  6.461548300033642E-06  8.166115610879439E-09 7620360	   3      40.00      60.00  5.017844485274329E-06  6.353554799651317E-09 7620360	   3      40.00      60.00  8.494705744706894E-06  1.071471205581378E-08 7620360
   4      60.00      80.00  4.259879146189021E-06  6.207455279113145E-09 5692558	   4      60.00      80.00  3.305997046651447E-06  4.828761295274376E-09 5692558	   4      60.00      80.00  5.604407463632078E-06  8.146756735279856E-09 5692558
   5      80.00     100.00  2.647813509913578E-06  4.604389319600646E-09 4310903	   5      80.00     100.00  2.053129508680991E-06  3.580399841201893E-09 4310903	   5      80.00     100.00  3.487061539242222E-06  6.045844792557085E-09 4310903
   6     100.00     120.00  1.601721694418839E-06  3.301463670008613E-09 3299305	   6     100.00     120.00  1.240935961421289E-06  2.568393128541729E-09 3299305	   6     100.00     120.00  2.111458746760714E-06  4.333039674104608E-09 3299305
   7     120.00     140.00  1.013129940063238E-06  2.451066394665140E-09 2630369	   7     120.00     140.00  7.842651494243480E-07  1.906697548584656E-09 2630369	   7     120.00     140.00  1.336841420040460E-06  3.217359588836679E-09 2630369
   8     140.00     160.00  6.795467467825608E-07  1.876886883683645E-09 2164628	   8     140.00     160.00  5.255532481086251E-07  1.460541666742385E-09 2164628	   8     140.00     160.00  8.976112797710089E-07  2.462779180426465E-09 2164628
   9     160.00     180.00  4.649234185017625E-07  1.449900479988657E-09 1812463	   9     160.00     180.00  3.592285334489025E-07  1.128238723817574E-09 1812463	   9     160.00     180.00  6.147728998688677E-07  1.902596718006765E-09 1812463
  10     180.00     200.00  3.251278172262626E-07  1.135601955589437E-09 1536997	  10     180.00     200.00  2.510055481142592E-07  8.839250072701341E-10 1536997	  10     180.00     200.00  4.303161961156406E-07  1.489623014045281E-09 1536997
  11     200.00     220.00  2.319556292532195E-07  9.059187584751111E-10 1320772	  11     200.00     220.00  1.789096018692066E-07  7.052435933401369E-10 1320772	  11     200.00     220.00  3.073169919937493E-07  1.188134935109573E-09 1320772
  12     220.00     240.00  1.657822246935662E-07  7.167164737593129E-10 1141463	  12     220.00     240.00  1.277259156446239E-07  5.575819049392536E-10 1141463	  12     220.00     240.00  2.199225642138971E-07  9.406664634060557E-10 1141463
  13     240.00     260.00  1.203457947341229E-07  5.652475197377588E-10 997017	  13     240.00     260.00  9.261611093811415E-08  4.396381649758919E-10 997017	  13     240.00     260.00  1.598495925727058E-07  7.420941691097520E-10 997017
