# title = Missing Transverse Momentum
# xlabel = $p_{\text{T},\text{miss}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{miss}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1634909473
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      10.00      30.00  1.009972311518244E-02  4.870081298876366E-06 423696278	   1      10.00      30.00  7.640484425691630E-03  3.640380376245779E-06 423696278	   1      10.00      30.00  1.372950218814217E-02  6.718724499193974E-06 423696278
   2      30.00      50.00  1.086271950242111E-02  6.027601572023501E-06 429851690	   2      30.00      50.00  8.219675226769000E-03  4.503611305650846E-06 429851690	   2      30.00      50.00  1.476425743304289E-02  8.320310970600161E-06 429851690
   3      50.00      70.00  7.953391913526401E-03  5.472064797402334E-06 310433600	   3      50.00      70.00  6.018544865856207E-03  4.087108205880725E-06 310433600	   3      50.00      70.00  1.080873526881674E-02  7.556073987943833E-06 310433600
   4      70.00      90.00  5.159464454789418E-03  4.274975376654875E-06 225459360	   4      70.00      90.00  3.903744208202523E-03  3.195589604782692E-06 225459360	   4      70.00      90.00  7.011983338062664E-03  5.896096805495466E-06 225459360
   5      90.00     110.00  3.373623907882851E-03  3.232093586798339E-06 171573292	   5      90.00     110.00  2.552112961152225E-03  2.415123980851585E-06 171573292	   5      90.00     110.00  4.585192937593681E-03  4.462146142537652E-06 171573292
   6     110.00     130.00  2.393368082921919E-03  2.613663710565502E-06 137774640	   6     110.00     130.00  1.810281573257479E-03  1.955552092676462E-06 137774640	   6     110.00     130.00  3.253054607520793E-03  3.601566041589421E-06 137774640
   7     130.00     150.00  1.760634136280135E-03  2.146862876079838E-06 113610451	   7     130.00     150.00  1.331379774848527E-03  1.608146432902721E-06 113610451	   7     130.00     150.00  2.393428171835913E-03  2.953394430249579E-06 113610451
   8     150.00     170.00  1.332506697839248E-03  1.813046323936356E-06 95266148	   8     150.00     170.00  1.007284277280860E-03  1.359903472869966E-06 95266148	   8     150.00     170.00  1.811965166317861E-03  2.490098401694989E-06 95266148
   9     170.00     190.00  1.018422578992158E-03  1.563339811968282E-06 80966032	   9     170.00     190.00  7.696180676917705E-04  1.173383907192382E-06 80966032	   9     170.00     190.00  1.385215539809502E-03  2.145161265524689E-06 80966032
  10     190.00     210.00  7.931240770796328E-04  1.320663700785833E-06 69544332	  10     190.00     210.00  5.990503322417047E-04  9.922166426024490E-07 69544332	  10     190.00     210.00  1.079338063359589E-03  1.810234363515644E-06 69544332
  11     210.00     230.00  6.194721100738506E-04  1.120676192411575E-06 60260970	  11     210.00     230.00  4.677554014929577E-04  8.431998055320455E-07 60260970	  11     210.00     230.00  8.432179285332030E-04  1.533421695622065E-06 60260970
  12     230.00     250.00  4.906561838233892E-04  9.923606512487466E-07 52584549	  12     230.00     250.00  3.703680857293114E-04  7.468310106280260E-07 52584549	  12     230.00     250.00  6.680502688874006E-04  1.357301870546888E-06 52584549
  13     250.00     270.00  3.893538895087188E-04  8.487881595385739E-07 46215238	  13     250.00     270.00  2.937232519514675E-04  6.386904733834939E-07 46215238	  13     250.00     270.00  5.304616856307462E-04  1.161097388573740E-06 46215238
  14     270.00     290.00  3.116688401443094E-04  7.403135169169557E-07 40824729	  14     270.00     290.00  2.350091550080119E-04  5.573265748567118E-07 40824729	  14     270.00     290.00  4.247986532560484E-04  1.011906459161518E-06 40824729
  15     290.00     310.00  2.500259176375840E-04  6.399507708714003E-07 36256977	  15     290.00     310.00  1.884148742298502E-04  4.825039018078231E-07 36256977	  15     290.00     310.00  3.409902066527813E-04  8.728786454069806E-07 36256977
  16     310.00     330.00  2.032200027522652E-04  5.781720670128466E-07 32357911	  16     310.00     330.00  1.530462897257155E-04  4.348525689998624E-07 32357911	  16     310.00     330.00  2.773373009187495E-04  7.914997052778346E-07 32357911
  17     330.00     350.00  1.638693558799240E-04  4.907044672632184E-07 28972305	  17     330.00     350.00  1.233475638971007E-04  3.704813624880856E-07 28972305	  17     330.00     350.00  2.237500596886957E-04  6.681403701606448E-07 28972305
  18     350.00     370.00  1.345652174254922E-04  4.341368905525302E-07 26056184	  18     350.00     370.00  1.012214847743278E-04  3.264941502607618E-07 26056184	  18     350.00     370.00  1.838661775893315E-04  5.942333408428321E-07 26056184
  19     370.00     390.00  1.102778955088368E-04  3.846346835711839E-07 23503778	  19     370.00     390.00  8.291456430752287E-05  2.895484270902338E-07 23503778	  19     370.00     390.00  1.507451161253032E-04  5.256466557302468E-07 23503778
  20     390.00     410.00  9.071089458882276E-05  3.259109267388041E-07 21269968	  20     390.00     410.00  6.816622799076025E-05  2.460658713184626E-07 21269968	  20     390.00     410.00  1.240660077577160E-04  4.436136734574535E-07 21269968
  21     410.00     430.00  7.501864312365158E-05  2.903669067532540E-07 19305217	  21     410.00     430.00  5.634207622205170E-05  2.191875419411321E-07 19305217	  21     410.00     430.00  1.026619239982784E-04  3.952433034339455E-07 19305217
  22     430.00     450.00  6.207373886264527E-05  2.601542956523895E-07 17560929	  22     430.00     450.00  4.658440767541329E-05  1.961349095908064E-07 17560929	  22     430.00     450.00  8.501683472080990E-05  3.546228717423493E-07 17560929
  23     450.00     470.00  5.143378982226801E-05  2.275919319186973E-07 16018828	  23     450.00     470.00  3.858326354475174E-05  1.715830335507361E-07 16018828	  23     450.00     470.00  7.047431590123272E-05  3.102457580071635E-07 16018828
  24     470.00     490.00  4.273972882902298E-05  2.026436672453895E-07 14649839	  24     470.00     490.00  3.203477665320926E-05  1.527560567889592E-07 14649839	  24     470.00     490.00  5.861456680736161E-05  2.762981712548793E-07 14649839
  25     490.00     510.00  3.564689625127741E-05  1.718260255052117E-07 13420016	  25     490.00     510.00  2.670428717504812E-05  1.294662109943714E-07 13420016	  25     490.00     510.00  4.891375958318099E-05  2.342639600515369E-07 13420016
  26     510.00     530.00  3.049905493052404E-05  1.795188357545987E-07 12315950	  26     510.00     530.00  2.283544840282472E-05  1.331527286570769E-07 12315950	  26     510.00     530.00  4.187506473645349E-05  2.503414829178803E-07 12315950
  27     530.00     550.00  2.547203181906449E-05  1.398621791578027E-07 11332781	  27     530.00     550.00  1.905900253712864E-05  1.053248804260016E-07 11332781	  27     530.00     550.00  3.499515257761213E-05  1.908075164697580E-07 11332781
  28     550.00     570.00  2.136809457634734E-05  1.236369157294493E-07 10434963	  28     550.00     570.00  1.598337824130259E-05  9.316054737077676E-08 10434963	  28     550.00     570.00  2.936595128307664E-05  1.685444256778572E-07 10434963
  29     570.00     590.00  1.783131459052759E-05  1.080050907441424E-07 9626522	  29     570.00     590.00  1.332807826741271E-05  8.135855981955783E-08 9626522	  29     570.00     590.00  2.452276446954725E-05  1.472633735687356E-07 9626522
  30     590.00     610.00  1.510380752770123E-05  9.502327552823772E-08 8898082	  30     590.00     610.00  1.128376656859406E-05  7.159691474439448E-08 8898082	  30     590.00     610.00  2.078485648594597E-05  1.295793350462745E-07 8898082
  31     610.00     630.00  1.301014193759243E-05  9.138863556023983E-08 8240158	  31     610.00     630.00  9.713328729512143E-06  6.877729720465908E-08 8240158	  31     610.00     630.00  1.791525715241302E-05  1.247571304598230E-07 8240158
  32     630.00     650.00  1.094670759100012E-05  7.774595862249077E-08 7637309	  32     630.00     650.00  8.168551263262634E-06  5.849579940553442E-08 7637309	  32     630.00     650.00  1.508159482722286E-05  1.061183106269818E-07 7637309
  33     650.00     670.00  9.562185771804604E-06  7.099697895203914E-08 7089763	  33     650.00     670.00  7.133239060492442E-06  5.345047247285420E-08 7089763	  33     650.00     670.00  1.317821655424587E-05  9.684903012208562E-08 7089763
  34     670.00     690.00  8.154054617565894E-06  6.313908901170270E-08 6586870	  34     670.00     690.00  6.078376500916095E-06  4.735528041331172E-08 6586870	  34     670.00     690.00  1.124689557989664E-05  8.657233004661034E-08 6586870
  35     690.00     710.00  6.967403313872579E-06  5.562607955536783E-08 6129719	  35     690.00     710.00  5.190406082561182E-06  4.177898727566625E-08 6129719	  35     690.00     710.00  9.616673247872383E-06  7.610461594301963E-08 6129719
