# title = Azimuthal Angle between Muon and anti-Muon
# xlabel = $\phi_{\mu^+\mu^-}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1634909473
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.08  2.950378605571544E-01  3.453799897270126E-04 216662015
   2       0.08       0.16  3.032465388482363E-01  3.574955172283241E-04 231216331
   3       0.16       0.24  3.212792056230647E-01  3.576013239976906E-04 216969130
   4       0.24       0.31  3.464968402215673E-01  3.710592923512843E-04 193548735
   5       0.31       0.39  3.737986614615947E-01  3.817094959770433E-04 170365292
   6       0.39       0.47  3.958482416167989E-01  3.969227907044623E-04 149881493
   7       0.47       0.55  4.137727219151198E-01  4.142095999541490E-04 132331828
   8       0.55       0.63  4.244209724428343E-01  4.309761418308631E-04 117375621
   9       0.63       0.71  4.302451496017343E-01  4.516446181804994E-04 104650063
  10       0.71       0.79  4.322250161053759E-01  4.750380908021053E-04 93793035
  11       0.79       0.86  4.299053072141026E-01  4.858923079445954E-04 84461175
  12       0.86       0.94  4.227187019235906E-01  4.990803849466450E-04 76403316
  13       0.94       1.02  4.152596478872260E-01  5.014753689552250E-04 69423178
  14       1.02       1.10  4.057558409764626E-01  5.264953331215287E-04 63336219
  15       1.10       1.18  3.944584221781903E-01  5.107517701841072E-04 58013906
  16       1.18       1.26  3.825501615885455E-01  5.174096727110259E-04 53388868
  17       1.26       1.33  3.709631692251082E-01  5.238758816629752E-04 49318283
  18       1.33       1.41  3.588242948552760E-01  5.253168804313232E-04 45754290
  19       1.41       1.49  3.457476099654807E-01  5.167293405052651E-04 42628169
  20       1.49       1.57  3.333625651073145E-01  5.123999478185264E-04 39885794
  21       1.57       1.65  3.229415248811791E-01  5.283060516856413E-04 37491416
  22       1.65       1.73  3.124130343473696E-01  5.288570060023980E-04 35391957
  23       1.73       1.81  3.006914773245312E-01  5.193805857233890E-04 33548085
  24       1.81       1.89  2.907403744604588E-01  5.374794037714878E-04 31945016
  25       1.89       1.96  2.802684751285403E-01  5.453565981521915E-04 30556995
  26       1.96       2.04  2.723161598377517E-01  5.393018548079280E-04 29380614
  27       2.04       2.12  2.644997399940719E-01  5.040014550066548E-04 28370996
  28       2.12       2.20  2.578921340968212E-01  5.113029731418346E-04 27541810
  29       2.20       2.28  2.504128995408249E-01  5.088947118572772E-04 26859711
  30       2.28       2.36  2.444579427808418E-01  5.045277121115741E-04 26326702
  31       2.36       2.44  2.382696077859584E-01  5.030485871701551E-04 25942781
  32       2.44       2.51  2.331000003397846E-01  4.945376758457679E-04 25705577
  33       2.51       2.59  2.295632594092664E-01  4.956069349868493E-04 25605971
  34       2.59       2.67  2.257935849695046E-01  5.090258785914385E-04 25650977
  35       2.67       2.75  2.208674127690408E-01  5.014074373762664E-04 25842514
  36       2.75       2.83  2.192138703867870E-01  4.901944679564199E-04 26221174
  37       2.83       2.91  2.165593867923614E-01  4.880324873046819E-04 26756850
  38       2.91       2.98  2.155542453194755E-01  4.826099315676478E-04 27501121
  39       2.98       3.06  2.149685931119273E-01  5.170263155230686E-04 28500993
  40       3.06       3.14  2.138863602504916E-01  5.046771027979287E-04 29853987
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       8.4092846951738919E-03  4.2779805870265311E-06 52479000
#=====================================================================================
