# title = Azimuthal Angle between Muon and anti-Muon
# xlabel = $\phi_{\mu^+\mu^-}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1524004120
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.08  1.159533915557167E-04  4.077410709906177E-07 3715302
   2       0.08       0.16  1.183237171691241E-04  4.051414030276257E-07 3970605
   3       0.16       0.24  1.224792323404920E-04  4.086727161101802E-07 3768736
   4       0.24       0.31  1.309830755018650E-04  4.217481592877569E-07 3399711
   5       0.31       0.39  1.411433161747472E-04  4.290394832313461E-07 3022738
   6       0.39       0.47  1.539617765068238E-04  4.564430711795957E-07 2682149
   7       0.47       0.55  1.666713920975725E-04  4.744267064107731E-07 2388088
   8       0.55       0.63  1.776017011523648E-04  4.960395301657561E-07 2131160
   9       0.63       0.71  1.871013770806349E-04  5.181945055698604E-07 1912745
  10       0.71       0.79  1.933151391647025E-04  5.450678346116565E-07 1721854
  11       0.79       0.86  1.995148423766540E-04  5.684286403681686E-07 1558934
  12       0.86       0.94  2.033574619041258E-04  5.890658288646433E-07 1416623
  13       0.94       1.02  2.056354527193719E-04  6.106426949739095E-07 1293484
  14       1.02       1.10  2.061758897945096E-04  6.318821520400544E-07 1183724
  15       1.10       1.18  2.050503865126731E-04  6.426504688420516E-07 1088737
  16       1.18       1.26  2.038090871414741E-04  6.552380990449571E-07 1004889
  17       1.26       1.33  2.026163355104582E-04  6.658770405167708E-07 932724
  18       1.33       1.41  1.979041017503604E-04  6.620126440743610E-07 867355
  19       1.41       1.49  1.949164854895183E-04  6.805894998266481E-07 808423
  20       1.49       1.57  1.919601096553091E-04  7.010363876796531E-07 759206
  21       1.57       1.65  1.871203057616906E-04  6.814725140828702E-07 712771
  22       1.65       1.73  1.837657413864924E-04  6.862085845278373E-07 674571
  23       1.73       1.81  1.783453388156397E-04  6.861529029715126E-07 640388
  24       1.81       1.89  1.759314547223326E-04  6.925036284452105E-07 611133
  25       1.89       1.96  1.703413644649401E-04  6.763480152429155E-07 585141
  26       1.96       2.04  1.686273701659735E-04  6.963755329773965E-07 562286
  27       2.04       2.12  1.636713087417171E-04  6.781884855267018E-07 541899
  28       2.12       2.20  1.601631643184418E-04  6.855650627348251E-07 525026
  29       2.20       2.28  1.565101541783599E-04  6.797668508719961E-07 510665
  30       2.28       2.36  1.543579285722586E-04  6.723242270834817E-07 501931
  31       2.36       2.44  1.504166379039720E-04  6.730148322029373E-07 490922
  32       2.44       2.51  1.487073920847026E-04  6.790890328981600E-07 487356
  33       2.51       2.59  1.478965357861253E-04  6.837955841626825E-07 484344
  34       2.59       2.67  1.460462339118944E-04  6.902024858261580E-07 483055
  35       2.67       2.75  1.429247815968795E-04  6.810002853113111E-07 484701
  36       2.75       2.83  1.424886405260694E-04  6.733620522954032E-07 490292
  37       2.83       2.91  1.413077908726193E-04  6.728335196741746E-07 495795
  38       2.91       2.98  1.412023952114139E-04  6.885471659143000E-07 507641
  39       2.98       3.06  1.408360424847384E-04  6.802784139442975E-07 521987
  40       3.06       3.14  1.396058714095208E-04  6.761967410840477E-07 539909
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       5.2297627355733106E-04  3.0940615547913614E-07 50479000
#=====================================================================================
