# title = Cosine of Angle between two jets
# xlabel = $\cos\theta_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1524004120
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  2.030286873682867E-03  2.023484342399894E-06 17335913
   2      -0.90      -0.80  9.592055883149722E-04  1.370431474137555E-06 7378755
   3      -0.80      -0.70  5.773665786310238E-04  1.034650774263925E-06 4839318
   4      -0.70      -0.60  3.921276908656048E-04  8.358970635078434E-07 3559043
   5      -0.60      -0.50  2.820615517776778E-04  6.964455348784502E-07 2759061
   6      -0.50      -0.40  2.116449056834703E-04  5.950359684627757E-07 2177171
   7      -0.40      -0.30  1.629448020257659E-04  5.131451933445247E-07 1759437
   8      -0.30      -0.20  1.300284353338689E-04  4.469447986494665E-07 1489274
   9      -0.20      -0.10  1.053831001463464E-04  3.891326856201405E-07 1300174
  10      -0.10       0.00  8.591883096971783E-05  3.408639841168525E-07 1150775
  11       0.00       0.10  6.978422589226860E-05  2.944047881504907E-07 1036294
  12       0.10       0.20  5.700979209886843E-05  2.508983988685803E-07 941901
  13       0.20       0.30  4.563348332413879E-05  2.085561680633817E-07 861812
  14       0.30       0.40  3.615405647797139E-05  1.699660591786791E-07 796259
  15       0.40       0.50  2.818374287378787E-05  1.360334671815378E-07 736499
  16       0.50       0.60  2.121281325895843E-05  9.935958553674411E-08 681478
  17       0.60       0.70  1.527944311128851E-05  6.863544265768657E-08 620294
  18       0.70       0.80  1.076318414107894E-05  4.470768890306278E-08 543013
  19       0.80       0.90  7.210951094719742E-06  3.221737615510453E-08 410433
  20       0.90       1.00  1.562685868199826E-06  1.389675528773247E-08 102096
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       5.2297627355725961E-04  3.0935284387018658E-07 50479000
#=====================================================================================
