# title = Distance muon Pair
# xlabel = $\Delta R_{\mu^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\mu^+\mu^-}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1524004120
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.10       0.30  2.061627379769408E-06  5.678224411384117E-09 5258665
   2       0.30       0.50  2.777596103043049E-05  5.255999124552946E-08 6790041
   3       0.50       0.70  8.914348953235483E-05  1.480632067958964E-07 6256501
   4       0.70       0.90  1.572125922777993E-04  2.536143787290760E-07 5387534
   5       0.90       1.10  2.092510055126982E-04  3.420821355368355E-07 4537002
   6       1.10       1.30  2.386942921961695E-04  4.082272260315969E-07 3773176
   7       1.30       1.50  2.476137804331637E-04  4.451159919914898E-07 3125930
   8       1.50       1.70  2.420144577066033E-04  4.728768419922835E-07 2601134
   9       1.70       1.90  2.275077898799649E-04  4.750403700157138E-07 2185657
  10       1.90       2.10  2.106027659427127E-04  4.723205718025726E-07 1871895
  11       2.10       2.30  1.934872437158687E-04  4.630501139477321E-07 1634060
  12       2.30       2.50  1.772660345646027E-04  4.507297688992510E-07 1472450
  13       2.50       2.70  1.663633013006235E-04  4.530564692284083E-07 1374902
  14       2.70       2.90  1.572534584260974E-04  4.436203720981045E-07 1332332
  15       2.90       3.10  1.502251237171343E-04  4.373596905584002E-07 1348329
  16       3.10       3.30  8.577563455138996E-05  3.245023443873968E-07 824166
  17       3.30       3.50  2.267237404784145E-05  1.551702223440641E-07 245333
  18       3.50       3.70  7.214120305236422E-06  8.357883132634383E-08 87804
  19       3.70       3.90  2.194586341446687E-06  4.589694265143431E-08 28883
  20       3.90       4.10  4.994658842240700E-07  2.111621517555701E-08 7662
  21       4.10       4.30  5.134098713237396E-08  7.669848011664360E-09 887
  22       4.30       4.50  1.939835047619281E-10  1.067474599385431E-10 13
  23       4.50       4.70  0.000000000000000E+00  0.000000000000000E+00 0
  24       4.70       4.90  0.000000000000000E+00  0.000000000000000E+00 0
  25       4.90       5.10  0.000000000000000E+00  0.000000000000000E+00 0
  26       5.10       5.30  0.000000000000000E+00  0.000000000000000E+00 0
  27       5.30       5.50  0.000000000000000E+00  0.000000000000000E+00 0
  28       5.50       5.70  0.000000000000000E+00  0.000000000000000E+00 0
  29       5.70       5.90  0.000000000000000E+00  0.000000000000000E+00 0
  30       5.90       6.10  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 7.2806986794374272E-10  5.9740927108911305E-12 334644
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       5.2297627355732726E-04  3.0939230301858272E-07 50479000
#=====================================================================================
