# title = Invariant Mass Jet Pair
# xlabel = $M_{\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  4.000E+02
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1634909473
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      20.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     100.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     140.00     180.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     180.00     220.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     220.00     260.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     260.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     300.00     340.00  0.000000000000000E+00  0.000000000000000E+00 0
   9     340.00     380.00  0.000000000000000E+00  0.000000000000000E+00 0
  10     380.00     420.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     420.00     460.00  0.000000000000000E+00  0.000000000000000E+00 0
  12     460.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
  13     500.00     540.00  2.599432013911639E-03  2.466830781705126E-06 71333396
  14     540.00     580.00  2.301078971660608E-03  2.226829986696967E-06 70324631
  15     580.00     620.00  2.037614742730853E-03  1.998264939190155E-06 69061155
  16     620.00     660.00  1.809229868649482E-03  1.841155360434815E-06 67612466
  17     660.00     700.00  1.602599543126307E-03  1.656081176308876E-06 66055935
  18     700.00     740.00  1.425282338078611E-03  1.532784263033036E-06 64395949
  19     740.00     780.00  1.267470180269086E-03  1.379358135520075E-06 62689426
  20     780.00     820.00  1.125785398353609E-03  1.243870033529571E-06 60971555
  21     820.00     860.00  1.002040857038552E-03  1.183429114427303E-06 59239562
  22     860.00     900.00  8.973390402309497E-04  1.087919936135858E-06 57545214
  23     900.00     940.00  8.015508102443441E-04  9.641946531470549E-07 55871674
  24     940.00     980.00  7.191582227145272E-04  9.005094798804419E-07 54211177
  25     980.00    1020.00  6.458134308905875E-04  8.269623928692708E-07 52592357
  26    1020.00    1060.00  5.825593582323029E-04  7.569590096760766E-07 51027231
  27    1060.00    1100.00  5.246549879021246E-04  7.101870470318550E-07 49493720
  28    1100.00    1140.00  4.741192115651505E-04  6.619519093696126E-07 48032833
