# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1634909473
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  9.330373151192067E-02  2.082315203962199E-04 46637993
   2      -2.25      -2.00  1.216216662773955E-01  2.138856230807836E-04 67594294
   3      -2.00      -1.75  1.520960675848541E-01  2.296855956328283E-04 92002139
   4      -1.75      -1.50  1.814401879645572E-01  2.361212030484819E-04 116213568
   5      -1.50      -1.25  2.070110594425698E-01  2.487556248270780E-04 138395003
   6      -1.25      -1.00  2.270127867098740E-01  2.456119484323579E-04 157656085
   7      -1.00      -0.75  2.410393738747527E-01  2.558393232250907E-04 173585696
   8      -0.75      -0.50  2.491773507173352E-01  2.434883615317881E-04 186029200
   9      -0.50      -0.25  2.538384966689249E-01  2.413390544950907E-04 194767339
  10      -0.25       0.00  2.553364235962910E-01  2.324670924717501E-04 199695644
  11       0.00       0.25  2.552952585383678E-01  2.239040121084623E-04 200646774
  12       0.25       0.50  2.540101910801231E-01  2.255856871277201E-04 197488372
  13       0.50       0.75  2.492914189982608E-01  2.107801919181188E-04 190124404
  14       0.75       1.00  2.413198607782907E-01  2.036769959701355E-04 178595495
  15       1.00       1.25  2.275608841465709E-01  2.006509639943297E-04 162977933
  16       1.25       1.50  2.070790093051805E-01  1.921591934589524E-04 143597674
  17       1.50       1.75  1.815643268426549E-01  1.847980798552597E-04 120976165
  18       1.75       2.00  1.517037975079992E-01  1.720959836348356E-04 96207941
  19       2.00       2.25  1.217177704394151E-01  1.626160386563900E-04 71311453
  20       2.25       2.50  9.337300228763416E-02  1.454180704047016E-04 49898828
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       8.4092846951736317E-03  4.2777509925704818E-06 52479000
#=====================================================================================
