# title = Transverse Mass of W-Z
# xlabel = $M_{\text{T},\text{W}\text{Z}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{W}\text{Z}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1524004120
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  1.197372246300162E-09  5.196071851329579E-11 16325
   2      20.00      40.00  8.967947144659621E-09  1.603448752586339E-10 108722
   3      40.00      60.00  2.899631446467358E-08  3.023079239309401E-10 292295
   4      60.00      80.00  7.680782605056452E-08  5.270369066167371E-10 595702
   5      80.00     100.00  2.057390974533967E-07  9.611591829201817E-10 1149515
   6     100.00     120.00  6.010043990870588E-07  1.954005723464611E-09 2300888
   7     120.00     140.00  1.535114651241199E-06  3.512873673561830E-09 3905645
   8     140.00     160.00  3.075819146518765E-06  5.391820236683866E-09 5530300
   9     160.00     180.00  4.660186247245779E-06  6.972244566473846E-09 6510628
  10     180.00     200.00  3.868275724535930E-06  6.506882370165551E-09 4489616
  11     200.00     220.00  2.791835486518472E-06  5.477378102063683E-09 3150496
  12     220.00     240.00  2.060540235674274E-06  4.595707607564820E-09 2401381
  13     240.00     260.00  1.522939933365258E-06  3.787416442660757E-09 1903224
  14     260.00     280.00  1.156382695033932E-06  3.176259157133425E-09 1562323
  15     280.00     300.00  8.910369626699445E-07  2.682072358145658E-09 1311497
  16     300.00     320.00  6.879835727717075E-07  2.247926273082998E-09 1120322
  17     320.00     340.00  5.429808495339130E-07  1.902998460337221E-09 969995
  18     340.00     360.00  4.309516086202963E-07  1.622385415048103E-09 848977
  19     360.00     380.00  3.461017449313010E-07  1.393198363930448E-09 754837
  20     380.00     400.00  2.803720821256997E-07  1.214857647450424E-09 672576
  21     400.00     420.00  2.262821570980725E-07  1.019820154238193E-09 607511
  22     420.00     440.00  1.847265943131695E-07  8.821859459825239E-10 549672
  23     440.00     460.00  1.509557894666575E-07  7.577704623485647E-10 499953
  24     460.00     480.00  1.260383309756478E-07  6.667262501001589E-10 458303
  25     480.00     500.00  1.045908001448058E-07  5.839369931028811E-10 419915
  26     500.00     520.00  8.779510957113167E-08  5.173610531248628E-10 389246
  27     520.00     540.00  7.274480038826374E-08  4.407982533748246E-10 360233
