# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1634909473
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      30.00      50.00  1.421322818592345E-03  3.793899404914156E-06 7405508
   3      50.00      70.00  3.124171770889673E-03  4.556345926649500E-06 25460653
   4      70.00      90.00  3.901484599771644E-03  4.413327835487301E-06 44719850
   5      90.00     110.00  4.221220546606997E-03  4.082933107458495E-06 62676122
   6     110.00     130.00  4.286465955207902E-03  3.781163605025314E-06 78483231
   7     130.00     150.00  4.190811539063527E-03  3.488141696255597E-06 91151949
   8     150.00     170.00  3.900576350065233E-03  3.167073601225203E-06 97457020
   9     170.00     190.00  3.478731671035983E-03  2.819327035323901E-06 98893783
  10     190.00     210.00  3.035572537720888E-03  2.518079039785158E-06 97629634
  11     210.00     230.00  2.611944984631924E-03  2.205295014437008E-06 94895980
  12     230.00     250.00  2.234241841590757E-03  1.956581464812666E-06 91417171
  13     250.00     270.00  1.902490631011520E-03  1.726565771032025E-06 87572242
  14     270.00     290.00  1.619936122956514E-03  1.542767324029747E-06 83606887
  15     290.00     310.00  1.377351682497952E-03  1.378522305941906E-06 79625887
  16     310.00     330.00  1.169808191541644E-03  1.216234524055641E-06 75780657
  17     330.00     350.00  9.953940757011499E-04  1.089615660173136E-06 72033579
  18     350.00     370.00  8.476166922994609E-04  9.830238294294646E-07 68449130
  19     370.00     390.00  7.226576011356057E-04  8.693511948596488E-07 65060366
  20     390.00     410.00  6.186077792188787E-04  7.798089830369936E-07 61816787
  21     410.00     430.00  5.279381670505676E-04  7.033439692093941E-07 58766549
  22     430.00     450.00  4.527247707627367E-04  6.339499183889731E-07 55873596
  23     450.00     470.00  3.871720149747082E-04  5.702655327238781E-07 53134701
  24     470.00     490.00  3.326828311478018E-04  5.062211020713037E-07 50566243
  25     490.00     510.00  2.866745799337303E-04  4.601114720220548E-07 48148496
  26     510.00     530.00  2.471645014677358E-04  4.192888602892009E-07 45838158
  27     530.00     550.00  2.131814446463530E-04  3.763473744699246E-07 43686336
  28     550.00     570.00  1.839823324641251E-04  3.343687499516670E-07 41647676
  29     570.00     590.00  1.594712535230028E-04  3.118360372529728E-07 39709663
  30     590.00     610.00  1.374852772268223E-04  2.751698482684076E-07 37899081
  31     610.00     630.00  1.197259529597051E-04  2.497094424800755E-07 36175634
  32     630.00     650.00  1.039157296380748E-04  2.242811708505823E-07 34549532
  33     650.00     670.00  9.066996051909218E-05  2.062250048336973E-07 33006412
  34     670.00     690.00  7.888195644325755E-05  1.840430054395206E-07 31555003
  35     690.00     710.00  6.849005579732184E-05  1.667315564653403E-07 30158238
  36     710.00     730.00  5.997180127375201E-05  1.509024913081616E-07 28863443
  37     730.00     750.00  5.242679393109693E-05  1.351563221274202E-07 27615901
  38     750.00     770.00  4.580770020012214E-05  1.243254111845203E-07 26443283
  39     770.00     790.00  4.019215924510001E-05  1.131548496196663E-07 25324196
  40     790.00     810.00  3.536565958390122E-05  1.025019904122802E-07 24257040
  41     810.00     830.00  3.106668714871782E-05  9.329372174063302E-08 23242699
  42     830.00     850.00  2.754730156097324E-05  8.794709256286226E-08 22280687
  43     850.00     870.00  2.429042692448883E-05  8.160299399969651E-08 21368366
  44     870.00     890.00  2.138846006042091E-05  7.582024171447380E-08 20500118
  45     890.00     910.00  1.881396363736652E-05  6.408070240836347E-08 19671821
  46     910.00     930.00  1.656161310424229E-05  5.770665333259603E-08 18878259
  47     930.00     950.00  1.468606877955818E-05  5.327281862071228E-08 18122139
  48     950.00     970.00  1.306250706431805E-05  4.954381148853775E-08 17398543
  49     970.00     990.00  1.149097612515107E-05  4.565878778009237E-08 16716445
  50     990.00    1010.00  1.028850773812447E-05  4.271268875755849E-08 16058140
  51    1010.00    1030.00  9.079634279504293E-06  3.700149471043050E-08 15428558
  52    1030.00    1050.00  8.125907296184000E-06  3.453281345564182E-08 14835793
  53    1050.00    1070.00  7.217969453446545E-06  3.242616359881889E-08 14257923
  54    1070.00    1090.00  6.422020402031106E-06  2.991078187196347E-08 13713677
  55    1090.00    1110.00  5.762389589157864E-06  2.760832003226442E-08 13184594
  56    1110.00    1130.00  5.091774573280733E-06  2.443853308306261E-08 12684024
  57    1130.00    1150.00  4.592380958638957E-06  2.265381177888846E-08 12210213
  58    1150.00    1170.00  4.100862360399369E-06  2.106177126198433E-08 11742470
  59    1170.00    1190.00  3.644495020916259E-06  1.924966867641685E-08 11303295
  60    1190.00    1210.00  3.321604033714507E-06  1.913242681893367E-08 10879255
  61    1210.00    1230.00  2.899687473264338E-06  1.568052724222446E-08 10476115
  62    1230.00    1250.00  2.581228839579950E-06  1.440957954812813E-08 10082476
  63    1250.00    1270.00  2.353597309470137E-06  1.438979208689431E-08 9714025
  64    1270.00    1290.00  2.101784988555378E-06  1.224843603784769E-08 9356814
  65    1290.00    1310.00  1.879335274081623E-06  1.164876908291417E-08 9019809
  66    1310.00    1330.00  1.690233260358584E-06  1.063501120482023E-08 8685482
  67    1330.00    1350.00  1.514564846518688E-06  9.587756619773349E-09 8374384
  68    1350.00    1370.00  1.375914529260147E-06  8.979183194983849E-09 8065972
  69    1370.00    1390.00  1.224621103838226E-06  8.430294819074823E-09 7774678
  70    1390.00    1410.00  1.108778668159701E-06  7.933392719482603E-09 7503403
  71    1410.00    1430.00  9.943969199553353E-07  7.343009275681299E-09 7231556
  72    1430.00    1450.00  9.043284896892797E-07  6.870006211839042E-09 6974280
  73    1450.00    1470.00  8.066610907962517E-07  6.086987091367332E-09 6720244
  74    1470.00    1490.00  7.169951789187994E-07  5.206063878080453E-09 6485067
  75    1490.00    1510.00  6.521844785038409E-07  4.865941231372646E-09 6258238
  76    1510.00    1530.00  5.964772900317647E-07  4.899176380119835E-09 6037839
  77    1530.00    1550.00  5.293076016153061E-07  4.255013184356540E-09 5828664
  78    1550.00    1570.00  4.832786243920460E-07  4.116455951524168E-09 5628622
  79    1570.00    1590.00  4.392525817512214E-07  3.678041505654056E-09 5429396
  80    1590.00    1610.00  3.867690783968530E-07  3.243434548537272E-09 5239494
  81    1610.00    1630.00  3.563067911030815E-07  3.248353537596049E-09 5059517
  82    1630.00    1650.00  3.136088510122703E-07  2.794249881433444E-09 4884341
  83    1650.00    1670.00  2.882143744593795E-07  2.683277439486880E-09 4717432
