# title = Missing Transverse Momentum
# xlabel = $p_{\text{T},\text{miss}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{miss}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1634909473
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  1.009972311518244E-02  4.870081298876366E-06 423696278
   2      30.00      50.00  1.086271950242111E-02  6.027601572023501E-06 429851690
   3      50.00      70.00  7.953391913526401E-03  5.472064797402334E-06 310433600
   4      70.00      90.00  5.159464454789418E-03  4.274975376654875E-06 225459360
   5      90.00     110.00  3.373623907882851E-03  3.232093586798339E-06 171573292
   6     110.00     130.00  2.393368082921919E-03  2.613663710565502E-06 137774640
   7     130.00     150.00  1.760634136280135E-03  2.146862876079838E-06 113610451
   8     150.00     170.00  1.332506697839248E-03  1.813046323936356E-06 95266148
   9     170.00     190.00  1.018422578992158E-03  1.563339811968282E-06 80966032
  10     190.00     210.00  7.931240770796328E-04  1.320663700785833E-06 69544332
  11     210.00     230.00  6.194721100738506E-04  1.120676192411575E-06 60260970
  12     230.00     250.00  4.906561838233892E-04  9.923606512487466E-07 52584549
  13     250.00     270.00  3.893538895087188E-04  8.487881595385739E-07 46215238
  14     270.00     290.00  3.116688401443094E-04  7.403135169169557E-07 40824729
  15     290.00     310.00  2.500259176375840E-04  6.399507708714003E-07 36256977
  16     310.00     330.00  2.032200027522652E-04  5.781720670128466E-07 32357911
  17     330.00     350.00  1.638693558799240E-04  4.907044672632184E-07 28972305
  18     350.00     370.00  1.345652174254922E-04  4.341368905525302E-07 26056184
  19     370.00     390.00  1.102778955088368E-04  3.846346835711839E-07 23503778
  20     390.00     410.00  9.071089458882276E-05  3.259109267388041E-07 21269968
  21     410.00     430.00  7.501864312365158E-05  2.903669067532540E-07 19305217
  22     430.00     450.00  6.207373886264527E-05  2.601542956523895E-07 17560929
  23     450.00     470.00  5.143378982226801E-05  2.275919319186973E-07 16018828
  24     470.00     490.00  4.273972882902298E-05  2.026436672453895E-07 14649839
  25     490.00     510.00  3.564689625127741E-05  1.718260255052117E-07 13420016
  26     510.00     530.00  3.049905493052404E-05  1.795188357545987E-07 12315950
  27     530.00     550.00  2.547203181906449E-05  1.398621791578027E-07 11332781
  28     550.00     570.00  2.136809457634734E-05  1.236369157294493E-07 10434963
  29     570.00     590.00  1.783131459052759E-05  1.080050907441424E-07 9626522
  30     590.00     610.00  1.510380752770123E-05  9.502327552823772E-08 8898082
  31     610.00     630.00  1.301014193759243E-05  9.138863556023983E-08 8240158
  32     630.00     650.00  1.094670759100012E-05  7.774595862249077E-08 7637309
  33     650.00     670.00  9.562185771804604E-06  7.099697895203914E-08 7089763
  34     670.00     690.00  8.154054617565894E-06  6.313908901170270E-08 6586870
  35     690.00     710.00  6.967403313872579E-06  5.562607955536783E-08 6129719
  36     710.00     730.00  5.890083683576122E-06  5.050481320656050E-08 5704113
  37     730.00     750.00  5.207947523050677E-06  4.885769121600734E-08 5324259
  38     750.00     770.00  4.348436420912809E-06  3.926484847789670E-08 4963563
  39     770.00     790.00  3.843678225577474E-06  3.782936485696989E-08 4639126
  40     790.00     810.00  3.346306954016950E-06  3.668406886895864E-08 4340606
  41     810.00     830.00  2.859863076294923E-06  2.828494456464477E-08 4063512
  42     830.00     850.00  2.489825969268454E-06  2.847107713366178E-08 3809150
  43     850.00     870.00  2.164523014986965E-06  2.375379711363385E-08 3572005
  44     870.00     890.00  1.869443255245250E-06  2.176082369746864E-08 3349547
  45     890.00     910.00  1.669483800514072E-06  2.092770967794668E-08 3148583
  46     910.00     930.00  1.429357782287198E-06  1.840351409105583E-08 2957565
  47     930.00     950.00  1.244220242812584E-06  1.708973988178871E-08 2781658
  48     950.00     970.00  1.083243138157127E-06  1.446695412356904E-08 2617846
  49     970.00     990.00  9.710509148201661E-07  1.736609451109001E-08 2468247
  50     990.00    1010.00  8.239575826100157E-07  1.257990066918217E-08 2326284
  51    1010.00    1030.00  7.355383060848269E-07  1.132632023138903E-08 2192143
  52    1030.00    1050.00  6.533715915452441E-07  1.192545417429112E-08 2069039
  53    1050.00    1070.00  5.795863921063205E-07  1.035125056477344E-08 1952421
  54    1070.00    1090.00  5.059527644835676E-07  8.336981644221696E-09 1845702
  55    1090.00    1110.00  4.517964718146029E-07  8.592494863102245E-09 1745432
  56    1110.00    1130.00  3.939696299339770E-07  1.419817562800249E-08 1649283
  57    1130.00    1150.00  3.365255417775987E-07  6.026563295509349E-09 1559115
  58    1150.00    1170.00  3.012359721807354E-07  7.070708269235105E-09 1478646
  59    1170.00    1190.00  2.633442301079163E-07  4.965367456550746E-09 1398876
  60    1190.00    1210.00  2.354692028273745E-07  5.081147442864795E-09 1326574
  61    1210.00    1230.00  2.171636735387408E-07  5.785332480236311E-09 1256193
  62    1230.00    1250.00  1.889687189252932E-07  4.112317639013399E-09 1190581
  63    1250.00    1270.00  1.664663291744847E-07  4.037834729089520E-09 1128248
  64    1270.00    1290.00  1.455177261015675E-07  3.692561315689716E-09 1072266
  65    1290.00    1310.00  1.306242270432187E-07  3.062810375348184E-09 1018353
  66    1310.00    1330.00  1.119170073935566E-07  2.614875033150144E-09 968182
  67    1330.00    1350.00  1.045271941760060E-07  3.185166136005088E-09 919948
  68    1350.00    1370.00  9.197515244995392E-08  2.514017622582659E-09 873994
  69    1370.00    1390.00  8.029795221721382E-08  1.884936164520463E-09 830623
  70    1390.00    1410.00  7.096763845857808E-08  2.235169515338111E-09 790997
  71    1410.00    1430.00  6.335217550645361E-08  1.663631249204429E-09 751549
  72    1430.00    1450.00  5.671027008405521E-08  1.601220927261187E-09 714958
  73    1450.00    1470.00  4.887594043910596E-08  1.279612383434351E-09 681259
  74    1470.00    1490.00  4.740186225595980E-08  1.651901477564938E-09 648445
  75    1490.00    1510.00  4.031266209150679E-08  1.369924495297714E-09 618210
  76    1510.00    1530.00  3.897399464377218E-08  1.465937568450515E-09 588346
  77    1530.00    1550.00  3.236071663364532E-08  1.077042122831782E-09 562137
  78    1550.00    1570.00  3.019883511005814E-08  1.054362344739753E-09 535946
  79    1570.00    1590.00  2.629449217205613E-08  8.740582521051702E-10 509779
  80    1590.00    1610.00  2.263585393311472E-08  6.763695124336899E-10 486790
  81    1610.00    1630.00  2.042260243607794E-08  7.162159056296675E-10 464217
  82    1630.00    1650.00  1.915309475373341E-08  6.864950634017106E-10 442397
  83    1650.00    1670.00  1.639176781147970E-08  5.840439837886750E-10 422954
  84    1670.00    1690.00  1.622945597986512E-08  9.004232709308737E-10 403464
  85    1690.00    1710.00  1.275715838127493E-08  4.292211043810574E-10 384260
  86    1710.00    1730.00  1.148762221097864E-08  4.127291386182941E-10 368328
  87    1730.00    1750.00  1.100079043560598E-08  4.541471580500088E-10 351770
  88    1750.00    1770.00  1.087626454157480E-08  5.766016188367658E-10 336107
  89    1770.00    1790.00  8.791181831693211E-09  3.724167980278107E-10 322120
  90    1790.00    1810.00  7.841116089265635E-09  3.977991631229254E-10 306820
  91    1810.00    1830.00  7.736861836761068E-09  4.236248644657148E-10 293319
  92    1830.00    1850.00  6.295572275772034E-09  3.185350095597316E-10 279503
  93    1850.00    1870.00  5.924310749426502E-09  2.776726694651104E-10 268642
  94    1870.00    1890.00  4.734565198625495E-09  1.919878818977611E-10 256624
  95    1890.00    1910.00  4.830513324863040E-09  2.509838554599215E-10 245013
  96    1910.00    1930.00  4.349688344664918E-09  2.265147992299754E-10 234322
  97    1930.00    1950.00  3.764244071772605E-09  2.091717525411402E-10 224376
