# title = Missing Transverse Momentum
# xlabel = $p_{\text{T},\text{miss}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{miss}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1524004120
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  8.287800993806055E-06  9.879462802090645E-09 7949802
   2      30.00      50.00  6.970334567863246E-06  8.270041517203809E-09 8058366
   3      50.00      70.00  4.003629108500467E-06  5.560093006034840E-09 5804294
   4      70.00      90.00  2.156342230989525E-06  3.701499391630655E-09 4170971
   5      90.00     110.00  1.199022084984616E-06  2.524675100501649E-09 3141048
   6     110.00     130.00  7.202652075345835E-07  1.773393527264172E-09 2503545
   7     130.00     150.00  4.579431811940802E-07  1.304367835148886E-09 2044541
   8     150.00     170.00  2.962112125223434E-07  9.564572224285004E-10 1701491
   9     170.00     190.00  1.984719638935581E-07  7.272951205026208E-10 1439020
  10     190.00     210.00  1.352946052071785E-07  5.561134039183554E-10 1228598
  11     210.00     230.00  9.375421776003790E-08  4.247544644828891E-10 1059882
  12     230.00     250.00  6.609242393316824E-08  3.263385314849889E-10 918814
  13     250.00     270.00  4.709214656172087E-08  2.568220803039857E-10 804466
  14     270.00     290.00  3.420724636080295E-08  2.038878354899575E-10 707301
  15     290.00     310.00  2.495167716492361E-08  1.630124444618790E-10 626137
  16     310.00     330.00  1.827629623670259E-08  1.294070333712146E-10 557468
  17     330.00     350.00  1.356245738884437E-08  1.027774841205098E-10 496884
  18     350.00     370.00  1.014872199072883E-08  8.233579940843734E-11 444226
  19     370.00     390.00  7.501787883676441E-09  6.297874683962024E-11 399974
  20     390.00     410.00  5.736457998660239E-09  5.154107430267173E-11 360707
  21     410.00     430.00  4.429157067543338E-09  4.268592533879225E-11 325615
  22     430.00     450.00  3.418615272375133E-09  3.468414322754561E-11 296540
  23     450.00     470.00  2.600684048583090E-09  2.829390604629643E-11 270358
  24     470.00     490.00  2.023437684736833E-09  2.392685517534537E-11 245573
  25     490.00     510.00  1.600218371232044E-09  1.939814024995128E-11 224583
  26     510.00     530.00  1.237731208305656E-09  1.605823676093779E-11 205600
  27     530.00     550.00  9.863834847401705E-10  1.285482580629538E-11 188725
  28     550.00     570.00  7.965534684555847E-10  1.242109160286457E-11 173491
  29     570.00     590.00  6.311764133436663E-10  9.208746025916465E-12 159464
  30     590.00     610.00  5.063921017898199E-10  7.441563540387198E-12 147601
  31     610.00     630.00  4.006802073667845E-10  6.287999134181756E-12 136419
  32     630.00     650.00  3.359155591392610E-10  5.496108823160829E-12 126223
  33     650.00     670.00  2.683772974906140E-10  4.582146335640936E-12 117387
  34     670.00     690.00  2.198838196525129E-10  4.073736715310135E-12 108671
  35     690.00     710.00  1.836058904402275E-10  3.698068168549308E-12 101152
  36     710.00     730.00  1.496873835931705E-10  2.802935387311482E-12 93804
  37     730.00     750.00  1.229782120703263E-10  2.402771370828641E-12 86863
  38     750.00     770.00  9.947920170212489E-11  2.057488427324658E-12 81459
  39     770.00     790.00  8.289047580316075E-11  2.217207537324499E-12 75474
  40     790.00     810.00  7.019756913422147E-11  1.742797015284015E-12 70701
  41     810.00     830.00  5.866733724731457E-11  1.173711191998484E-12 65900
  42     830.00     850.00  5.081191205206289E-11  1.193144200058517E-12 61618
  43     850.00     870.00  4.307919943734125E-11  1.325964713957667E-12 57847
  44     870.00     890.00  3.466525350255163E-11  7.586942364520210E-13 53873
  45     890.00     910.00  2.910702588364239E-11  6.471998348563151E-13 50769
  46     910.00     930.00  2.395572947013848E-11  5.731357725280035E-13 47824
  47     930.00     950.00  2.045756045197036E-11  4.749553682723184E-13 45037
  48     950.00     970.00  1.804908018179831E-11  4.121984378612887E-13 42038
  49     970.00     990.00  1.492019497872291E-11  3.496690168279479E-13 39320
  50     990.00    1010.00  1.306478479673769E-11  3.131024383156601E-13 37868
  51    1010.00    1030.00  1.163283495378460E-11  3.303975490760062E-13 35107
  52    1030.00    1050.00  9.752577380822501E-12  2.746184906295491E-13 33156
  53    1050.00    1070.00  8.259180210332681E-12  2.109278080206697E-13 31163
  54    1070.00    1090.00  7.455122016545801E-12  2.177257012254156E-13 29833
  55    1090.00    1110.00  5.902493356306357E-12  1.548215865364669E-13 27697
  56    1110.00    1130.00  5.275711282115031E-12  1.508693283674469E-13 26155
  57    1130.00    1150.00  4.697468010473041E-12  1.296158629156848E-13 24639
  58    1150.00    1170.00  4.242695585450253E-12  2.125352277169962E-13 23366
  59    1170.00    1190.00  3.668226748978830E-12  1.169707271238545E-13 22406
  60    1190.00    1210.00  3.271965797686061E-12  1.070926038604716E-13 21234
  61    1210.00    1230.00  2.853312313363220E-12  1.026981243275054E-13 19887
  62    1230.00    1250.00  2.544671003711287E-12  1.955263298973081E-13 18720
  63    1250.00    1270.00  2.116892717418927E-12  1.104944139794216E-13 17918
  64    1270.00    1290.00  1.902996423598879E-12  6.807607063698536E-14 17090
  65    1290.00    1310.00  1.748601862632108E-12  6.693060914128429E-14 16062
  66    1310.00    1330.00  1.357204446657051E-12  4.606467624462812E-14 15058
  67    1330.00    1350.00  1.193328679270058E-12  4.103831793784048E-14 14460
  68    1350.00    1370.00  1.182473368708270E-12  4.539705551526557E-14 13946
  69    1370.00    1390.00  1.053473650018364E-12  5.001807458251657E-14 13285
  70    1390.00    1410.00  8.569387474372222E-13  3.895186218084415E-14 12444
  71    1410.00    1430.00  8.511553817307242E-13  6.817982092981075E-14 11872
  72    1430.00    1450.00  6.551091414790546E-13  2.853115120219036E-14 11310
  73    1450.00    1470.00  6.228727933896898E-13  2.604737646245104E-14 10603
  74    1470.00    1490.00  5.729870903905162E-13  4.116458732369810E-14 10020
  75    1490.00    1510.00  4.449917992982120E-13  1.940843113092856E-14 9607
  76    1510.00    1530.00  4.339306249699130E-13  1.959154254523765E-14 9023
  77    1530.00    1550.00  3.950522279096356E-13  4.982470988236047E-14 8708
  78    1550.00    1570.00  3.568773406249437E-13  2.208959298079383E-14 8289
  79    1570.00    1590.00  3.047399563329474E-13  1.865791219599074E-14 7962
  80    1590.00    1610.00  2.811785323922998E-13  1.466056120735401E-14 7467
  81    1610.00    1630.00  2.401220454884695E-13  1.361503869138674E-14 7327
  82    1630.00    1650.00  2.346638833417111E-13  1.403882624256070E-14 6783
  83    1650.00    1670.00  2.148919614508895E-13  1.370837445955629E-14 6464
  84    1670.00    1690.00  1.752949713713422E-13  9.378486743388859E-15 6358
  85    1690.00    1710.00  1.359972859395818E-13  7.750482460607153E-15 5855
  86    1710.00    1730.00  1.350428071235551E-13  8.206654089102396E-15 5614
  87    1730.00    1750.00  1.261037792870082E-13  8.040937610903343E-15 5371
  88    1750.00    1770.00  1.435712238865803E-13  1.788036266464682E-14 5338
  89    1770.00    1790.00  1.096298748781509E-13  6.437635355016656E-15 5008
  90    1790.00    1810.00  9.619531135545212E-14  7.066414130131156E-15 4772
  91    1810.00    1830.00  8.246061209079119E-14  4.967322291091287E-15 4624
  92    1830.00    1850.00  8.876708966558349E-14  8.576621601804185E-15 4323
  93    1850.00    1870.00  6.986232403496777E-14  4.790250400765761E-15 4214
