# title = Invariant Mass Jet Pair
# xlabel = $M_{\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  4.000E+02
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1524004120
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      20.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     100.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     140.00     180.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     180.00     220.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     220.00     260.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     260.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     300.00     340.00  0.000000000000000E+00  0.000000000000000E+00 0
   9     340.00     380.00  0.000000000000000E+00  0.000000000000000E+00 0
  10     380.00     420.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     420.00     460.00  0.000000000000000E+00  0.000000000000000E+00 0
  12     460.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
  13     500.00     540.00  1.377425489030951E-06  2.725795471843092E-09 1251007
  14     540.00     580.00  1.199691732793254E-06  2.450629847227281E-09 1237304
  15     580.00     620.00  1.029727154378158E-06  2.169213815086962E-09 1216053
  16     620.00     660.00  8.833471654713541E-07  1.925158533605497E-09 1191696
  17     660.00     700.00  7.590010602736564E-07  1.706148973831685E-09 1165519
  18     700.00     740.00  6.523716658363993E-07  1.514841483511551E-09 1139097
  19     740.00     780.00  5.642487543799071E-07  1.367913885481633E-09 1109597
  20     780.00     820.00  4.847278388045880E-07  1.214318262602167E-09 1080954
  21     820.00     860.00  4.173906870008785E-07  1.085393864159863E-09 1052946
  22     860.00     900.00  3.607529854009046E-07  9.643881168581020E-10 1022928
  23     900.00     940.00  3.105761053901414E-07  8.523731998564465E-10 994427
  24     940.00     980.00  2.685496278738380E-07  7.636152040140503E-10 965102
  25     980.00    1020.00  2.321413620200096E-07  6.826256811380042E-10 938440
  26    1020.00    1060.00  2.025817258341557E-07  6.165052866333093E-10 911608
  27    1060.00    1100.00  1.750910945659440E-07  5.521100788994276E-10 884581
  28    1100.00    1140.00  1.522694522912332E-07  4.891289346295313E-10 859715
