# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1634909473
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00  7.262404260745520E-07  1.286936287180486E-08 1064830
   8     700.00     800.00  1.044692272192903E-04  2.316026446663557E-07 19329815
   9     800.00     900.00  3.867166404106205E-04  4.940313466545596E-07 42341645
  10     900.00    1000.00  6.030012113332793E-04  6.230735476166674E-07 59702096
  11    1000.00    1100.00  6.964568171302632E-04  6.563778654210911E-07 71032944
  12    1100.00    1200.00  7.022070884830141E-04  6.386249093300236E-07 77611408
  13    1200.00    1300.00  6.596374170408191E-04  5.729305419199008E-07 80930486
  14    1300.00    1400.00  5.979869760624448E-04  5.346536204472083E-07 82139860
  15    1400.00    1500.00  5.291724419102938E-04  4.900063738351467E-07 81954050
  16    1500.00    1600.00  4.612073738870558E-04  4.268113795040752E-07 80829077
  17    1600.00    1700.00  3.988739283123240E-04  3.729708689224231E-07 79137841
  18    1700.00    1800.00  3.432547673034512E-04  3.356139001737843E-07 77070548
  19    1800.00    1900.00  2.945658617221014E-04  3.031971591407832E-07 74775266
  20    1900.00    2000.00  2.516146746153934E-04  2.700997915956613E-07 72377301
  21    2000.00    2100.00  2.148367586804784E-04  2.352497524525243E-07 69910096
  22    2100.00    2200.00  1.834289056386646E-04  2.089616309587802E-07 67465030
  23    2200.00    2300.00  1.562897764923915E-04  1.883123985454125E-07 64999548
  24    2300.00    2400.00  1.332872392528679E-04  1.694144455743420E-07 62613725
  25    2400.00    2500.00  1.135574225721034E-04  1.529035599240534E-07 60299365
  26    2500.00    2600.00  9.721388068736889E-05  1.357841622631165E-07 58033564
  27    2600.00    2700.00  8.297647285522827E-05  1.212997455939844E-07 55870320
  28    2700.00    2800.00  7.065612479680404E-05  1.062443582508642E-07 53748725
  29    2800.00    2900.00  6.040223451521699E-05  9.830871122809856E-08 51751134
  30    2900.00    3000.00  5.143203815072345E-05  8.517551085899557E-08 49811661
