# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1524004120
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00  6.475042242733646E-10  1.081533205804267E-11 17777
   8     700.00     800.00  8.396635792326154E-08  2.799108941104826E-10 369670
   9     800.00     900.00  2.994166552278206E-07  6.688743520036178E-10 816743
  10     900.00    1000.00  4.503242440562482E-07  8.877023234426957E-10 1136197
  11    1000.00    1100.00  4.974267901938569E-07  9.497706637310693E-10 1334663
  12    1100.00    1200.00  4.766593459309860E-07  9.206683639013431E-10 1445169
  13    1200.00    1300.00  4.264477360399703E-07  8.565802573265085E-10 1498326
  14    1300.00    1400.00  3.622438639682520E-07  7.570791321421529E-10 1514280
  15    1400.00    1500.00  3.017728461972906E-07  6.581309292374078E-10 1506053
  16    1500.00    1600.00  2.447970714552805E-07  5.583053612084843E-10 1481528
  17    1600.00    1700.00  1.961121570039056E-07  4.774631916465197E-10 1447162
  18    1700.00    1800.00  1.562423569388174E-07  3.907128523439849E-10 1405661
  19    1800.00    1900.00  1.236487505135744E-07  3.259511811754792E-10 1364947
  20    1900.00    2000.00  9.612962895710974E-08  2.576079615092115E-10 1317691
  21    2000.00    2100.00  7.523397220320246E-08  2.120293857195694E-10 1269803
  22    2100.00    2200.00  5.870682227957861E-08  1.709820734937980E-10 1224259
  23    2200.00    2300.00  4.560641995338272E-08  1.370046613152863E-10 1180235
  24    2300.00    2400.00  3.561611937155340E-08  1.117034544254687E-10 1134681
  25    2400.00    2500.00  2.729340483977173E-08  8.613686863276038E-11 1092154
  26    2500.00    2600.00  2.117870662190643E-08  6.873432029745095E-11 1050024
  27    2600.00    2700.00  1.635352508938500E-08  5.411953740994704E-11 1010398
  28    2700.00    2800.00  1.272676822739454E-08  4.332421838066410E-11 972512
  29    2800.00    2900.00  9.767449195239109E-09  3.274505214162004E-11 934552
  30    2900.00    3000.00  7.634807375092710E-09  2.630475528116955E-11 900212
