# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1634909473
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0
   6      -3.25      -3.00  6.592067034535697E-07  1.910391884923931E-08 118106
   7      -3.00      -2.75  4.913048776676028E-05  5.063595948253181E-07 1535301
   8      -2.75      -2.50  6.499136087154424E-04  3.965211020106424E-06 5790966
   9      -2.50      -2.25  3.654152774812493E-03  1.395623430294954E-05 14441924
  10      -2.25      -2.00  1.265577402557234E-02  3.131258810004184E-05 29083249
  11      -2.00      -1.75  3.218250150518437E-02  6.000425519146344E-05 50564443
  12      -1.75      -1.50  6.537702535576864E-02  9.730931703435447E-05 78529229
  13      -1.50      -1.25  1.101003999084006E-01  1.374111773778645E-04 111545862
  14      -1.25      -1.00  1.622647898451966E-01  1.770847836796494E-04 148013857
  15      -1.00      -0.75  2.163625397527609E-01  2.105997244477290E-04 186126320
  16      -0.75      -0.50  2.660639189596408E-01  2.354132569700571E-04 223640534
  17      -0.50      -0.25  3.044313889750072E-01  2.527667792934967E-04 256902853
  18      -0.25       0.00  3.253242888435607E-01  2.490873343997397E-04 279685586
  19       0.00       0.25  3.259853279376286E-01  2.490812580020290E-04 279996214
  20       0.25       0.50  3.045609990902842E-01  2.255383566548847E-04 257944794
  21       0.50       0.75  2.657697340152580E-01  2.037780324880109E-04 225142044
  22       0.75       1.00  2.165319432538493E-01  1.759581946088751E-04 187691957
  23       1.00       1.25  1.621256675720173E-01  1.461438756293981E-04 149570984
  24       1.25       1.50  1.100785626761825E-01  1.163988292950804E-04 113010611
  25       1.50       1.75  6.524034070780073E-02  8.253774460235940E-05 79853656
  26       1.75       2.00  3.217264351981736E-02  5.391809225244389E-05 51764327
  27       2.00       2.25  1.264005749785458E-02  2.936671175577701E-05 30107736
  28       2.25       2.50  3.651709645601857E-03  1.275464278565117E-05 15213413
  29       2.50       2.75  6.494295425657453E-04  5.197151596334716E-06 6265274
  30       2.75       3.00  4.896908889281052E-05  5.036937389574010E-07 1726512
  31       3.00       3.25  6.341218621463880E-07  1.705378665261136E-08 136248
  32       3.25       3.50  0.000000000000000E+00  0.000000000000000E+00 0
  33       3.50       3.75  0.000000000000000E+00  0.000000000000000E+00 0
  34       3.75       4.00  0.000000000000000E+00  0.000000000000000E+00 0
  35       4.00       4.25  0.000000000000000E+00  0.000000000000000E+00 0
  36       4.25       4.50  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       6.4819152032533035E-03  3.2819788064738811E-06 52479000
#=====================================================================================
