# title = Transverse Momentum anti-Muon
# xlabel = $p_{\text{T},\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-07
# ymax=  5.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1524004120
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  5.468557507584645E-06  6.394278282593981E-09 8186353
   3      40.00      60.00  4.864967728731445E-06  6.222482826767327E-09 7619070
   4      60.00      80.00  3.401711987300934E-06  5.197787000854868E-09 5695137
   5      80.00     100.00  2.194895648779680E-06  4.012244725061291E-09 4307397
   6     100.00     120.00  1.359392316311677E-06  2.981135478782850E-09 3302452
   7     120.00     140.00  8.757124055568592E-07  2.238560938162553E-09 2630241
   8     140.00     160.00  5.955088702613412E-07  1.736690422993313E-09 2164314
   9     160.00     180.00  4.133497246837643E-07  1.359866023891181E-09 1814181
  10     180.00     200.00  2.945338318781502E-07  1.100085306265034E-09 1539244
  11     200.00     220.00  2.099768064096994E-07  8.642021112358331E-10 1320265
  12     220.00     240.00  1.514437600857719E-07  6.824539628851293E-10 1142448
  13     240.00     260.00  1.131920108371433E-07  5.649722337853033E-10 997355
  14     260.00     280.00  8.282169919823801E-08  4.518497049362697E-10 873644
  15     280.00     300.00  6.112255218459809E-08  3.630457952490734E-10 771281
  16     300.00     320.00  4.594113938667684E-08  2.970833325454370E-10 685551
  17     320.00     340.00  3.433212959073751E-08  2.376579351172197E-10 609443
  18     340.00     360.00  2.633288211894375E-08  1.975481499323463E-10 546529
  19     360.00     380.00  1.980480639137212E-08  1.576782481212539E-10 489056
  20     380.00     400.00  1.517613711924370E-08  1.297034764817646E-10 440640
  21     400.00     420.00  1.169433986121906E-08  1.051407783527685E-10 399377
  22     420.00     440.00  9.189663439250764E-09  8.858051285979045E-11 360895
  23     440.00     460.00  6.995592870135009E-09  7.127454256522743E-11 327666
  24     460.00     480.00  5.489234874292458E-09  5.881897079867394E-11 299078
  25     480.00     500.00  4.355989092910760E-09  4.878250053553816E-11 272946
  26     500.00     520.00  3.454894803648355E-09  4.171278304195812E-11 250145
  27     520.00     540.00  2.850872239180054E-09  3.595551437466684E-11 228891
  28     540.00     560.00  2.174328405811575E-09  2.831917155197268E-11 210449
  29     560.00     580.00  1.730900035217204E-09  2.330681603134570E-11 194843
  30     580.00     600.00  1.401800235583265E-09  2.010633135011333E-11 178594
  31     600.00     620.00  1.152054005177327E-09  1.725033007445818E-11 164987
  32     620.00     640.00  9.204903957491658E-10  1.390831722651059E-11 151711
  33     640.00     660.00  7.367877104849060E-10  1.162267684494652E-11 140414
  34     660.00     680.00  6.113396069856994E-10  1.012481360236181E-11 129787
  35     680.00     700.00  5.014551946585317E-10  8.846798477363846E-12 121349
  36     700.00     720.00  4.091095543301355E-10  6.957630706521631E-12 112455
  37     720.00     740.00  3.335913180406605E-10  5.864413813263596E-12 104574
  38     740.00     760.00  2.775796927021161E-10  5.053818667399522E-12 97776
  39     760.00     780.00  2.420867544882924E-10  4.580757523352141E-12 91640
  40     780.00     800.00  1.955777186043826E-10  3.664577943687709E-12 85099
  41     800.00     820.00  1.632263732066163E-10  3.075641366819633E-12 79077
  42     820.00     840.00  1.381904509246719E-10  2.809490632393767E-12 74941
  43     840.00     860.00  1.151506783824343E-10  2.415070814069434E-12 69006
  44     860.00     880.00  9.598786211867907E-11  2.241931472935058E-12 65086
  45     880.00     900.00  8.117921847587688E-11  1.670233497643191E-12 61121
