# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1634909473
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  6.452358733780043E-04  1.797031739391099E-06 27899613
   2      20.00      40.00  1.630001351987044E-03  2.650723117132131E-06 57509542
   3      40.00      60.00  2.317300746704104E-03  3.000735550906850E-06 73350794
   4      60.00      80.00  2.872666916455741E-03  3.135759023689438E-06 83665438
   5      80.00     100.00  3.092349203635509E-03  3.094220761049175E-06 90016988
   6     100.00     120.00  3.053352147315288E-03  2.823535482323405E-06 93204359
   7     120.00     140.00  2.874703445229315E-03  2.546943063700622E-06 94209264
   8     140.00     160.00  2.642313763886813E-03  2.353264329402655E-06 93699578
   9     160.00     180.00  2.382791276908041E-03  2.073077387013584E-06 92180279
  10     180.00     200.00  2.126320335253814E-03  1.904788590054730E-06 89914732
  11     200.00     220.00  1.880366396289149E-03  1.699199920730002E-06 87201490
  12     220.00     240.00  1.648334233707490E-03  1.520927022997902E-06 84159885
  13     240.00     260.00  1.437390191778169E-03  1.367333049607707E-06 80932984
  14     260.00     280.00  1.248996711230510E-03  1.229854799956267E-06 77590922
  15     280.00     300.00  1.081988878261390E-03  1.123306019106257E-06 74185545
  16     300.00     320.00  9.286703851813195E-04  9.886586946509322E-07 70733984
  17     320.00     340.00  7.942353758223516E-04  8.887816397583956E-07 67260064
  18     340.00     360.00  6.783679629988449E-04  7.908110454403262E-07 63831734
  19     360.00     380.00  5.786751047555047E-04  7.048632571696295E-07 60564964
  20     380.00     400.00  4.928346897523289E-04  6.350581066197390E-07 57456188
  21     400.00     420.00  4.224120343455851E-04  5.758667474192678E-07 54489761
  22     420.00     440.00  3.600732903308012E-04  5.094787414257156E-07 51707136
  23     440.00     460.00  3.087905691288920E-04  4.652199380483659E-07 49077567
  24     460.00     480.00  2.636192938057618E-04  4.098700953655710E-07 46587293
  25     480.00     500.00  2.267462400104853E-04  3.700448775844103E-07 44244039
  26     500.00     520.00  1.949011843815868E-04  3.376753509253489E-07 42070376
  27     520.00     540.00  1.681396264198065E-04  3.042197331525726E-07 39997064
  28     540.00     560.00  1.447203494697770E-04  2.716362330433560E-07 38059313
  29     560.00     580.00  1.249988224254016E-04  2.437273639032543E-07 36235186
  30     580.00     600.00  1.081651152864654E-04  2.247448102454845E-07 34500819
  31     600.00     620.00  9.389320461217358E-05  1.992777302846708E-07 32879406
  32     620.00     640.00  8.102879568209568E-05  1.819696769600429E-07 31343858
  33     640.00     660.00  7.039762030387728E-05  1.630142549525785E-07 29888864
  34     660.00     680.00  6.123315587099981E-05  1.463915824381390E-07 28523621
  35     680.00     700.00  5.326998042733245E-05  1.338917090390753E-07 27228657
  36     700.00     720.00  4.657930439018920E-05  1.229976176639104E-07 26011940
  37     720.00     740.00  4.065102767550708E-05  1.100434355563444E-07 24855581
  38     740.00     760.00  3.538163791775504E-05  9.735602307373706E-08 23766828
  39     760.00     780.00  3.109113068736161E-05  9.002469808471809E-08 22720522
  40     780.00     800.00  2.742021851514151E-05  8.229715497079399E-08 21741857
  41     800.00     820.00  2.402114797368824E-05  7.360095184986791E-08 20813721
  42     820.00     840.00  2.113479121652722E-05  6.973935455509821E-08 19919808
  43     840.00     860.00  1.855957758199998E-05  6.371730071142830E-08 19076215
  44     860.00     880.00  1.650200748128506E-05  6.106219856662518E-08 18269141
  45     880.00     900.00  1.436730924181478E-05  5.061971220283931E-08 17521004
  46     900.00     920.00  1.280406378885877E-05  4.682948571994133E-08 16795619
  47     920.00     940.00  1.130339405166640E-05  4.235750522119711E-08 16104965
  48     940.00     960.00  9.988966138159653E-06  3.916142551943606E-08 15446759
  49     960.00     980.00  8.895891831936616E-06  3.624261150707652E-08 14814197
  50     980.00    1000.00  7.857096607308075E-06  3.292683001161174E-08 14214439
  51    1000.00    1020.00  6.957173197371406E-06  3.041890485481276E-08 13640672
  52    1020.00    1040.00  6.273153018252456E-06  2.782481388355960E-08 13102939
  53    1040.00    1060.00  5.501198559460328E-06  2.447442787483939E-08 12584244
  54    1060.00    1080.00  4.916782872209132E-06  2.298871674942097E-08 12081774
  55    1080.00    1100.00  4.405268113234176E-06  2.140320999827425E-08 11616878
  56    1100.00    1120.00  3.946857804901330E-06  2.033131885947892E-08 11166254
  57    1120.00    1140.00  3.502682715416547E-06  1.799919554597038E-08 10734456
  58    1140.00    1160.00  3.170444399694357E-06  1.695625674096340E-08 10317259
  59    1160.00    1180.00  2.821492582844978E-06  1.553891260675638E-08 9918499
  60    1180.00    1200.00  2.488485031873244E-06  1.354051189610536E-08 9549615
  61    1200.00    1220.00  2.241774440809928E-06  1.308280792974473E-08 9185595
  62    1220.00    1240.00  2.009282632124953E-06  1.208518714273619E-08 8838100
  63    1240.00    1260.00  1.801338330976020E-06  1.121985112232592E-08 8509771
  64    1260.00    1280.00  1.606732697920422E-06  9.572059869930361E-09 8200615
  65    1280.00    1300.00  1.433736317244628E-06  8.822644679372448E-09 7897611
  66    1300.00    1320.00  1.302357405804506E-06  8.396307583408860E-09 7604292
  67    1320.00    1340.00  1.159968541277392E-06  7.534147881918898E-09 7328370
