# title = Cosine of Angle between two jets
# xlabel = $\cos\theta_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1634909473
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  5.626125616292776E+00  2.491077402687004E-03 917932152
   2      -0.90      -0.80  2.358770711848857E+00  1.373008387289928E-03 410825979
   3      -0.80      -0.70  1.396244581144545E+00  9.635850103968061E-04 274966868
   4      -0.70      -0.60  9.374338922117805E-01  7.472947625706885E-04 204096058
   5      -0.60      -0.50  6.709257482022034E-01  6.020597911134754E-04 158926771
   6      -0.50      -0.40  4.958195159928755E-01  5.131376010069191E-04 125044599
   7      -0.40      -0.30  3.772895945272806E-01  4.325619389927728E-04 99954960
   8      -0.30      -0.20  3.030848766814104E-01  3.864982339339298E-04 84218881
   9      -0.20      -0.10  2.485415294033675E-01  3.370153501607885E-04 72996245
  10      -0.10       0.00  2.086318354111436E-01  3.089699070966557E-04 64506638
  11       0.00       0.10  1.762416105706312E-01  2.734151907283032E-04 57815671
  12       0.10       0.20  1.506822431052303E-01  2.531896562133411E-04 52396486
  13       0.20       0.30  1.287486140978226E-01  2.262296696799750E-04 47910758
  14       0.30       0.40  1.097276163595571E-01  2.082082087518922E-04 44041894
  15       0.40       0.50  9.205446636482773E-02  1.848458216119687E-04 40596562
  16       0.50       0.60  7.537075279502770E-02  1.602989281404469E-04 37310419
  17       0.60       0.70  5.857948335062328E-02  1.369314921188759E-04 33872441
  18       0.70       0.80  4.048541303753515E-02  1.075181242296485E-04 29522454
  19       0.80       0.90  1.962657860506401E-02  6.491768482180212E-05 22027415
  20       0.90       1.00  2.086291990782368E-03  1.479657118494253E-05 5438749
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.1190579220240358E-02  5.7317358734464326E-06 52479000
#=====================================================================================
