# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1634909473
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00  1.233480865665190E-06  2.208384075716142E-08 1064830
   8     700.00     800.00  1.789013053613365E-04  4.028137639103603E-07 19329815
   9     800.00     900.00  6.662860474322940E-04  8.661293392428743E-07 42341645
  10     900.00    1000.00  1.045918066751979E-03  1.105026429479708E-06 59702096
  11    1000.00    1100.00  1.216585713593324E-03  1.178106381837484E-06 71032944
  12    1100.00    1200.00  1.235077528409194E-03  1.158665825977682E-06 77611408
  13    1200.00    1300.00  1.167837647751040E-03  1.048243126432814E-06 80930486
  14    1300.00    1400.00  1.065520508017250E-03  9.904463314284711E-07 82139860
  15    1400.00    1500.00  9.485310284747344E-04  9.212826095958580E-07 81954050
  16    1500.00    1600.00  8.313717951010504E-04  8.062785336668794E-07 80829077
  17    1600.00    1700.00  7.229393241291453E-04  7.089707407883835E-07 79137841
  18    1700.00    1800.00  6.252685224782665E-04  6.422598818470094E-07 77070548
  19    1800.00    1900.00  5.392706373794971E-04  5.875241878774681E-07 74775266
  20    1900.00    2000.00  4.626605814649391E-04  5.274728557882268E-07 72377301
  21    2000.00    2100.00  3.968379341802111E-04  4.599147978647926E-07 69910096
  22    2100.00    2200.00  3.402635918239758E-04  4.086136428753568E-07 67465030
  23    2200.00    2300.00  2.911063841469229E-04  3.706351341873691E-07 64999548
  24    2300.00    2400.00  2.492872006939517E-04  3.353973751721460E-07 62613725
  25    2400.00    2500.00  2.131672579890282E-04  3.041373091705797E-07 60299365
  26    2500.00    2600.00  1.831910627350060E-04  2.705300927335270E-07 58033564
  27    2600.00    2700.00  1.569422745874129E-04  2.411801292392321E-07 55870320
  28    2700.00    2800.00  1.341065739844137E-04  2.118627352355163E-07 53748725
  29    2800.00    2900.00  1.150413998098056E-04  1.960260999091720E-07 51751134
  30    2900.00    3000.00  9.827818232708294E-05  1.697875205114362E-07 49811661
