# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1524004120
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  2.007682282401993E-05  2.085864516577624E-07 568546
   2      -2.25      -2.00  2.743778714919868E-05  2.091013789558952E-07 809866
   3      -2.00      -1.75  3.698422800184939E-05  2.097859472916864E-07 1109501
   4      -1.75      -1.50  4.944881719786462E-05  2.242870334048312E-07 1441680
   5      -1.50      -1.25  6.601519899580844E-05  2.322423097839630E-07 1802870
   6      -1.25      -1.00  8.656929598025854E-05  2.568876712681488E-07 2172347
   7      -1.00      -0.75  1.116131753701978E-04  2.902888145118066E-07 2546817
   8      -0.75      -0.50  1.396039698256261E-04  3.270395260007604E-07 2907190
   9      -0.50      -0.25  1.694404751314210E-04  3.662691072880840E-07 3244598
  10      -0.25       0.00  1.975781256998314E-04  4.031929472849046E-07 3531899
  11       0.00       0.25  2.228041618112710E-04  4.383457547066960E-07 3760500
  12       0.25       0.50  2.401273988761656E-04  4.658867863182613E-07 3899158
  13       0.50       0.75  2.458236498117463E-04  4.802650251851528E-07 3928858
  14       0.75       1.00  2.404101254565817E-04  4.815137798123001E-07 3845490
  15       1.00       1.25  2.243671260246599E-04  4.756620616926963E-07 3635027
  16       1.25       1.50  1.993536188038525E-04  4.585487575573282E-07 3296070
  17       1.50       1.75  1.669403377509130E-04  4.253894151974125E-07 2830706
  18       1.75       2.00  1.335104804560197E-04  3.882839059025332E-07 2278425
  19       2.00       2.25  1.015838510607461E-04  3.441620696610039E-07 1692562
  20       2.25       2.50  7.386532264204330E-05  2.990868069569208E-07 1176890
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       6.8838849221751876E-04  4.0599139492508118E-07 50479000
#=====================================================================================
