# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1524004120
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  6.974699288387897E-06  6.721309267439152E-08 170122
   2      -4.25      -4.00  1.219238083810773E-05  1.082363147112645E-07 261543
   3      -4.00      -3.75  2.043423994971972E-05  1.580318211614077E-07 381404
   4      -3.75      -3.50  3.200339524571453E-05  2.125705117096746E-07 526002
   5      -3.50      -3.25  4.402882347239642E-05  2.432257622265270E-07 687154
   6      -3.25      -3.00  5.821282517463446E-05  2.740145790680328E-07 851877
   7      -3.00      -2.75  7.267156223905427E-05  2.992997290855952E-07 1013034
   8      -2.75      -2.50  8.510632048016326E-05  3.150730156163166E-07 1151487
   9      -2.50      -2.25  9.189670301178147E-05  3.094418324802409E-07 1254445
  10      -2.25      -2.00  9.157227028148236E-05  2.912767750222936E-07 1313940
  11      -2.00      -1.75  8.534110512158366E-05  2.786597912243164E-07 1335278
  12      -1.75      -1.50  7.419622285150679E-05  2.457358052768861E-07 1341248
  13      -1.50      -1.25  6.050175013096834E-05  2.147150468561247E-07 1348755
  14      -1.25      -1.00  4.670366498491201E-05  1.719287438338136E-07 1373856
  15      -1.00      -0.75  3.681695150921346E-05  1.312806220537022E-07 1453603
  16      -0.75      -0.50  3.637867349264360E-05  1.170631915338385E-07 1605391
  17      -0.50      -0.25  4.936587768177487E-05  1.492207365984368E-07 1814681
  18      -0.25       0.00  7.823576260362195E-05  2.262327195969282E-07 2075044
  19       0.00       0.25  1.174385077465172E-04  3.065101406819666E-07 2352664
  20       0.25       0.50  1.585813441583046E-04  3.815091144437332E-07 2613657
  21       0.50       0.75  1.940675544322502E-04  4.433561195610680E-07 2830971
  22       0.75       1.00  2.166294465216405E-04  4.768518658627111E-07 2976122
  23       1.00       1.25  2.224768596432027E-04  4.936474112572150E-07 3022067
  24       1.25       1.50  2.100370280037301E-04  4.751732909681107E-07 2949238
  25       1.50       1.75  1.836718107899412E-04  4.400016553517026E-07 2760082
  26       1.75       2.00  1.504520482690158E-04  3.860428230162152E-07 2479301
  27       2.00       2.25  1.138731330052712E-04  3.252411848177444E-07 2139108
  28       2.25       2.50  8.088136546719550E-05  2.630756287037651E-07 1775845
  29       2.50       2.75  5.334777825079571E-05  2.013974430680350E-07 1418085
  30       2.75       3.00  3.283499315373924E-05  1.463359072788271E-07 1082632
  31       3.00       3.25  1.859993225599749E-05  1.019388369712487E-07 787698
  32       3.25       3.50  9.873975988978766E-06  6.532086085253476E-08 546137
  33       3.50       3.75  4.716884718895153E-06  3.777156957262894E-08 360433
  34       3.75       4.00  2.153559735885255E-06  2.079750716726487E-08 223754
  35       4.00       4.25  9.200045991985814E-07  1.084278907756005E-08 130822
  36       4.25       4.50  3.645137718320330E-07  4.615846620208221E-09 71520
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       6.8838849221751442E-04  4.0599796027039962E-07 50479000
#=====================================================================================
