# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1634909473
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0
   6      -3.25      -3.00  1.474677226009009E-06  4.318572077238244E-08 118106
   7      -3.00      -2.75  1.014420200861276E-04  1.082584432765363E-06 1535301
   8      -2.75      -2.50  1.281464700276522E-03  8.028047041724923E-06 5790966
   9      -2.50      -2.25  6.995814832305224E-03  2.739413064127108E-05 14441924
  10      -2.25      -2.00  2.373465898161715E-02  5.899705351676259E-05 29083249
  11      -2.00      -1.75  5.942981282212393E-02  1.110448650607088E-04 50564443
  12      -1.75      -1.50  1.193406779895455E-01  1.780472031135676E-04 78529229
  13      -1.50      -1.25  1.993208227062652E-01  2.498492532410439E-04 111545862
  14      -1.25      -1.00  2.922227222768624E-01  3.215253889528947E-04 148013857
  15      -1.00      -0.75  3.883875034368274E-01  3.833714675276639E-04 186126320
  16      -0.75      -0.50  4.767687427435758E-01  4.302887108358016E-04 223640534
  17      -0.50      -0.25  5.450921909906793E-01  4.646276811885421E-04 256902853
  18      -0.25       0.00  5.823690441669372E-01  4.596344926576517E-04 279685586
  19       0.00       0.25  5.835152025031540E-01  4.628850201431289E-04 279996214
  20       0.25       0.50  5.453282897491477E-01  4.189433497892454E-04 257944794
  21       0.50       0.75  4.762163319176816E-01  3.804895314082944E-04 225142044
  22       0.75       1.00  3.886364695522790E-01  3.261914303882439E-04 187691957
  23       1.00       1.25  2.919544964549702E-01  2.709535035955144E-04 149570984
  24       1.25       1.50  1.993110195069578E-01  2.170866571984437E-04 113010611
  25       1.50       1.75  1.190938536569265E-01  1.536668955639346E-04 79853656
  26       1.75       2.00  5.941251916748563E-02  1.014843701553970E-04 51764327
  27       2.00       2.25  2.370010407676634E-02  5.626408296833593E-05 30107736
  28       2.25       2.50  6.990000378446578E-03  2.516712523061905E-05 15213413
  29       2.50       2.75  1.281336840704007E-03  1.085220943900562E-05 6265274
  30       2.75       3.00  1.009763004468553E-04  1.065505986763192E-06 1726512
  31       3.00       3.25  1.416350010617940E-06  3.822396489008204E-08 136248
  32       3.25       3.50  0.000000000000000E+00  0.000000000000000E+00 0
  33       3.50       3.75  0.000000000000000E+00  0.000000000000000E+00 0
  34       3.75       4.00  0.000000000000000E+00  0.000000000000000E+00 0
  35       4.00       4.25  0.000000000000000E+00  0.000000000000000E+00 0
  36       4.25       4.50  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.1190579220241630E-02  5.7329424910137777E-06 52479000
#=====================================================================================
