# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1524004120
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  5.819926592393830E-05  2.198068295833273E-07 1983427
   2      -4.25      -4.00  9.831985054655859E-05  3.245811659105684E-07 2296187
   3      -4.00      -3.75  1.409108056901651E-04  4.134840154514782E-07 2558479
   4      -3.75      -3.50  1.774428900507858E-04  4.660510499304048E-07 2766640
   5      -3.50      -3.25  2.045946500408443E-04  4.921438236079159E-07 2899044
   6      -3.25      -3.00  2.161124744630851E-04  4.883578266574329E-07 2956376
   7      -3.00      -2.75  2.128636084448391E-04  4.589904535000816E-07 2926159
   8      -2.75      -2.50  1.966693385825071E-04  4.161020095378574E-07 2815497
   9      -2.50      -2.25  1.701560142163212E-04  3.658675389438641E-07 2626190
  10      -2.25      -2.00  1.383853154746403E-04  3.143778280622551E-07 2375492
  11      -2.00      -1.75  1.054677115405360E-04  2.571058191138552E-07 2082728
  12      -1.75      -1.50  7.593929755230230E-05  2.122179828925881E-07 1758303
  13      -1.50      -1.25  5.063657598968443E-05  1.646285983381233E-07 1433083
  14      -1.25      -1.00  3.186897543781181E-05  1.272632202113417E-07 1139723
  15      -1.00      -0.75  1.921242204483798E-05  8.562908493403556E-08 903903
  16      -0.75      -0.50  1.168130889425887E-05  6.123521689976613E-08 733793
  17      -0.50      -0.25  8.498284767516805E-06  4.297075079997335E-08 633608
  18      -0.25       0.00  1.017123314934154E-05  6.396380366447782E-08 603960
  19       0.00       0.25  1.698036705491456E-05  1.032878589960904E-07 633063
  20       0.25       0.50  2.959249096607172E-05  1.548677344972885E-07 714720
  21       0.50       0.75  4.677066987505120E-05  2.094677569283786E-07 829549
  22       0.75       1.00  6.511939206279171E-05  2.575455909648199E-07 966986
  23       1.00       1.25  8.169886576717592E-05  3.002422722305891E-07 1106486
  24       1.25       1.50  9.340796590242360E-05  3.287121085352200E-07 1220338
  25       1.50       1.75  9.714032486683932E-05  3.357963458035433E-07 1285388
  26       1.75       2.00  9.293660476827584E-05  3.236311696040808E-07 1289543
  27       2.00       2.25  8.284696248573616E-05  2.965256050731603E-07 1236551
  28       2.25       2.50  6.900268975981452E-05  2.622322176189238E-07 1152474
  29       2.50       2.75  5.345942327673512E-05  2.187126687368679E-07 1039983
  30       2.75       3.00  3.880334065021898E-05  1.766026780765794E-07 900441
  31       3.00       3.25  2.571323782075609E-05  1.297382065195335E-07 748306
  32       3.25       3.50  1.595369332728291E-05  9.110831433690362E-08 605068
  33       3.50       3.75  9.056008983711935E-06  5.979756662691623E-08 471410
  34       3.75       4.00  4.769713595552773E-06  3.711740985367260E-08 353259
  35       4.00       4.25  2.228647423090848E-06  2.001880162601371E-08 255554
  36       4.25       4.50  9.435474736468620E-07  9.462566503842721E-09 177289
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       6.8838849221751659E-04  4.0599792597812204E-07 50479000
#=====================================================================================
