# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1524004120
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  6.702612499733418E-06  6.220326124344187E-08 289167
   2      -2.25      -2.00  1.183835833490984E-05  8.788825278152195E-08 452751
   3      -2.00      -1.75  1.982839214276169E-05  1.183376001702161E-07 674440
   4      -1.75      -1.50  3.169237468018123E-05  1.547155368232910E-07 956441
   5      -1.50      -1.25  4.851899838441348E-05  1.953657952814904E-07 1288885
   6      -1.25      -1.00  7.047569006799554E-05  2.406380006994566E-07 1670666
   7      -1.00      -0.75  9.821414975629434E-05  2.913415838756787E-07 2092522
   8      -0.75      -0.50  1.294266879586355E-04  3.345888421551016E-07 2534109
   9      -0.50      -0.25  1.631066921179056E-04  3.811285741306854E-07 2973103
  10      -0.25       0.00  1.955423763571950E-04  4.215096177217361E-07 3385760
  11       0.00       0.25  2.239828945775174E-04  4.529046916209458E-07 3741879
  12       0.25       0.50  2.431144968015798E-04  4.714525591160246E-07 4005838
  13       0.50       0.75  2.532193933551267E-04  4.810985454679276E-07 4163209
  14       0.75       1.00  2.505119611283018E-04  4.776595682465703E-07 4181365
  15       1.00       1.25  2.369042603473285E-04  4.689482668333968E-07 4056286
  16       1.25       1.50  2.137356563388938E-04  4.560117192071143E-07 3778469
  17       1.50       1.75  1.846877268856598E-04  4.366837812879833E-07 3370259
  18       1.75       2.00  1.537341724070513E-04  4.158711474507348E-07 2854750
  19       2.00       2.25  1.233225457078506E-04  3.962998187799574E-07 2282189
  20       2.25       2.50  9.499452902069824E-05  3.692157332561464E-07 1726912
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       6.8838849221750846E-04  4.0599005765162175E-07 50479000
#=====================================================================================
