# title = Transverse Mass of W
# xlabel = $M_{\text{T},\text{W}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{W}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1634909473
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  5.819997038315465E-03  4.347702267753199E-06 341593135
   2      20.00      40.00  7.402528321061782E-03  5.058332724593945E-06 395643046
   3      40.00      60.00  1.207604399283521E-02  6.774577883892597E-06 548239649
   4      60.00      80.00  3.354431779871955E-02  1.209803108105785E-05 1224207657
   5      80.00     100.00  7.696991100760719E-03  5.908564719584454E-06 252030103
   6     100.00     120.00  3.634465691177774E-04  1.410822462021084E-06 9624256
   7     120.00     140.00  1.526637825240754E-04  9.841019355604351E-07 3726869
   8     140.00     160.00  8.647188164685958E-05  8.514187005783126E-07 2001329
   9     160.00     180.00  5.473247552652329E-05  6.406975579424270E-07 1256646
  10     180.00     200.00  3.727573044937256E-05  4.626964543507266E-07 868820
  11     200.00     220.00  2.762501745530443E-05  5.290296654998192E-07 637905
  12     220.00     240.00  1.983650093447025E-05  3.239523556593506E-07 491018
  13     240.00     260.00  1.560001120757509E-05  2.961145357859621E-07 391433
  14     260.00     280.00  1.240165938058201E-05  2.424671010015365E-07 320275
  15     280.00     300.00  9.748125548608031E-06  2.142083881882838E-07 268938
  16     300.00     320.00  8.237982390453200E-06  2.151406547286082E-07 229293
  17     320.00     340.00  6.583909068994999E-06  1.655446124056037E-07 198247
  18     340.00     360.00  5.466933063131753E-06  1.457673539866613E-07 174102
  19     360.00     380.00  4.726850791952346E-06  1.501382404073145E-07 153613
  20     380.00     400.00  3.969660143626051E-06  1.347207687098897E-07 137623
  21     400.00     420.00  3.575131894182580E-06  1.857143035688625E-07 123873
  22     420.00     440.00  3.131484895422536E-06  1.686079051218066E-07 111800
  23     440.00     460.00  2.591579733624796E-06  1.162407005094092E-07 101674
  24     460.00     480.00  2.239967290352534E-06  9.064903302459518E-08 92845
  25     480.00     500.00  2.108240043875539E-06  1.189404848446327E-07 85627
  26     500.00     520.00  1.636829903271622E-06  6.641142174146886E-08 79240
  27     520.00     540.00  1.488719510980640E-06  7.161666784127937E-08 73416
  28     540.00     560.00  1.472717309837995E-06  8.697998224841479E-08 68491
  29     560.00     580.00  1.203772487590161E-06  6.852142510109019E-08 63992
  30     580.00     600.00  1.192345265258315E-06  1.366942150086532E-07 59418
  31     600.00     620.00  9.607645588719714E-07  4.653048465657644E-08 55718
  32     620.00     640.00  8.716295569736337E-07  8.265835827001610E-08 51706
  33     640.00     660.00  7.690734436635840E-07  4.216810552737907E-08 49128
  34     660.00     680.00  7.319630521747743E-07  4.531965164770287E-08 46485
  35     680.00     700.00  7.352675343103604E-07  5.095869599027560E-08 44161
  36     700.00     720.00  6.066502810015108E-07  4.060864253092625E-08 41335
  37     720.00     740.00  5.953784359674572E-07  5.312144844333388E-08 39028
  38     740.00     760.00  5.358682502962512E-07  3.651929819036666E-08 37338
  39     760.00     780.00  4.748612374217530E-07  4.048959998818738E-08 35333
  40     780.00     800.00  5.148750494112574E-07  1.107593587131981E-07 33457
  41     800.00     820.00  4.516664352508159E-07  5.912461199005235E-08 31845
  42     820.00     840.00  3.975371080228251E-07  3.819435213911930E-08 30564
  43     840.00     860.00  3.868821088033620E-07  6.289356588994429E-08 29035
  44     860.00     880.00  3.078452038686100E-07  3.482932722756966E-08 27964
  45     880.00     900.00  3.559299329896153E-07  6.091365629516133E-08 26308
  46     900.00     920.00  3.682382484326574E-07  1.066492715181240E-07 25300
  47     920.00     940.00  2.174740439120847E-07  1.653783646992190E-08 24113
  48     940.00     960.00  2.868105862299564E-07  4.469137122938271E-08 23337
  49     960.00     980.00  2.347433216500430E-07  2.609508318690375E-08 22059
  50     980.00    1000.00  2.242372103995568E-07  3.246295906417602E-08 21192
  51    1000.00    1020.00  2.087661478804880E-07  2.500064863272909E-08 20684
  52    1020.00    1040.00  1.718352073671189E-07  2.067488036723204E-08 19565
  53    1040.00    1060.00  1.477442394052470E-07  1.665113219813258E-08 18988
  54    1060.00    1080.00  1.526338342578274E-07  2.530626482050917E-08 17839
  55    1080.00    1100.00  1.084158417451936E-07  1.121427163727336E-08 17480
  56    1100.00    1120.00  1.074334573131201E-07  1.157059540231161E-08 16914
  57    1120.00    1140.00  1.186627962191555E-07  1.299470060381549E-08 16083
  58    1140.00    1160.00  9.423802685106434E-08  1.209782709484001E-08 15574
  59    1160.00    1180.00  1.031820142521904E-07  1.155658779720172E-08 15184
  60    1180.00    1200.00  8.512512726385037E-08  1.143418739447387E-08 14382
  61    1200.00    1220.00  9.613127348783060E-08  1.282766438964901E-08 13854
  62    1220.00    1240.00  7.221002952303037E-08  8.878487190885798E-09 13472
  63    1240.00    1260.00  8.714649114320046E-08  1.302487382367351E-08 12811
  64    1260.00    1280.00  7.747812215415481E-08  1.757021853663597E-08 12467
  65    1280.00    1300.00  7.446966184767630E-08  1.197255189546912E-08 12017
  66    1300.00    1320.00  6.898538270452142E-08  1.357891430701359E-08 11790
  67    1320.00    1340.00  6.717537598646945E-08  8.767707934026370E-09 11225
  68    1340.00    1360.00  8.893418846216401E-08  1.994501544878401E-08 10948
  69    1360.00    1380.00  3.964760380921193E-08  7.039527988642130E-09 10372
  70    1380.00    1400.00  4.557288444962465E-08  7.116635785059397E-09 10378
  71    1400.00    1420.00  5.262182616164146E-08  8.574748438569093E-09 9743
  72    1420.00    1440.00  5.707085536024526E-08  1.477264017005650E-08 9573
  73    1440.00    1460.00  4.034697240177035E-08  7.139207451074031E-09 9308
  74    1460.00    1480.00  5.122728570558690E-08  1.320544674361646E-08 8776
  75    1480.00    1500.00  4.999902281360218E-08  1.821835933773812E-08 8614
  76    1500.00    1520.00  2.849721210260947E-08  4.332947326086467E-09 8354
  77    1520.00    1540.00  3.056012964984036E-08  4.813174637021980E-09 8003
  78    1540.00    1560.00  2.608246580606869E-08  4.776205417114230E-09 7870
  79    1560.00    1580.00  4.296623027366745E-08  1.226560177082920E-08 7706
  80    1580.00    1600.00  3.464474935667215E-08  6.763127953369309E-09 7426
  81    1600.00    1620.00  2.981194281357031E-08  7.904031259645801E-09 7268
  82    1620.00    1640.00  2.143444275011372E-08  3.794331037253351E-09 6909
  83    1640.00    1660.00  2.306563992284632E-08  6.184513207027470E-09 6735
  84    1660.00    1680.00  1.975282987887637E-08  3.625014234981060E-09 6513
  85    1680.00    1700.00  2.330250287755811E-08  4.608264364295218E-09 6274
  86    1700.00    1720.00  2.140124710928084E-08  6.106821085483356E-09 6084
  87    1720.00    1740.00  2.736022163779048E-08  8.850407603183480E-09 6020
  88    1740.00    1760.00  1.458229007827620E-08  3.117495763644918E-09 5786
  89    1760.00    1780.00  1.822153586262599E-08  4.464116716186697E-09 5625
  90    1780.00    1800.00  1.621068830983455E-08  3.712061600763669E-09 5361
  91    1800.00    1820.00  1.243670678173013E-08  2.062009737167447E-09 5304
  92    1820.00    1840.00  2.777914191939542E-08  1.267217328878364E-08 5092
  93    1840.00    1860.00  2.112214125316277E-08  6.276946373741735E-09 4997
  94    1860.00    1880.00  1.404716756174371E-08  3.198125323774076E-09 4917
  95    1880.00    1900.00  2.596788570525303E-08  1.091061371151874E-08 4767
  96    1900.00    1920.00  2.369780694976855E-08  1.529422432031367E-08 4624
